"_30x30_Plot_TreeIDNumber","_30X30_Plot_TreeTrunk","_30x30_Plot_TreeDBH","trunk_index","tree_index","_parent_table_name","origin_table","main_index","Species","Tree_Type","Plot_ID","Site_ID","SiteType","Plot_Size","Organization_Name","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","Restoration_Technique","Timeframe","size_class","Country"
1,1,12,1,1,"_30x30_Plot_Repeat","group_un3bb19",1,"Sp1","planted","40_001_Test","#40_Test","Restoration","30x30","GANB","Permanent","0","0","3x2","Y2.5",NA,NA
2,1,11,2,2,"_30x30_Plot_Repeat","group_un3bb19",1,"Sp2","Present","40_001_Test","#40_Test","Restoration","30x30","GANB","Permanent","0","0","3x2","Y2.5",NA,NA
2,2,13,3,2,"_30x30_Plot_Repeat","group_un3bb19",1,"Sp2","Present","40_001_Test","#40_Test","Restoration","30x30","GANB","Permanent","0","0","3x2","Y2.5",NA,NA
3,1,14,4,3,"_30x30_Plot_Repeat","group_un3bb19",1,"Sp3","naturally_regenerating","40_001_Test","#40_Test","Restoration","30x30","GANB","Permanent","0","0","3x2","Y2.5",NA,NA
3,2,15,5,3,"_30x30_Plot_Repeat","group_un3bb19",1,"Sp3","naturally_regenerating","40_001_Test","#40_Test","Restoration","30x30","GANB","Permanent","0","0","3x2","Y2.5",NA,NA
1,1,10.2,6,4,"_30x30_Plot_Repeat","group_un3bb19",3,"Myrsine guianensis","Present","P1 - ENR - 180","P1 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","4x3 (3 entre linhas)","Y0",NA,NA
2,1,10.6,7,5,"_30x30_Plot_Repeat","group_un3bb19",3,"Myrsine guianensis","Present","P1 - ENR - 180","P1 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","4x3 (3 entre linhas)","Y0",NA,NA
3,1,10.5,8,6,"_30x30_Plot_Repeat","group_un3bb19",3,"Jacaranda ulei","Present","P1 - ENR - 180","P1 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","4x3 (3 entre linhas)","Y0",NA,NA
1,1,16.3,9,7,"_30x30_Plot_Repeat","group_un3bb19",4,"Syagrus botryophora","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
2,1,10.7,10,8,"_30x30_Plot_Repeat","group_un3bb19",4,"Senefeldera multiflora (Mart.) Muell. Arg.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
3,1,14,11,9,"_30x30_Plot_Repeat","group_un3bb19",4,"Syagrus botryophora (Mart.) Mart.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
4,1,11.4,12,10,"_30x30_Plot_Repeat","group_un3bb19",4,"Vismia martiniana","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
5,1,11.4,13,11,"_30x30_Plot_Repeat","group_un3bb19",4,"Zanthoxylum nemorale Mart.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
6,1,10.8,14,12,"_30x30_Plot_Repeat","group_un3bb19",4,"Annona silvestris Vell.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
7,1,10.4,15,13,"_30x30_Plot_Repeat","group_un3bb19",4,"Vismia martiniana","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
8,1,10.1,16,14,"_30x30_Plot_Repeat","group_un3bb19",4,"Annona silvestris Vell.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
9,1,10.6,17,15,"_30x30_Plot_Repeat","group_un3bb19",4,"Byrsonima verbascifolia (L.) DC.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
10,1,14,18,16,"_30x30_Plot_Repeat","group_un3bb19",4,"Miconia sp.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
11,1,10.12,19,17,"_30x30_Plot_Repeat","group_un3bb19",4,"Eschweilera ovata","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
12,1,10.9,20,18,"_30x30_Plot_Repeat","group_un3bb19",4,"Syagrus botryophora (Mart.) Mart.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
13,1,16,21,19,"_30x30_Plot_Repeat","group_un3bb19",4,"Byrsonima verbascifolia","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
14,1,10.9,22,20,"_30x30_Plot_Repeat","group_un3bb19",4,"Xylopia frutescens","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
15,1,12.2,23,21,"_30x30_Plot_Repeat","group_un3bb19",4,"Syagrus botryophora (Mart.) Mart.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
16,1,13.4,24,22,"_30x30_Plot_Repeat","group_un3bb19",4,"Syagrus botryophora (Mart.) Mart.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
17,1,10.9,25,23,"_30x30_Plot_Repeat","group_un3bb19",4,"Xylopia frutescens","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
18,1,14.2,26,24,"_30x30_Plot_Repeat","group_un3bb19",4,"Syagrus botryophora (Mart.) Mart.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
18,1,12.6,27,25,"_30x30_Plot_Repeat","group_un3bb19",4,"Syagrus botryophora (Mart.) Mart.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
18,1,12.9,28,26,"_30x30_Plot_Repeat","group_un3bb19",4,"Syagrus botryophora (Mart.) Mart.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
19,1,12.6,29,27,"_30x30_Plot_Repeat","group_un3bb19",4,"Syagrus botryophora (Mart.) Mart.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
20,1,14.4,30,28,"_30x30_Plot_Repeat","group_un3bb19",4,"Syagrus botryophora (Mart.) Mart.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
21,1,19.4,31,29,"_30x30_Plot_Repeat","group_un3bb19",4,"Byrsonima verbascifolia","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
22,1,29.5,32,30,"_30x30_Plot_Repeat","group_un3bb19",4,"Inga edulis","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
23,1,10.4,33,31,"_30x30_Plot_Repeat","group_un3bb19",4,"Byrsonima sericea DC.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
24,1,15.6,34,32,"_30x30_Plot_Repeat","group_un3bb19",4,"Miconia sp.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
25,1,12.5,35,33,"_30x30_Plot_Repeat","group_un3bb19",4,"Miconia sp.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
27,1,12.5,36,34,"_30x30_Plot_Repeat","group_un3bb19",4,"Tapirira guianensis Aubl.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA
1,1,10.5,37,35,"_30x30_Plot_Repeat","group_un3bb19",5,"Tabernaemontana sp (2)","Present","P3 - ENR - 180","P3 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","3x4","Y0",NA,NA
1,2,10.7,38,35,"_30x30_Plot_Repeat","group_un3bb19",5,"Tabernaemontana sp (2)","Present","P3 - ENR - 180","P3 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","3x4","Y0",NA,NA
2,1,10.5,39,36,"_30x30_Plot_Repeat","group_un3bb19",5,"Jacaranda semisserrata Cham.","Present","P3 - ENR - 180","P3 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","3x4","Y0",NA,NA
3,1,12.3,40,37,"_30x30_Plot_Repeat","group_un3bb19",5,"Tabernaemontana sp (2)","Present","P3 - ENR - 180","P3 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","3x4","Y0",NA,NA
4,1,11.2,41,38,"_30x30_Plot_Repeat","group_un3bb19",5,"Jacaranda semisserrata Cham.","Present","P3 - ENR - 180","P3 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","3x4","Y0",NA,NA
4,2,11.9,42,38,"_30x30_Plot_Repeat","group_un3bb19",5,"Jacaranda semisserrata Cham.","Present","P3 - ENR - 180","P3 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","3x4","Y0",NA,NA
5,1,10.7,43,39,"_30x30_Plot_Repeat","group_un3bb19",5,"Lecythis lurida","Present","P3 - ENR - 180","P3 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","3x4","Y0",NA,NA
6,1,20.4,44,40,"_30x30_Plot_Repeat","group_un3bb19",5,"Margaritaria nobilis","Present","P3 - ENR - 180","P3 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","3x4","Y0",NA,NA
7,1,12.5,45,41,"_30x30_Plot_Repeat","group_un3bb19",5,"Jacaranda semisserrata","Present","P3 - ENR - 180","P3 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","3x4","Y0",NA,NA
8,1,11.6,46,42,"_30x30_Plot_Repeat","group_un3bb19",5,"Tabernaemontana sp","Present","P3 - ENR - 180","P3 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","3x4","Y0",NA,NA
1,1,12.9,47,43,"_30x30_Plot_Repeat","group_un3bb19",6,"Compamanesia dichotoma","Present","P2 -  ENR - 180","P2 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","4x3","Y0",NA,NA
1,2,11.8,48,43,"_30x30_Plot_Repeat","group_un3bb19",6,"Compamanesia dichotoma","Present","P2 -  ENR - 180","P2 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","4x3","Y0",NA,NA
1,3,12,49,43,"_30x30_Plot_Repeat","group_un3bb19",6,"Compamanesia dichotoma","Present","P2 -  ENR - 180","P2 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","4x3","Y0",NA,NA
2,1,14.6,50,44,"_30x30_Plot_Repeat","group_un3bb19",6,"Tapirira guianensis","Present","P2 -  ENR - 180","P2 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","4x3","Y0",NA,NA
3,1,11,51,45,"_30x30_Plot_Repeat","group_un3bb19",6,"Eschweilera ovata","Present","P2 -  ENR - 180","P2 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","4x3","Y0",NA,NA
4,1,12.2,52,46,"_30x30_Plot_Repeat","group_un3bb19",6,"Schefflera morototoni","Present","P2 -  ENR - 180","P2 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","4x3","Y0",NA,NA
5,1,11.3,53,47,"_30x30_Plot_Repeat","group_un3bb19",6,"Pogonophora schomburgkiana","Present","P2 -  ENR - 180","P2 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","4x3","Y0",NA,NA
6,1,10,54,48,"_30x30_Plot_Repeat","group_un3bb19",6,"Myrcia falla","Present","P2 -  ENR - 180","P2 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","4x3","Y0",NA,NA
7,1,19,55,49,"_30x30_Plot_Repeat","group_un3bb19",6,"Pouteira venosa","Present","P2 -  ENR - 180","P2 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","4x3","Y0",NA,NA
7,2,11.4,56,49,"_30x30_Plot_Repeat","group_un3bb19",6,"Pouteira venosa","Present","P2 -  ENR - 180","P2 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","4x3","Y0",NA,NA
8,1,10,57,50,"_30x30_Plot_Repeat","group_un3bb19",6,"Byrsonima sericea","Present","P2 -  ENR - 180","P2 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","4x3","Y0",NA,NA
9,1,12,58,51,"_30x30_Plot_Repeat","group_un3bb19",6,"Zanthoxylum nemorale","Present","P2 -  ENR - 180","P2 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","4x3","Y0",NA,NA
10,1,10.8,59,52,"_30x30_Plot_Repeat","group_un3bb19",6,"Pterocarpus rhorii","Present","P2 -  ENR - 180","P2 - ENR - 180","Restoration","30x30","GANB","Permanent","0","0","4x3","Y0",NA,NA
1,1,12.5,60,53,"_30x30_Plot_Repeat","group_un3bb19",7,"Sloanea obtusifolia","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
2,1,20,61,54,"_30x30_Plot_Repeat","group_un3bb19",7,"Tapirira guianensis Aubl.","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
2,2,21.2,62,54,"_30x30_Plot_Repeat","group_un3bb19",7,"Tapirira guianensis Aubl.","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
3,1,10.5,63,55,"_30x30_Plot_Repeat","group_un3bb19",7,"Tapirira guianensis Aubl.","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
4,1,17.5,64,56,"_30x30_Plot_Repeat","group_un3bb19",7,"Tapirira guianensis Aubl.","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
5,1,10.8,65,57,"_30x30_Plot_Repeat","group_un3bb19",7,"Lecythis pisonis","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
6,1,10.9,66,58,"_30x30_Plot_Repeat","group_un3bb19",7,"Thyrsodium spruceanum","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
7,1,14.4,67,59,"_30x30_Plot_Repeat","group_un3bb19",7,"Zanthoxylum nemorale","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
8,1,12,68,60,"_30x30_Plot_Repeat","group_un3bb19",7,"Pouteria venosa","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
8,2,13.6,69,60,"_30x30_Plot_Repeat","group_un3bb19",7,"Pouteria venosa","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
9,1,10.4,70,61,"_30x30_Plot_Repeat","group_un3bb19",7,"Zanthoxylum nemorale","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
10,1,11.2,71,62,"_30x30_Plot_Repeat","group_un3bb19",7,"Eschweilera mattos-silvae","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
11,1,15.5,72,63,"_30x30_Plot_Repeat","group_un3bb19",7,"Xylopia frutescens","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
12,1,18,73,64,"_30x30_Plot_Repeat","group_un3bb19",7,"Xylopia frutescens","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
13,1,22.9,74,65,"_30x30_Plot_Repeat","group_un3bb19",7,"Andira fraxinifolia","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
14,1,11.9,75,66,"_30x30_Plot_Repeat","group_un3bb19",7,"Annona silvestris","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
15,1,13.5,76,67,"_30x30_Plot_Repeat","group_un3bb19",7,"Margaritaria nobilis","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
16,1,11.2,77,68,"_30x30_Plot_Repeat","group_un3bb19",7,"Jacaranda semisserrata","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
16,2,10.4,78,68,"_30x30_Plot_Repeat","group_un3bb19",7,"Jacaranda semisserrata","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
17,1,11,79,69,"_30x30_Plot_Repeat","group_un3bb19",7,"Casearia commersoniana","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
18,1,16.4,80,70,"_30x30_Plot_Repeat","group_un3bb19",7,"Moldenhawera blanchetiana","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
19,1,10.1,81,71,"_30x30_Plot_Repeat","group_un3bb19",7,"Eschweilera ovata","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
20,1,17.4,82,72,"_30x30_Plot_Repeat","group_un3bb19",7,"Melanoxylon brauna","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
21,1,12.2,83,73,"_30x30_Plot_Repeat","group_un3bb19",7,"Inga affinis","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
22,1,12.5,84,74,"_30x30_Plot_Repeat","group_un3bb19",7,"Syagrus botryophora","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
23,1,14.8,85,75,"_30x30_Plot_Repeat","group_un3bb19",7,"Syagrus botryophora","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
24,1,16.4,86,76,"_30x30_Plot_Repeat","group_un3bb19",7,"Syagrus botryophora","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
25,1,16.5,87,77,"_30x30_Plot_Repeat","group_un3bb19",7,"Syagrus botryophora","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA
