"Organization_Name","Site_ID","Plot_ID","SiteType","SECorner","SECorner_latitude","SECorner_longitude","SECorner_altitude","SECorner_precision","SECorner_wkt","NECorner","NECorner_latitude","NECorner_longitude","NECorner_altitude","NECorner_precision","NECorner_wkt","NWCorner","NWCorner_latitude","NWCorner_longitude","NWCorner_altitude","NWCorner_precision","NWCorner_wkt","SWCorner","SWCorner_latitude","SWCorner_longitude","SWCorner_altitude","SWCorner_precision","SWCorner_wkt","_3x3_Subplot_Centroid_latitude","_3x3_Subplot_Centroid_longitude","_3x3_Subplot_Centroid_altitude","_3x3_Subplot_Centroid_precision","_3x3_Subplot_Centroid","_3x3_Subplot_Centroid_wkt"
"GANB","#40_Test","40_001_Test","Restoration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GANB","#Teste Henrique",NA,"Restoration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.5159767,-42.5630458,287.100006103516,4.5,"-19.5159767 -42.5630458 287.1000061035156 4.5","POINT (-42.5630458 -19.5159767 287.1000061035156)"
"GANB","P1 - ENR - 180","P1 - ENR - 180","Restoration","-16.440417 -39.2963265 108.0 5.0",-16.440417,-39.2963265,108,5,"POINT (-39.2963265 -16.440417 108.0)","-16.4401588 -39.2963594 123.19999999999999 4.4",-16.4401588,-39.2963594,123.2,4.4,"POINT (-39.2963594 -16.4401588 123.19999999999999)","-16.4402829 -39.2967411 120.30000000000001 4.966",-16.4402829,-39.2967411,120.3,4.966,"POINT (-39.2967411 -16.4402829 120.30000000000001)","-16.4404332 -39.2966125 125.6 4.8",-16.4404332,-39.2966125,125.6,4.8,"POINT (-39.2966125 -16.4404332 125.6)",-16.4404271,-39.2965692,116.1,4.933,"-16.4404271 -39.2965692 116.1 4.933","POINT (-39.2965692 -16.4404271 116.1)"
"GANB","P1 - RN - 180","P1 - RN - 180","Restoration","-16.4413138 -39.2982352 82.8 4.9",-16.4413138,-39.2982352,82.8,4.9,"POINT (-39.2982352 -16.4413138 82.8)","-16.4411119 -39.2982046 83.0 4.783",-16.4411119,-39.2982046,83,4.783,"POINT (-39.2982046 -16.4411119 83.0)","-16.4411384 -39.2985211 110.2 4.983",-16.4411384,-39.2985211,110.2,4.983,"POINT (-39.2985211 -16.4411384 110.2)","-16.4414186 -39.2986337 109.5 4.783",-16.4414186,-39.2986337,109.5,4.783,"POINT (-39.2986337 -16.4414186 109.5)",-16.4413136,-39.2985486,85.8,4.85,"-16.4413136 -39.2985486 85.8 4.85","POINT (-39.2985486 -16.4413136 85.8)"
"GANB","P3 - ENR - 180","P3 - ENR - 180","Restoration","-16.4336 -39.3164767 119.1 5.0",-16.4336,-39.3164767,119.1,5,"POINT (-39.3164767 -16.4336 119.1)","-16.4333184 -39.3164609 119.1 4.76",-16.4333184,-39.3164609,119.1,4.76,"POINT (-39.3164609 -16.4333184 119.1)","-16.4332353 -39.3167153 119.1 4.92",-16.4332353,-39.3167153,119.1,4.92,"POINT (-39.3167153 -16.4332353 119.1)","-16.4334781 -39.3166893 85.4 4.916",-16.4334781,-39.3166893,85.4,4.916,"POINT (-39.3166893 -16.4334781 85.4)",-16.4334422,-39.3166988,108.8,4.983,"-16.4334422 -39.3166988 108.8 4.983","POINT (-39.3166988 -16.4334422 108.8)"
"GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","-16.4351752 -39.3131449 109.7 5.0",-16.4351752,-39.3131449,109.7,5,"POINT (-39.3131449 -16.4351752 109.7)","-16.4349358 -39.3130794 107.4 4.7",-16.4349358,-39.3130794,107.4,4.7,"POINT (-39.3130794 -16.4349358 107.4)","-16.4349051 -39.31343 110.8 4.26",-16.4349051,-39.31343,110.8,4.26,"POINT (-39.31343 -16.4349051 110.8)","-16.4352328 -39.3133731 103.3 4.82",-16.4352328,-39.3133731,103.3,4.82,"POINT (-39.3133731 -16.4352328 103.3)",-16.4351582,-39.3133982,106.8,4.816,"-16.4351582 -39.3133982 106.8 4.816","POINT (-39.3133982 -16.4351582 106.8)"
"GANB","P2 - RN - 180","P2  - RN - 180","Restoration","-16.4340528 -39.3134926 89.5 4.6",-16.4340528,-39.3134926,89.5,4.6,"POINT (-39.3134926 -16.4340528 89.5)","-16.4339149 -39.3134272 114.5 4.983",-16.4339149,-39.3134272,114.5,4.983,"POINT (-39.3134272 -16.4339149 114.5)","-16.4338188 -39.3136674 112.3 4.9",-16.4338188,-39.3136674,112.3,4.9,"POINT (-39.3136674 -16.4338188 112.3)","-16.4340789 -39.313691 132.3 4.95",-16.4340789,-39.313691,132.3,4.95,"POINT (-39.313691 -16.4340789 132.3)",-16.4340546,-39.313741,108.5,4.466,"-16.4340546 -39.313741 108.5 4.466","POINT (-39.313741 -16.4340546 108.5)"
"GANB","P3 - RN - 180","P3 - RN - 180","Restoration","-16.4314002 -39.3218268 114.5 4.933",-16.4314002,-39.3218268,114.5,4.933,"POINT (-39.3218268 -16.4314002 114.5)","-16.4311432 -39.3218293 113.6 4.983",-16.4311432,-39.3218293,113.6,4.983,"POINT (-39.3218293 -16.4311432 113.6)","-16.4312004 -39.3221106 99.2 4.966",-16.4312004,-39.3221106,99.2,4.966,"POINT (-39.3221106 -16.4312004 99.2)","-16.4314819 -39.3222025 109.5 4.983",-16.4314819,-39.3222025,109.5,4.983,"POINT (-39.3222025 -16.4314819 109.5)",-16.4313982,-39.3221582,109.7,4.966,"-16.4313982 -39.3221582 109.7 4.966","POINT (-39.3221582 -16.4313982 109.7)"
"GANB","P4 - RN - 180","P4 - RN - 180","Restoration","-16.4281316 -39.3198965 103.4 3.9",-16.4281316,-39.3198965,103.4,3.9,"POINT (-39.3198965 -16.4281316 103.4)","-16.4279683 -39.3199467 103.6 4.975",-16.4279683,-39.3199467,103.6,4.975,"POINT (-39.3199467 -16.4279683 103.6)","-16.4278416 -39.3201592 95.6 4.583",-16.4278416,-39.3201592,95.6,4.583,"POINT (-39.3201592 -16.4278416 95.6)","-16.4280647 -39.3201836 110.7 5.0",-16.4280647,-39.3201836,110.7,5,"POINT (-39.3201836 -16.4280647 110.7)",-16.427941,-39.3203354,148.4,5,"-16.427941 -39.3203354 148.4 5.0","POINT (-39.3203354 -16.427941 148.4)"
"GANB","P4 - ENR - 180","P4 - ENR - 180","Restoration","-16.4287042 -39.3196063 111.2 4.88",-16.4287042,-39.3196063,111.2,4.88,"POINT (-39.3196063 -16.4287042 111.2)","-16.4284342 -39.3196215 107.8 4.72",-16.4284342,-39.3196215,107.8,4.72,"POINT (-39.3196215 -16.4284342 107.8)","-16.4284318 -39.31986 114.3 4.1",-16.4284318,-39.31986,114.3,4.1,"POINT (-39.31986 -16.4284318 114.3)","-16.4286776 -39.3198523 111.9 4.9",-16.4286776,-39.3198523,111.9,4.9,"POINT (-39.3198523 -16.4286776 111.9)",-16.428662,-39.3198975,82.3,4.916,"-16.428662 -39.3198975 82.3 4.916","POINT (-39.3198975 -16.428662 82.3)"
