"Plot_ID","Site_ID","SiteType","Country","Organization_Name","Plot_Permanence","Monitoring_Plot_Size","Strata","Timeframe","Date","Resample_Main_Plot","Resample_3x3_Subplot","Note","Note1","Diagram","Start_Time","SiteSize","TreesPresent","Resampling","Restoration_Technique","SEPhoto","NEPhoto","NWPhoto","SWPhoto","main_index","_id","Original_Notes","_3x3_Subplot_Description","Notes_002","Notes","End_Time","instanceID","rootUuid","deprecatedID","uuid","__version__","_xform_id_string","_uuid","_status","_submission_time","_validation_status","_submitted_by","Plot_ID_001","Plot_Permanence_001","Strata_001","TreesPresent_001","Restoration_Technique_001","SEPhoto_001","NEPhoto_001","NWPhoto_001","SWPhoto_001","Notes_001","_3x3_Subplot_Photo","TreesPresent_3x3_Subplot","Resampling_001"
"40_001_Test","#40_Test","Restoration","Brazil","GANB","Permanent","30x30","Plantio total de mudas","Y2.5",2023-06-07,"0","0",NA,NA,NA,"15:04:00.000-03:00","Yes","Yes",NA,"3x2",NA,NA,NA,NA,1,244229933,"Fogo na parcela","Vértice 4","Fogo na parcela","Incêndio criminoso","16:25:00.000-03:00","uuid:c96452ce-7f5c-4a74-b64a-4108a04e1a09","e46a61a1-67ed-46d9-9769-f7c9db98d61f","uuid:33285e4c-d1be-4bc0-99be-046d8283ccc4","143ef6deaffd4ae2bb814b6cf64acd09","v5SaB2jz2d3xJApwBHPfEh","aQbVKaTiowwZqGTaXtjhBL","c96452ce-7f5c-4a74-b64a-4108a04e1a09","submitted_via_web",2023-06-07 18:34:39,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"#Teste Henrique","Restoration","Brazil","GANB",NA,"30x15",NA,"Y2.5",2023-06-07,"0","0",NA,NA,NA,"17:05:00.000-03:00","No",NA,NA,NA,NA,NA,NA,NA,2,244253654,NA,"4° vértice","Plantio não pegou","Animais domésticos; formiga saúva","17:34:00.000-03:00","uuid:9348a2cc-00c3-4dd4-82d7-9287ac48a621",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vFbX9VcMZPFhWVziFwEsnX","aQbVKaTiowwZqGTaXtjhBL","9348a2cc-00c3-4dd4-82d7-9287ac48a621","submitted_via_web",2023-06-07 20:48:17,NA,"ihillman","Parcela teste 1","Permanent","Plantio total de mudas declividade 1%","Yes","3x2","1686169257327.jpg","1686169345108.jpg","1686169381005.jpg","1686169456054.jpg","Parcela com capina","1686169137987.jpg",NA,NA
"P1 - ENR - 180","P1 - ENR - 180","Restoration","Brazil","GANB","Permanent","30x30","Enriquecimento","Y0",2023-07-13,"0","0",NA,NA,NA,"08:10:00.000-03:00","Yes","Yes",NA,"4x3 (3 entre linhas)","1689247281910.jpg","1689247768224.jpg","1689248631164.jpg","1689249555705.jpg",3,252675481,"A árvore 2, está morrendo.","Alocada no canto do vértice 4","2 árvores da vismia guianenses possuem 2 fustes",NA,"09:29:00.000-03:00","uuid:e884946a-4191-4db6-8a5f-1358c2d65beb",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","e884946a-4191-4db6-8a5f-1358c2d65beb","submitted_via_web",2023-07-14 00:19:51,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1689250711956.jpg",NA,NA
"P1 - RN - 180","P1 - RN - 180","Restoration","Brazil","GANB","Permanent","30x30","Regeneração Natural - Área com declividade","Y0",2023-07-13,"0","0",NA,NA,NA,"10:08:00.000-03:00","Yes","Yes",NA,"Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","1689253963483.jpg","1689254130206.jpg","1689254676695.jpg","1689256783137.jpg",4,252963061,NA,"Alocada no canto do vértice 4",NA,NA,"11:42:00.000-03:00","uuid:b6327fde-f86d-4b0a-9826-27bc60877cdb",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","b6327fde-f86d-4b0a-9826-27bc60877cdb","submitted_via_web",2023-07-15 01:43:55,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1689257297964.jpg",NA,NA
"P3 - ENR - 180","P3 - ENR - 180","Restoration","Brazil","GANB","Permanent","30x30","Enriquecimento","Y0",2023-07-13,"0","0",NA,NA,NA,"15:13:00.000-03:00","Yes","Yes",NA,"3x4","1689272209854.jpg","1689272322385.jpg","1689272479831.jpg","1689273172170.jpg",5,252963957,NA,"Alocada no canto do vértice 4",NA,NA,"15:47:00.000-03:00","uuid:918413da-26d1-40a9-9651-95a31175433c",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","918413da-26d1-40a9-9651-95a31175433c","submitted_via_web",2023-07-15 02:02:42,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1689273763326.jpg",NA,NA
"P2 -  ENR - 180","P2 - ENR - 180","Restoration","Brazil","GANB","Permanent","30x30","Enriquecimento","Y0",2023-07-13,"0","0",NA,NA,NA,"12:00:00.000-03:00","Yes","Yes",NA,"4x3","1689260676213.jpg","1689261248075.jpg","1689261819640.jpg","1689262552364.jpg",6,253028858,NA,"Alocada no canto do vértice 4",NA,NA,"12:55:00.000-03:00","uuid:cc9ccafe-bcbd-4197-b403-40fe2b11396b",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","cc9ccafe-bcbd-4197-b403-40fe2b11396b","submitted_via_web",2023-07-15 10:40:41,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1689263345995.jpg",NA,NA
"P2  - RN - 180","P2 - RN - 180","Restoration","Brazil","GANB","Permanent","30x30","Regeneração Natural","Y0",2023-07-13,"0","0",NA,NA,NA,"13:50:00.000-03:00","Yes","Yes",NA,"Não haverá plantio de mudas","1689267563870.jpg","1689267710525.jpg","1689268103744.jpg","1689268747205.jpg",7,253034205,NA,"Alocada no canto do vertice 4","Jindiba com 2 fustes",NA,"14:52:00.000-03:00","uuid:1fb59e92-deb6-4f2e-aa3e-a63ac0a84442",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","1fb59e92-deb6-4f2e-aa3e-a63ac0a84442","submitted_via_web",2023-07-15 11:11:15,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1689270599725.jpg",NA,NA
"P3 - RN - 180","P3 - RN - 180","Restoration","Brazil","GANB","Permanent","30x30","Regeneração Natural","Y0",2023-07-13,"0","0",NA,NA,NA,"16:15:00.000-03:00","Yes","Yes",NA,"Não haverá plantio de mudas nativas","1689276874021.jpg","1689276503213.jpg","1689279387287.jpg","1689278096605.jpg",8,253037181,NA,"Alocada no canto do vértice 4",NA,NA,"17:16:00.000-03:00","uuid:045e6376-9984-4fc2-8ab4-2dbadec1e0b2",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","045e6376-9984-4fc2-8ab4-2dbadec1e0b2","submitted_via_web",2023-07-15 11:29:34,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1689279226184.jpg",NA,NA
"P4 - RN - 180","P4 - RN - 180","Restoration","Brazil","GANB","Permanent","30x30","Regeneração Natural (Área com declividade)","Y0",2023-07-14,"0","0",NA,NA,NA,"08:22:00.000-03:00","Yes","Yes",NA,"Não haverá plantio","1689333906385.jpg","1689333979630.jpg","1689334534380.jpg","1689335303605.jpg",9,253038637,NA,"Alocada no canto do vértice 4",NA,NA,"09:04:00.000-03:00","uuid:4df69045-e49d-40cc-86a7-de4725bd4043",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","4df69045-e49d-40cc-86a7-de4725bd4043","submitted_via_web",2023-07-15 11:37:47,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1689336159486.jpg",NA,NA
"P4 - ENR - 180","P4 - ENR - 180","Restoration","Brazil","GANB","Permanent","30x30","Enriquecimento","Y0",2023-07-14,"0","0",NA,NA,NA,"09:33:00.000-03:00","Yes","Yes",NA,"4x3","1689339007533.jpg","1689338567227.jpg","1689338124151.jpg","1689340632947.jpg",10,253042884,NA,"Alocada no canto do vértice 4",NA,NA,"10:37:00.000-03:00","uuid:7e8c0cde-b4f8-43b5-a929-91f31cfa28c8",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","7e8c0cde-b4f8-43b5-a929-91f31cfa28c8","submitted_via_web",2023-07-15 11:57:52,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1689341479410.jpg",NA,NA
