"Organization_Name","Site_ID","Plot_ID","SiteType","PACTO_4x25_Indicator_1_1","PACTO_4x25_Indicator3_4_1","PACTO_4x25_Indicator1.2","PACTO_4x25_Indicator2.1","PACTO_4x25_Indicator2.2","PACTO_4x25_Indicator3.1","PACTO_4x25_Indicator3.2","PACTO_4x25_Indicator3.3.1","PACTO_4x25_Indicator3.3.2","PACTO_4x25_Indicator4.1","PACTO_4x25_Indicator4.2","PACTO_4x25_Indicator4.3"
"GANB","#40_Test","40_001_Test","Restoration",30,"Incêndio na área de restauração","Medium","Sp2; sp5; sp8; sp9","Lucena sp.","No","No","Laminar","MediumSoil","Yes","No","Yes"
"GANB","#Teste Henrique",NA,"Restoration",15,"Solo compactado","Clean","Angico; manga; pata de vaca; urucum","Ausência de espécies invasoras arbóreas","No","No","Laminar","HighSoil","No","Yes","Yes"
"GANB","P1 - ENR - 180","P1 - ENR - 180","Restoration",84.8,NA,"Clean",NA,NA,"No","No","NoErosion","LittleSoil","No","No","No"
"GANB","P1 - RN - 180","P1 - RN - 180","Restoration",98,NA,"Clean",NA,NA,"No","No","NoErosion","LittleSoil","No","No","No"
"GANB","P3 - ENR - 180","P3 - ENR - 180","Restoration",48,NA,"Clean",NA,NA,"No","No","NoErosion","LittleSoil","No","No","No"
"GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration",72,NA,"Clean",NA,NA,"No","No","NoErosion","LittleSoil","No","No","No"
"GANB","P2 - RN - 180","P2  - RN - 180","Restoration",92,NA,"Clean",NA,NA,"No","No","NoErosion","LittleSoil","No","No","No"
"GANB","P3 - RN - 180","P3 - RN - 180","Restoration",100,NA,"Medium",NA,NA,"No","No","NoErosion","LittleSoil","No","No","No"
"GANB","P4 - RN - 180","P4 - RN - 180","Restoration",68,NA,"High",NA,NA,"No","No","NoErosion","LittleSoil","No","No","No"
"GANB","P4 - ENR - 180","P4 - ENR - 180","Restoration",76,NA,"High",NA,NA,"No","No","NoErosion","LittleSoil","No","No","No"
"GANB","P5 - ENR - 180","P5 - ENR - 180","Restoration",80,NA,"High",NA,NA,"No","No","NoErosion","LittleSoil","No","No","No"
"GANB","P5 - RN - 180","P5 - RN - 180","Restoration",81.6,NA,"High",NA,NA,"No","No","NoErosion","LittleSoil","No","No","No"
"GANB","PControle -ENR","PControle - ENR","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GANB","P6 - ENR - 180","P6 - ENR - 180","Restoration",14,NA,"High",NA,NA,"No","No","NoErosion","LittleSoil","No","No","No"
"GANB","P7-ENR-180","P7-ENR-180","Restoration",46,NA,"High",NA,NA,"No","No","NoErosion","LittleSoil","No","No","No"
"GANB","P10- ENR 180","P10-ENR 180","Restoration",84,NA,"Medium",NA,NA,"No","No","NoErosion","LittleSoil","No","No","No"
"GANB","P10- RN 180","P10- RN 180","Restoration",95,NA,"Clean",NA,NA,"No","No","NoErosion","LittleSoil","No","No","No"
"GANB","P7- RN 180","P7- RN 180","Restoration",100,NA,"High",NA,NA,"No","No","NoErosion","LittleSoil","No","No","No"
"GANB","P8-ENR-180","P8-ENR-180","Restoration",60.4,NA,"High",NA,NA,NA,"No","NoErosion","LittleSoil","No","No","No"
"GANB","P8 RN - 165","P8RN - 165ha","Restoration",98,NA,"High",NA,NA,"No","No","NoErosion","LittleSoil","No","No","No"
"GANB","PRN3 - 165ha","PRN3 - 165ha","Restoration",96,NA,"Medium",NA,NA,"No","No","NoErosion","LittleSoil","No","No","No"
"GANB","PRN1 - 165ha","PRN1- 165ha","Restoration",59.6,NA,"High",NA,NA,"No","No","NoErosion","LittleSoil","No","Yes","No"
"GANB","PRN4 - 165ha","PRN4 - 165ha","Restoration",75,NA,"High",NA,NA,"No","No","NoErosion","LittleSoil","No","No","No"
"EMA","999","999-1","Restoration",2,"waterlogged (test)","Medium","test list","a bunch of invasives, more invasives, this is a test list","Yes","No","Laminar","LittleSoil","No","Yes","Yes"
"EMA","888",NA,"Restoration",1,NA,"Clean",NA,NA,"Yes","No","Laminar","LittleSoil","Yes","Yes","Yes"
"EMA","777","777-1","Restoration",1,"test","Clean","test","test","Yes","No","Furrows","MediumSoil","Yes","Yes","No"
"CICLOS","7777777",NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
