"_30x30_Plot_TreeIDNumber","_30X30_Plot_TreeTrunk","_30x30_Plot_TreeDBH","trunk_index","tree_index","_parent_table_name","_validation_status","origin_table","main_index","Species","Tree_Type","Plot_ID","Site_ID","SiteType","Plot_Size","Organization_Name","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","Restoration_Technique","Timeframe","size_class","Country","_30x30_Plot_RepeatNote_001","Notes","Plot_30mx15m_diagram","Plot_Info_Plot_ID_001","Plot_Info_Plot_Permanence_001","Plot_Info_Strata_001","Plot_Info_TreesPresent_001","Plot_Info_Resampling_001","Plot_Info_Restoration_Technique_001","Plot_Info_SECorner_001","Plot_Info_SECorner_001_latitude","Plot_Info_SECorner_001_longitude","Plot_Info_SECorner_001_altitude","Plot_Info_SECorner_001_precision","Plot_Info_SECorner_001_wkt","Plot_Info_SEPhoto_001","Plot_Info_NECorner_001","Plot_Info_NECorner_001_latitude","Plot_Info_NECorner_001_longitude","Plot_Info_NECorner_001_altitude","Plot_Info_NECorner_001_precision","Plot_Info_NECorner_001_wkt","Plot_Info_NEPhoto_001","Plot_Info_NWCorner_001","Plot_Info_NWCorner_001_latitude","Plot_Info_NWCorner_001_longitude","Plot_Info_NWCorner_001_altitude","Plot_Info_NWCorner_001_precision","Plot_Info_NWCorner_001_wkt","Plot_Info_NWPhoto_001","Plot_Info_SWCorner_001","Plot_Info_SWCorner_001_latitude","Plot_Info_SWCorner_001_longitude","Plot_Info_SWCorner_001_altitude","Plot_Info_SWCorner_001_precision","Plot_Info_SWCorner_001_wkt","Plot_Info_SWPhoto_001"
18,1,14.2,26,24,"_30x30_Plot_Repeat",NA,"group_un3bb19",4,"Syagrus botryophora (Mart.) Mart.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,12.6,27,25,"_30x30_Plot_Repeat",NA,"group_un3bb19",4,"Syagrus botryophora (Mart.) Mart.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,12.9,28,26,"_30x30_Plot_Repeat",NA,"group_un3bb19",4,"Syagrus botryophora (Mart.) Mart.","Present","P1 - RN - 180","P1 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes.","Y0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,10.2,91,80,"_30x30_Plot_Repeat",NA,"group_un3bb19",7,"Moldenhawera blanchetiana","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,16.4,92,81,"_30x30_Plot_Repeat",NA,"group_un3bb19",7,"Pera glabrata","Present","P2  - RN - 180","P2 - RN - 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,13.4,157,129,"_30x30_Plot_Repeat",NA,"group_un3bb19",12,"Abarema sp.","Present","P5 - RN - 180","P5 - RN - 180","Restoration","30x30","GANB","Permanent","0","1","Não haverá plantio de mudas","Y0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,11.6,158,129,"_30x30_Plot_Repeat",NA,"group_un3bb19",12,"Abarema sp.","Present","P5 - RN - 180","P5 - RN - 180","Restoration","30x30","GANB","Permanent","0","1","Não haverá plantio de mudas","Y0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,11.6,159,130,"_30x30_Plot_Repeat",NA,"group_un3bb19",12,"Piptadenia macrocarpa","Present","P5 - RN - 180","P5 - RN - 180","Restoration","30x30","GANB","Permanent","0","1","Não haverá plantio de mudas","Y0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1,17,335,266,"_30x30_Plot_Repeat",NA,"group_un3bb19",17,"Xylopia aromatica","Present","P10- RN 180","P10- RN 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1,15.6,336,266,"_30x30_Plot_Repeat",NA,"group_un3bb19",17,"Xylopia aromatica","Present","P10- RN 180","P10- RN 180","Restoration","30x30","GANB","Permanent","0","0","Não haverá plantio de mudas","Y0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
