"Site_ID","Plot_ID","Species","Tree_Count","Tree_Type","size_class","Timeframe","Country","Organization_Name","SiteType","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","Restoration_Technique"
"#40_Test","40_001_Test","Sp1",1,"planted",">10cm","Y2.5","Brazil","GANB","Restoration","30x30",1,1,"main","_30x30_Plot_Repeat","Permanent","0","0","3x2"
"#40_Test","40_001_Test","Sp2",1,"Present",">10cm","Y2.5","Brazil","GANB","Restoration","30x30",2,1,"main","_30x30_Plot_Repeat","Permanent","0","0","3x2"
"#40_Test","40_001_Test","Sp3",1,"naturally_regenerating",">10cm","Y2.5","Brazil","GANB","Restoration","30x30",3,1,"main","_30x30_Plot_Repeat","Permanent","0","0","3x2"
"#Teste Henrique",NA,"Angico",2,"planted",">10cm","Y2.5","Brazil","GANB","Restoration","30x15",3,2,"main","_30x15_Plot_Repeat",NA,"0","0",NA
"#Teste Henrique",NA,"Manga",2,"planted",">10cm","Y2.5","Brazil","GANB","Restoration","30x15",2,2,"main","_30x15_Plot_Repeat",NA,"0","0",NA
"#Teste Henrique",NA,"Pata de vaca",1,"planted",">10cm","Y2.5","Brazil","GANB","Restoration","30x15",1,2,"main","_30x15_Plot_Repeat",NA,"0","0",NA
"777","777-1","tree 2 test",1,"Present",">10cm","Y0","Brazil","EMA","Restoration","30x30",439,26,"main","_30x30_Plot_Repeat","Permanent","1","2","6x3"
"777","777-1","tree test",1,"Present",">10cm","Y0","Brazil","EMA","Restoration","30x30",438,26,"main","_30x30_Plot_Repeat","Permanent","1","2","6x3"
"888",NA,"Christmas tree",1,"Present",">10cm","Y0","Brazil","EMA","Restoration","30x15",6,25,"main","_30x15_Plot_Repeat",NA,"0","2",NA
"888",NA,"Palm tree",1,"Present",">10cm","Y0","Brazil","EMA","Restoration","30x15",7,25,"main","_30x15_Plot_Repeat",NA,"0","2",NA
"999","999-1","Anotherus testus (seeing what happens when same tree number is used)",1,"Present",">10cm","Y0","Brazil","EMA","Restoration","30x30",435,24,"main","_30x30_Plot_Repeat","Permanent","0","1","4 by 4 meters"
"999","999-1","Pretendus arbolus",2,"Present",">10cm","Y0","Brazil","EMA","Restoration","30x30",436,24,"main","_30x30_Plot_Repeat","Permanent","0","1","4 by 4 meters"
"999","999-1","Testus Speciesus",1,"Present",">10cm","Y0","Brazil","EMA","Restoration","30x30",434,24,"main","_30x30_Plot_Repeat","Permanent","0","1","4 by 4 meters"
"P1 - ENR - 180","P1 - ENR - 180","Jacaranda ulei",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",6,3,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3 (3 entre linhas)"
"P1 - ENR - 180","P1 - ENR - 180","Myrsine guianensis",2,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",4,3,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3 (3 entre linhas)"
"P1 - RN - 180","P1 - RN - 180","Annona silvestris Vell.",2,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",12,4,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
