"Species","Tree_Type","size_class","Timeframe","Country","Organization_Name","Site_ID","Plot_ID","SiteType","Plot_Size","Tree_Count","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","Restoration_Technique"
"Sp5","planted","1 - 9.9cm","Y2.5","Brazil","GANB","#40_Test","40_001_Test","Restoration","3x3",8,1,1,"main","_3x3_Subplot_Repeat","Permanent","0","0","3x2"
"Sp6","planted","1 - 9.9cm","Y2.5","Brazil","GANB","#40_Test","40_001_Test","Restoration","3x3",9,2,1,"main","_3x3_Subplot_Repeat","Permanent","0","0","3x2"
"Sp7",NA,"1 - 9.9cm","Y2.5","Brazil","GANB","#40_Test","40_001_Test","Restoration","3x3",6,3,1,"main","_3x3_Subplot_Repeat","Permanent","0","0","3x2"
"Angico","planted","1 - 9.9cm","Y2.5","Brazil","GANB","#Teste Henrique",NA,"Restoration","3x3",1,4,2,"main","_3x3_Subplot_Repeat",NA,"0","0",NA
"Vismia guianensis","Present","1 - 9.9cm","Y0","Brazil","GANB","P1 - ENR - 180","P1 - ENR - 180","Restoration","3x3",6,5,3,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3 (3 entre linhas)"
"Siparuna guianensis","Present","1 - 9.9cm","Y0","Brazil","GANB","P1 - ENR - 180","P1 - ENR - 180","Restoration","3x3",1,6,3,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3 (3 entre linhas)"
"Syagrus botryophora (Mart.) Mart.","Present","1 - 9.9cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","3x3",1,7,4,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Senefeldera multiflora (Mart.) Muell. Arg.","Present","1 - 9.9cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","3x3",1,8,4,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Vismia martiniana","Present","1 - 9.9cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","3x3",1,9,4,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Annona silvestris Vell.","Present","1 - 9.9cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","3x3",1,10,4,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Hyeromina alchorneoides Allemao","Present","1 - 9.9cm","Y0","Brazil","GANB","P1 - RN - 180","P1 - RN - 180","Restoration","3x3",1,11,4,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas, apenas limpeza de área e coroamento de regenerantes."
"Xylopia sericea","Present","1 - 9.9cm","Y0","Brazil","GANB","P3 - ENR - 180","P3 - ENR - 180","Restoration","3x3",1,12,5,"main","_3x3_Subplot_Repeat","Permanent","0","0","3x4"
"Annona silvestris","Present","1 - 9.9cm","Y0","Brazil","GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","3x3",1,13,6,"main","_3x3_Subplot_Repeat","Permanent","0","0","4x3"
"Tapirira guianensis","Present","1 - 9.9cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","3x3",NA,14,7,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Sloanea obtusifolia","Present","1 - 9.9cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","3x3",1,15,7,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Tabernaemontana sp.","Present","1 - 9.9cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","3x3",1,16,7,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Cupania oblongifolia","Present","1 - 9.9cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","3x3",1,17,7,"main","_3x3_Subplot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
