"species","datasetKey","datasetTitle","country_name"
"Acacia mearnsii","b351a324-77c4-41c9-a909-f30f77268bc4","Global Invasive Species Database","Global Invasive Species Database"
"Eugenia uniflora","b351a324-77c4-41c9-a909-f30f77268bc4","Global Invasive Species Database","Global Invasive Species Database"
"Schinus terebinthifolius","b351a324-77c4-41c9-a909-f30f77268bc4","Global Invasive Species Database","Global Invasive Species Database"
"Pinus pinea","45760a8e-818e-4fe9-9537-c069500b09ea","Global Register of Introduced and Invasive Species - Gran Canaria, Islas Canarias, Spain","Gran Canaria, Islas Canarias, Spain"
"Mangifera indica","309cbe80-0be8-4196-a3d0-93f338e7cc4e","Global Register of Introduced and Invasive Species – British Indian Ocean Territory","British Indian Ocean Territory"
"Syzygium cumini","b351a324-77c4-41c9-a909-f30f77268bc4","Global Invasive Species Database","Global Invasive Species Database"
"Dalbergia sissoo","b351a324-77c4-41c9-a909-f30f77268bc4","Global Invasive Species Database","Global Invasive Species Database"
"Leucaena leucocephala","b351a324-77c4-41c9-a909-f30f77268bc4","Global Invasive Species Database","Global Invasive Species Database"
"Samanea saman","b351a324-77c4-41c9-a909-f30f77268bc4","Global Invasive Species Database","Global Invasive Species Database"
"Cedrela odorata","b351a324-77c4-41c9-a909-f30f77268bc4","Global Invasive Species Database","Global Invasive Species Database"
"Acacia melanoxylon","b351a324-77c4-41c9-a909-f30f77268bc4","Global Invasive Species Database","Global Invasive Species Database"
"Tecoma stans","b351a324-77c4-41c9-a909-f30f77268bc4","Global Invasive Species Database","Global Invasive Species Database"
"Thevetia peruviana","b351a324-77c4-41c9-a909-f30f77268bc4","Global Invasive Species Database","Global Invasive Species Database"
"Pinus pinaster","7c822f4a-3eb7-4956-af71-052a2c0167bc","Global Register of Introduced and Invasive Species - Madeira, Portugal","Madeira, Portugal"
"Pinus pinaster","b351a324-77c4-41c9-a909-f30f77268bc4","Global Invasive Species Database","Global Invasive Species Database"
"Psidium guajava","b351a324-77c4-41c9-a909-f30f77268bc4","Global Invasive Species Database","Global Invasive Species Database"
"Acacia farnesiana","b351a324-77c4-41c9-a909-f30f77268bc4","Global Invasive Species Database","Global Invasive Species Database"
"Arbutus unedo","7c822f4a-3eb7-4956-af71-052a2c0167bc","Global Register of Introduced and Invasive Species - Madeira, Portugal","Madeira, Portugal"
"Morus alba","b351a324-77c4-41c9-a909-f30f77268bc4","Global Invasive Species Database","Global Invasive Species Database"
