"project_id","project_name","project_country","organization_name","site_id","site_name","site_description","site_history","planting_pattern","soil_condition","restoration_methods","submission_date_of_report","due_date","trees_planted_goal","hecatres_restored_goal","target_survival_rate_of_planted_trees","target_crown_cover_by_year_5","target_survival_rate_of_direct_seeding","expected_total_trees_per_hectares_for_natural_regen","expected_hectares_for_natural_regen","species_to_be_planted","report_author","techncial_narrative","workdays_generated_paid","workdays_generated_unpaid","number_of_planted","seed_species","number_of_seeds_planted_by_weight_and_seed_mix","photos","additional_documents","row_id","seed_species_names","seed_species_count","original_seed_names","new_seed_name"
5,"Greening Australia PPC Project","AU","Greening Australia",10,"Kerrawarra","Kerrawarra_Planting_parcels","","","","Plantations|Seed Dispersal / Direct Seeding","2022-06-01 14:44:45","2021-11-05 12:00:00",NA,NA,90,30,100,NA,NA,"||||||","Claire Shapiro","Data is for Oct 2021",NA,NA,0,"864:Acacia buxifolia|1296:Acacia decurrens|864:Acacia falciformis|1296:Acacia parramattensis|864:Acacia terminalis|864:Daviesia leptophylla|210:Eucalyptus amplifolia|210:Eucalyptus blakleyi|77:Eucalyptus bridgesiana|107:Eucalyptus cinerea|107:Eucalyptus dives|16:Eucalyptus globoidea|122:Eucalyptus macrorhyncha|153:Eucalyptus mannifera|307:Eucalyptus melliodora|153:Eucalyptus punctata",7510,"","",5,"Acacia buxifolia","864","Acacia buxifolia","Acacia buxifolia"
5,"Greening Australia PPC Project","AU","Greening Australia",10,"Kerrawarra","Kerrawarra_Planting_parcels","","","","Plantations|Seed Dispersal / Direct Seeding","2022-06-01 14:44:45","2021-11-05 12:00:00",NA,NA,90,30,100,NA,NA,"||||||","Claire Shapiro","Data is for Oct 2021",NA,NA,0,"864:Acacia buxifolia|1296:Acacia decurrens|864:Acacia falciformis|1296:Acacia parramattensis|864:Acacia terminalis|864:Daviesia leptophylla|210:Eucalyptus amplifolia|210:Eucalyptus blakleyi|77:Eucalyptus bridgesiana|107:Eucalyptus cinerea|107:Eucalyptus dives|16:Eucalyptus globoidea|122:Eucalyptus macrorhyncha|153:Eucalyptus mannifera|307:Eucalyptus melliodora|153:Eucalyptus punctata",7510,"","",5,"Acacia decurrens","1296","Acacia decurrens","Acacia decurrens"
5,"Greening Australia PPC Project","AU","Greening Australia",10,"Kerrawarra","Kerrawarra_Planting_parcels","","","","Plantations|Seed Dispersal / Direct Seeding","2022-06-01 14:44:45","2021-11-05 12:00:00",NA,NA,90,30,100,NA,NA,"||||||","Claire Shapiro","Data is for Oct 2021",NA,NA,0,"864:Acacia buxifolia|1296:Acacia decurrens|864:Acacia falciformis|1296:Acacia parramattensis|864:Acacia terminalis|864:Daviesia leptophylla|210:Eucalyptus amplifolia|210:Eucalyptus blakleyi|77:Eucalyptus bridgesiana|107:Eucalyptus cinerea|107:Eucalyptus dives|16:Eucalyptus globoidea|122:Eucalyptus macrorhyncha|153:Eucalyptus mannifera|307:Eucalyptus melliodora|153:Eucalyptus punctata",7510,"","",5,"Acacia falciformis","864","Acacia falciformis","Acacia falciformis"
5,"Greening Australia PPC Project","AU","Greening Australia",10,"Kerrawarra","Kerrawarra_Planting_parcels","","","","Plantations|Seed Dispersal / Direct Seeding","2022-06-01 14:44:45","2021-11-05 12:00:00",NA,NA,90,30,100,NA,NA,"||||||","Claire Shapiro","Data is for Oct 2021",NA,NA,0,"864:Acacia buxifolia|1296:Acacia decurrens|864:Acacia falciformis|1296:Acacia parramattensis|864:Acacia terminalis|864:Daviesia leptophylla|210:Eucalyptus amplifolia|210:Eucalyptus blakleyi|77:Eucalyptus bridgesiana|107:Eucalyptus cinerea|107:Eucalyptus dives|16:Eucalyptus globoidea|122:Eucalyptus macrorhyncha|153:Eucalyptus mannifera|307:Eucalyptus melliodora|153:Eucalyptus punctata",7510,"","",5,"Acacia parramattensis","1296","Acacia parramattensis","Acacia parramattensis"
5,"Greening Australia PPC Project","AU","Greening Australia",10,"Kerrawarra","Kerrawarra_Planting_parcels","","","","Plantations|Seed Dispersal / Direct Seeding","2022-06-01 14:44:45","2021-11-05 12:00:00",NA,NA,90,30,100,NA,NA,"||||||","Claire Shapiro","Data is for Oct 2021",NA,NA,0,"864:Acacia buxifolia|1296:Acacia decurrens|864:Acacia falciformis|1296:Acacia parramattensis|864:Acacia terminalis|864:Daviesia leptophylla|210:Eucalyptus amplifolia|210:Eucalyptus blakleyi|77:Eucalyptus bridgesiana|107:Eucalyptus cinerea|107:Eucalyptus dives|16:Eucalyptus globoidea|122:Eucalyptus macrorhyncha|153:Eucalyptus mannifera|307:Eucalyptus melliodora|153:Eucalyptus punctata",7510,"","",5,"Acacia terminalis","864","Acacia terminalis","Acacia terminalis"
5,"Greening Australia PPC Project","AU","Greening Australia",10,"Kerrawarra","Kerrawarra_Planting_parcels","","","","Plantations|Seed Dispersal / Direct Seeding","2022-06-01 14:44:45","2021-11-05 12:00:00",NA,NA,90,30,100,NA,NA,"||||||","Claire Shapiro","Data is for Oct 2021",NA,NA,0,"864:Acacia buxifolia|1296:Acacia decurrens|864:Acacia falciformis|1296:Acacia parramattensis|864:Acacia terminalis|864:Daviesia leptophylla|210:Eucalyptus amplifolia|210:Eucalyptus blakleyi|77:Eucalyptus bridgesiana|107:Eucalyptus cinerea|107:Eucalyptus dives|16:Eucalyptus globoidea|122:Eucalyptus macrorhyncha|153:Eucalyptus mannifera|307:Eucalyptus melliodora|153:Eucalyptus punctata",7510,"","",5,"Daviesia leptophylla","864","Daviesia leptophylla","Daviesia leptophylla"
5,"Greening Australia PPC Project","AU","Greening Australia",10,"Kerrawarra","Kerrawarra_Planting_parcels","","","","Plantations|Seed Dispersal / Direct Seeding","2022-06-01 14:44:45","2021-11-05 12:00:00",NA,NA,90,30,100,NA,NA,"||||||","Claire Shapiro","Data is for Oct 2021",NA,NA,0,"864:Acacia buxifolia|1296:Acacia decurrens|864:Acacia falciformis|1296:Acacia parramattensis|864:Acacia terminalis|864:Daviesia leptophylla|210:Eucalyptus amplifolia|210:Eucalyptus blakleyi|77:Eucalyptus bridgesiana|107:Eucalyptus cinerea|107:Eucalyptus dives|16:Eucalyptus globoidea|122:Eucalyptus macrorhyncha|153:Eucalyptus mannifera|307:Eucalyptus melliodora|153:Eucalyptus punctata",7510,"","",5,"Eucalyptus amplifolia","210","Eucalyptus amplifolia","Eucalyptus amplifolia"
5,"Greening Australia PPC Project","AU","Greening Australia",10,"Kerrawarra","Kerrawarra_Planting_parcels","","","","Plantations|Seed Dispersal / Direct Seeding","2022-06-01 14:44:45","2021-11-05 12:00:00",NA,NA,90,30,100,NA,NA,"||||||","Claire Shapiro","Data is for Oct 2021",NA,NA,0,"864:Acacia buxifolia|1296:Acacia decurrens|864:Acacia falciformis|1296:Acacia parramattensis|864:Acacia terminalis|864:Daviesia leptophylla|210:Eucalyptus amplifolia|210:Eucalyptus blakleyi|77:Eucalyptus bridgesiana|107:Eucalyptus cinerea|107:Eucalyptus dives|16:Eucalyptus globoidea|122:Eucalyptus macrorhyncha|153:Eucalyptus mannifera|307:Eucalyptus melliodora|153:Eucalyptus punctata",7510,"","",5,"Eucalyptus blakelyi","210","Eucalyptus blakleyi","Eucalyptus blakelyi"
5,"Greening Australia PPC Project","AU","Greening Australia",10,"Kerrawarra","Kerrawarra_Planting_parcels","","","","Plantations|Seed Dispersal / Direct Seeding","2022-06-01 14:44:45","2021-11-05 12:00:00",NA,NA,90,30,100,NA,NA,"||||||","Claire Shapiro","Data is for Oct 2021",NA,NA,0,"864:Acacia buxifolia|1296:Acacia decurrens|864:Acacia falciformis|1296:Acacia parramattensis|864:Acacia terminalis|864:Daviesia leptophylla|210:Eucalyptus amplifolia|210:Eucalyptus blakleyi|77:Eucalyptus bridgesiana|107:Eucalyptus cinerea|107:Eucalyptus dives|16:Eucalyptus globoidea|122:Eucalyptus macrorhyncha|153:Eucalyptus mannifera|307:Eucalyptus melliodora|153:Eucalyptus punctata",7510,"","",5,"Eucalyptus bridgesiana","77","Eucalyptus bridgesiana","Eucalyptus bridgesiana"
5,"Greening Australia PPC Project","AU","Greening Australia",10,"Kerrawarra","Kerrawarra_Planting_parcels","","","","Plantations|Seed Dispersal / Direct Seeding","2022-06-01 14:44:45","2021-11-05 12:00:00",NA,NA,90,30,100,NA,NA,"||||||","Claire Shapiro","Data is for Oct 2021",NA,NA,0,"864:Acacia buxifolia|1296:Acacia decurrens|864:Acacia falciformis|1296:Acacia parramattensis|864:Acacia terminalis|864:Daviesia leptophylla|210:Eucalyptus amplifolia|210:Eucalyptus blakleyi|77:Eucalyptus bridgesiana|107:Eucalyptus cinerea|107:Eucalyptus dives|16:Eucalyptus globoidea|122:Eucalyptus macrorhyncha|153:Eucalyptus mannifera|307:Eucalyptus melliodora|153:Eucalyptus punctata",7510,"","",5,"Eucalyptus cinerea","107","Eucalyptus cinerea","Eucalyptus cinerea"
5,"Greening Australia PPC Project","AU","Greening Australia",10,"Kerrawarra","Kerrawarra_Planting_parcels","","","","Plantations|Seed Dispersal / Direct Seeding","2022-06-01 14:44:45","2021-11-05 12:00:00",NA,NA,90,30,100,NA,NA,"||||||","Claire Shapiro","Data is for Oct 2021",NA,NA,0,"864:Acacia buxifolia|1296:Acacia decurrens|864:Acacia falciformis|1296:Acacia parramattensis|864:Acacia terminalis|864:Daviesia leptophylla|210:Eucalyptus amplifolia|210:Eucalyptus blakleyi|77:Eucalyptus bridgesiana|107:Eucalyptus cinerea|107:Eucalyptus dives|16:Eucalyptus globoidea|122:Eucalyptus macrorhyncha|153:Eucalyptus mannifera|307:Eucalyptus melliodora|153:Eucalyptus punctata",7510,"","",5,"Eucalyptus dives","107","Eucalyptus dives","Eucalyptus dives"
5,"Greening Australia PPC Project","AU","Greening Australia",10,"Kerrawarra","Kerrawarra_Planting_parcels","","","","Plantations|Seed Dispersal / Direct Seeding","2022-06-01 14:44:45","2021-11-05 12:00:00",NA,NA,90,30,100,NA,NA,"||||||","Claire Shapiro","Data is for Oct 2021",NA,NA,0,"864:Acacia buxifolia|1296:Acacia decurrens|864:Acacia falciformis|1296:Acacia parramattensis|864:Acacia terminalis|864:Daviesia leptophylla|210:Eucalyptus amplifolia|210:Eucalyptus blakleyi|77:Eucalyptus bridgesiana|107:Eucalyptus cinerea|107:Eucalyptus dives|16:Eucalyptus globoidea|122:Eucalyptus macrorhyncha|153:Eucalyptus mannifera|307:Eucalyptus melliodora|153:Eucalyptus punctata",7510,"","",5,"Eucalyptus globoidea","16","Eucalyptus globoidea","Eucalyptus globoidea"
5,"Greening Australia PPC Project","AU","Greening Australia",10,"Kerrawarra","Kerrawarra_Planting_parcels","","","","Plantations|Seed Dispersal / Direct Seeding","2022-06-01 14:44:45","2021-11-05 12:00:00",NA,NA,90,30,100,NA,NA,"||||||","Claire Shapiro","Data is for Oct 2021",NA,NA,0,"864:Acacia buxifolia|1296:Acacia decurrens|864:Acacia falciformis|1296:Acacia parramattensis|864:Acacia terminalis|864:Daviesia leptophylla|210:Eucalyptus amplifolia|210:Eucalyptus blakleyi|77:Eucalyptus bridgesiana|107:Eucalyptus cinerea|107:Eucalyptus dives|16:Eucalyptus globoidea|122:Eucalyptus macrorhyncha|153:Eucalyptus mannifera|307:Eucalyptus melliodora|153:Eucalyptus punctata",7510,"","",5,"Eucalyptus macrorhyncha","122","Eucalyptus macrorhyncha","Eucalyptus macrorhyncha"
5,"Greening Australia PPC Project","AU","Greening Australia",10,"Kerrawarra","Kerrawarra_Planting_parcels","","","","Plantations|Seed Dispersal / Direct Seeding","2022-06-01 14:44:45","2021-11-05 12:00:00",NA,NA,90,30,100,NA,NA,"||||||","Claire Shapiro","Data is for Oct 2021",NA,NA,0,"864:Acacia buxifolia|1296:Acacia decurrens|864:Acacia falciformis|1296:Acacia parramattensis|864:Acacia terminalis|864:Daviesia leptophylla|210:Eucalyptus amplifolia|210:Eucalyptus blakleyi|77:Eucalyptus bridgesiana|107:Eucalyptus cinerea|107:Eucalyptus dives|16:Eucalyptus globoidea|122:Eucalyptus macrorhyncha|153:Eucalyptus mannifera|307:Eucalyptus melliodora|153:Eucalyptus punctata",7510,"","",5,"Eucalyptus mannifera","153","Eucalyptus mannifera","Eucalyptus mannifera"
5,"Greening Australia PPC Project","AU","Greening Australia",10,"Kerrawarra","Kerrawarra_Planting_parcels","","","","Plantations|Seed Dispersal / Direct Seeding","2022-06-01 14:44:45","2021-11-05 12:00:00",NA,NA,90,30,100,NA,NA,"||||||","Claire Shapiro","Data is for Oct 2021",NA,NA,0,"864:Acacia buxifolia|1296:Acacia decurrens|864:Acacia falciformis|1296:Acacia parramattensis|864:Acacia terminalis|864:Daviesia leptophylla|210:Eucalyptus amplifolia|210:Eucalyptus blakleyi|77:Eucalyptus bridgesiana|107:Eucalyptus cinerea|107:Eucalyptus dives|16:Eucalyptus globoidea|122:Eucalyptus macrorhyncha|153:Eucalyptus mannifera|307:Eucalyptus melliodora|153:Eucalyptus punctata",7510,"","",5,"Eucalyptus melliodora","307","Eucalyptus melliodora","Eucalyptus melliodora"
5,"Greening Australia PPC Project","AU","Greening Australia",10,"Kerrawarra","Kerrawarra_Planting_parcels","","","","Plantations|Seed Dispersal / Direct Seeding","2022-06-01 14:44:45","2021-11-05 12:00:00",NA,NA,90,30,100,NA,NA,"||||||","Claire Shapiro","Data is for Oct 2021",NA,NA,0,"864:Acacia buxifolia|1296:Acacia decurrens|864:Acacia falciformis|1296:Acacia parramattensis|864:Acacia terminalis|864:Daviesia leptophylla|210:Eucalyptus amplifolia|210:Eucalyptus blakleyi|77:Eucalyptus bridgesiana|107:Eucalyptus cinerea|107:Eucalyptus dives|16:Eucalyptus globoidea|122:Eucalyptus macrorhyncha|153:Eucalyptus mannifera|307:Eucalyptus melliodora|153:Eucalyptus punctata",7510,"","",5,"Eucalyptus punctata","153","Eucalyptus punctata","Eucalyptus punctata"
5,"Greening Australia PPC Project","AU","Greening Australia",20,"Shannon/Talmo","Shannon/Talmo","","","","","2022-06-01 15:42:14","2022-06-03 12:00:00",NA,NA,75,25,100,NA,NA,"|||","Claire Shapiro","",NA,NA,0,"144:Eucalyptus polyanthemos|144:Eucalyptus macrorhyncha|144:Eucalyptus blakleyi|144:Eucalyptus melliodora|144:Eucalyptus dives|155:Acacia dealbata|154:Acacia melanoxylon|154:Acacia buxifolia|154:Acacia implexa|154:Acacia mearnsii|154:Acacia rubida|154:Acacia verniciflua|154:Dodonaea viscosa subsp angustissima|154:Dodonaea viscosa subsp spatulata",2107,"","",6,"Eucalyptus polyanthemos","144","Eucalyptus polyanthemos","Eucalyptus polyanthemos"
5,"Greening Australia PPC Project","AU","Greening Australia",20,"Shannon/Talmo","Shannon/Talmo","","","","","2022-06-01 15:42:14","2022-06-03 12:00:00",NA,NA,75,25,100,NA,NA,"|||","Claire Shapiro","",NA,NA,0,"144:Eucalyptus polyanthemos|144:Eucalyptus macrorhyncha|144:Eucalyptus blakleyi|144:Eucalyptus melliodora|144:Eucalyptus dives|155:Acacia dealbata|154:Acacia melanoxylon|154:Acacia buxifolia|154:Acacia implexa|154:Acacia mearnsii|154:Acacia rubida|154:Acacia verniciflua|154:Dodonaea viscosa subsp angustissima|154:Dodonaea viscosa subsp spatulata",2107,"","",6,"Eucalyptus macrorhyncha","144","Eucalyptus macrorhyncha","Eucalyptus macrorhyncha"
5,"Greening Australia PPC Project","AU","Greening Australia",20,"Shannon/Talmo","Shannon/Talmo","","","","","2022-06-01 15:42:14","2022-06-03 12:00:00",NA,NA,75,25,100,NA,NA,"|||","Claire Shapiro","",NA,NA,0,"144:Eucalyptus polyanthemos|144:Eucalyptus macrorhyncha|144:Eucalyptus blakleyi|144:Eucalyptus melliodora|144:Eucalyptus dives|155:Acacia dealbata|154:Acacia melanoxylon|154:Acacia buxifolia|154:Acacia implexa|154:Acacia mearnsii|154:Acacia rubida|154:Acacia verniciflua|154:Dodonaea viscosa subsp angustissima|154:Dodonaea viscosa subsp spatulata",2107,"","",6,"Eucalyptus blakelyi","144","Eucalyptus blakleyi","Eucalyptus blakelyi"
5,"Greening Australia PPC Project","AU","Greening Australia",20,"Shannon/Talmo","Shannon/Talmo","","","","","2022-06-01 15:42:14","2022-06-03 12:00:00",NA,NA,75,25,100,NA,NA,"|||","Claire Shapiro","",NA,NA,0,"144:Eucalyptus polyanthemos|144:Eucalyptus macrorhyncha|144:Eucalyptus blakleyi|144:Eucalyptus melliodora|144:Eucalyptus dives|155:Acacia dealbata|154:Acacia melanoxylon|154:Acacia buxifolia|154:Acacia implexa|154:Acacia mearnsii|154:Acacia rubida|154:Acacia verniciflua|154:Dodonaea viscosa subsp angustissima|154:Dodonaea viscosa subsp spatulata",2107,"","",6,"Eucalyptus melliodora","144","Eucalyptus melliodora","Eucalyptus melliodora"
5,"Greening Australia PPC Project","AU","Greening Australia",20,"Shannon/Talmo","Shannon/Talmo","","","","","2022-06-01 15:42:14","2022-06-03 12:00:00",NA,NA,75,25,100,NA,NA,"|||","Claire Shapiro","",NA,NA,0,"144:Eucalyptus polyanthemos|144:Eucalyptus macrorhyncha|144:Eucalyptus blakleyi|144:Eucalyptus melliodora|144:Eucalyptus dives|155:Acacia dealbata|154:Acacia melanoxylon|154:Acacia buxifolia|154:Acacia implexa|154:Acacia mearnsii|154:Acacia rubida|154:Acacia verniciflua|154:Dodonaea viscosa subsp angustissima|154:Dodonaea viscosa subsp spatulata",2107,"","",6,"Eucalyptus dives","144","Eucalyptus dives","Eucalyptus dives"
5,"Greening Australia PPC Project","AU","Greening Australia",20,"Shannon/Talmo","Shannon/Talmo","","","","","2022-06-01 15:42:14","2022-06-03 12:00:00",NA,NA,75,25,100,NA,NA,"|||","Claire Shapiro","",NA,NA,0,"144:Eucalyptus polyanthemos|144:Eucalyptus macrorhyncha|144:Eucalyptus blakleyi|144:Eucalyptus melliodora|144:Eucalyptus dives|155:Acacia dealbata|154:Acacia melanoxylon|154:Acacia buxifolia|154:Acacia implexa|154:Acacia mearnsii|154:Acacia rubida|154:Acacia verniciflua|154:Dodonaea viscosa subsp angustissima|154:Dodonaea viscosa subsp spatulata",2107,"","",6,"Acacia dealbata","155","Acacia dealbata","Acacia dealbata"
