"species","org_list","country_list","alien_range","native_range","summary","status"
"Acacia farnesiana","CONSERVATION INTERNATIONAL MÉXICO A. C.: 156","MX","anguilla, antigua and barbuda, arabian peninsula                                                                                                                                                                                                                                         , australia, bahamas, barbados, cambodia, cayman islands, china, cook islands, cuba, dominica, east africa                                                                                                                                                                                                                                               , eastern africa                                                                                                                                                                                                                                            , fiji, france, french polynesia, grenada, guadeloupe, guam, india, indonesia, italy, jamaica, japan, kenya, kiribati, malaysia, martinique, mauritius, mayotte, montserrat, nauru, new caledonia, niue, northern africa                                                                                                                                                                                                                                           , northern mariana islands, pakistan, philippines, portugal, puerto rico, reunion, sahel                                                                                                                                                                                                                                                     , saint helena, seychelles, solomon islands, south america                                                                                                                                                                                                                                             , spain, taiwan, thailand, united states, vanuatu, viet nam","belize, bes islands (bonaire, sint eustatius and saba), bolivia, brazil, central america                                                                                                                                                                                                                                           , colombia, costa rica, cuba, el salvador, french guiana, georgia, guatemala, guyana, honduras, mexico, nicaragua, panama, peru, saint kitts and nevis, saint lucia, saint vincent and the grenadines, suriname, tropical america                                                                                                                                                                                                                                          , united states, venezuela, virgin islands, u.s.","Probably a native of tropical America, Acacia farnesiana was introduced to many tropical countries for its bark, gum, seed and wood. It is often planted as an ornamental or to check erosion, and is also used in the perfume industry because of its scented flowers. This thorny, deciduous shrub grows to 4m in height forming impenetrable thickets or sometimes a more open cover and prefers dry habitats between sea level and 1000 m. In Australia it occurs along watercourses on rangeland and farmland limiting access to water. It has also become an invasive species in Fiji, French Polynesia, New Caledonia, Solomon Islands, and Vanuatu.","Invasive"
"Acacia mearnsii","Greening Australia: 33400","AU","china, cook islands, france, india, israel, italy, japan, madagascar, new zealand, portugal, reunion, saint helena, seychelles, south africa, spain, swaziland, taiwan, tanzania, united republic of, uganda, united states, zimbabwe","australia","Acacia mearnsii is a fast growing leguminous (nitrogen fixing) tree. Native to Australia, it is often used as a commercial source of tannin or a source of fire wood for local communities. It threatens native habitats by competing with indigenous vegetation, replacing grass communities, reducing native biodiversity and increasing water loss from riparian zones.","Invasive"
"Acacia melanoxylon","Greening Australia: 33300","AU","argentina, belgium, bhutan, bolivia, brazil, chile, china, colombia, ethiopia, france, india, kenya, lesotho, mauritius, new caledonia, new zealand, pakistan, peru, portugal, reunion, saint helena, south africa, spain, sri lanka, swaziland, tanzania, united republic of, united states, uruguay, venezuela","australia","Acacia melanoxylon is native in eastern Australia. This tree grows fast and tall, up to 45m height. It has a wide ecological tolerance, occurring over an extensive range of soils and climatic conditions, but develops better in colder climates. Control of its invasion of natural vegetation, commercial timber plantations and farmland incurs considerable costs, but its timber value and nursing of natural forest succession provides a positive contribution.","Invasive"
"Adenanthera pavonina","Faja Lobi: 5000","CG","american samoa, antigua and barbuda, australia, bahamas, barbados, bermuda, brazil, cameroon, cayman islands, chad, comoros, congo, the democratic republic of the, cook islands, dominica, dominican republic, fiji, french guiana, french polynesia, ghana, grenada, guadeloupe, guam, guinea-bissau, guyana, haiti, india, indonesia, jamaica, kiribati, malaysia, maldives, marshall islands, martinique, mauritius, mayotte, micronesia, federated states of, montserrat, mozambique, myanmar, nauru, nigeria, niue, northern mariana islands, pakistan, palau, papua new guinea, philippines, puerto rico, reunion, saint kitts and nevis, saint lucia, saint vincent and the grenadines, samoa, sao tome and principe, seychelles, sierra leone, solomon islands, sri lanka, suriname, taiwan, tanzania, united republic of, togo, tonga, uganda, united states, viet nam, wallis and futuna","australia, indonesia, malaysia, papua new guinea","A medium-sized tree up to 15m high, Adenanthera pavonina is native to India and Malaysia. It has been planted extensively throughout the tropics as an ornamental and has become naturalised in many countries. It invades intact, undisturbed hardwood forests as well as disturbed sites and can quickly form large colonies.","Invasive"
"Albizia lebbeck","Conservational International - Madagascar: 22325, Wells for Zoë: 40301","MG, MW","anguilla, bermuda, british indian ocean territory, french guiana, french polynesia, mayotte, new caledonia, reunion, saint lucia","","Albizia lebbeck probably originated in tropical Asia and was introduced for forestry or erosion control in many countries. Fast-growing and reaching 18 to 30m in height, it is now naturalised mainly in dry tropical regions and can invade natural and semi-natural environments, as is the case in Mayotte and La Réunion.","Invasive"
"Annona squamosa","Conservational International - Madagascar: 3096, Pangea EcoNetAssets Pvt Ltd: 12594","MG, IN","anguilla, french polynesia, mayotte, new caledonia, reunion","","Annona squamosa is native to tropical America and perhaps the Caribbean. Annona squamosa is the most cultivated species of the genus Annona and it grows wild in virtually all tropical areas. It is naturalized in Florida and in the south of the State of Bahia in Brazil, and it is invasive in other regions.","Invasive"
"Cedrela odorata","CONSERVATION INTERNATIONAL MÉXICO A. C.: 8512, Centro de Estudos da Cultura e do Meio Ambiente da Amazônia - RIOTERRA: 1200, Conservation International Colombia: 75804, Conservação Internacional do Brasil: 2079","MX, BR, CO","american samoa, antigua and barbuda, argentina, barbados, belize, bolivia, cayman islands, colombia, cook islands, costa rica, cuba, dominica, dominican republic, ecuador, el salvador, fiji, french guiana, french polynesia, grenada, guadeloupe, guatemala, guyana, haiti, honduras, jamaica, mexico, micronesia, federated states of, montserrat, new caledonia, nicaragua, panama, peru, saint kitts and nevis, saint lucia, samoa, south africa, suriname, tonga, united states, venezuela","argentina, brazil, mexico, puerto rico","Cedrela odorata is a native of the West Indies and from Central America to South America, including the Brazilian Atlantic and Amazon Rain Forest. It has been introduced to many Pacific Islands and South Africa. This fast growing timber tree has become invasive in some areas, especially those disturbed by cutting.","Invasive"
"Cinnamomum verum","Grupo Ambiental Natureza Bela (GANB): NA","BR","french polynesia, guadeloupe, martinique, mayotte, new caledonia, reunion, seychelles","","","Invasive"
"Dalbergia sissoo","Pangea EcoNetAssets Pvt Ltd: 65110","IN","afghanistan, australia, bangladesh, benin, cameroon, costa rica, cyprus, ethiopia, french polynesia, gabon, ghana, greater antilles                                                                                                                                                                                                                                          , indonesia, iran, islamic republic of, iraq, israel, kenya, malaysia, mauritius, new caledonia, nigeria, senegal, south africa, sri lanka, sudan, taiwan, tanzania, united republic of, thailand, togo, united states, zimbabwe","bhutan, india, myanmar, nepal, oman, pakistan","Dalbergia sissoo is a perennial tree that is economically important for its value in forestry, agroforestry, and horticulture. It provides timber, fuelwood, fodder, has medicinal value, used extensively as an ornamental tree as well as for shading, erosion control, and soil fertility. Native to the Indian sub-continent it is a member of the legume family and can fix nitrogen from the atmosphere through bacteria nodules on its root system. It has been introduced in various countries throughout the world, but has known to be invasive in Australia and in Florida (U.S.).","Invasive"
"Eriobotrya japonica","Conservational International - Madagascar: 464","MG","bermuda, french polynesia, mayotte, new caledonia, reunion, saint helena","","Eriobotrya japonica has been introduced to warm regions as a fruit or ornamental tree. In various Pacific islands and La Réunion, it can be invasive in natural environments.","Invasive"
