"project_country","species","country_name","datasetKey","scientificName","datasetTitle","status_notes","status"
"AU","Acacia dealbata","Australia",NA,NA,NA,NA,"Native"
"AU","Acacia mearnsii","Australia",NA,NA,NA,NA,"Native"
"AU","Eucalyptus amplifolia","Australia",NA,NA,NA,NA,"Native"
"AU","Eucalyptus cinerea","Australia",NA,NA,NA,NA,"Native"
"AU","Eucalyptus dives","Australia",NA,NA,NA,NA,"Native"
"AU","Eucalyptus macrorhyncha","Australia",NA,NA,NA,NA,"Native"
"AU","Eucalyptus melliodora","Australia",NA,NA,NA,NA,"Native"
"KE","trees","Kenya",NA,NA,NA,NA,"Needs further review"
"AU","Allocasuarina verticillata","Australia",NA,NA,NA,NA,"Native"
"AU","Bursaria spinosa","Australia",NA,NA,NA,NA,"Native"
"AU","Eucalyptus ovata","Australia",NA,NA,NA,NA,"Native"
"AU","Eucalyptus viminalis","Australia",NA,NA,NA,NA,"Native"
"AU","Leptospermum continentale","Australia",NA,NA,NA,NA,"Native"
"AU","Leptospermum lanigerum","Australia",NA,NA,NA,NA,"Native"
"AU","Acacia pycnantha","Australia",NA,NA,NA,NA,"Native"
"BR","Alchornea triplinervia","Brazil",NA,NA,NA,NA,"Native"
"BR","Allophylus edulis","Brazil",NA,NA,NA,NA,"Native"
"BR","Andira fraxinifolia","Brazil",NA,NA,NA,NA,"Native"
"BR","Annona coriacea","Brazil",NA,NA,NA,NA,"Native"
"BR","Annona mucosa","Brazil",NA,NA,NA,NA,"Native"
"BR","Annona muricata","Brazil",NA,NA,NA,NA,"Native"
"BR","Araça","Brazil",NA,NA,NA,NA,"Needs further review"
"BR","Arapatiella psilophylla","Brazil",NA,NA,NA,NA,"Native"
"BR","Astronium fraxinifolium","Brazil",NA,NA,NA,NA,"Native"
"BR","Bauhinia forficata","Brazil",NA,NA,NA,NA,"Native"
"BR","Bixa arborea","Brazil",NA,NA,NA,NA,"Native"
"BR","Bixa orellana","Brazil",NA,NA,NA,NA,NA
"BR","Byrsonima sericea","Brazil",NA,NA,NA,NA,NA
"BR","Caderno de capoeira","Brazil",NA,NA,NA,NA,NA
"BR","Caesalpinia echinata","Brazil",NA,NA,NA,NA,NA
"BR","Caesalpinia ferrea","Brazil",NA,NA,NA,NA,NA
"BR","Calophyllum brasiliense","Brazil",NA,NA,NA,NA,NA
"BR","Cambui vermelho","Brazil",NA,NA,NA,NA,NA
"BR","Capororoca","Brazil",NA,NA,NA,NA,NA
"BR","Cariniana legalis","Brazil",NA,NA,NA,NA,NA
"BR","Cecropia","Brazil",NA,NA,NA,NA,NA
"BR","Cedrella odorata","Brazil",NA,NA,NA,NA,NA
"BR","Centrolobium robustum","Brazil",NA,NA,NA,NA,NA
"BR","Chloroleucon tortum","Brazil",NA,NA,NA,NA,NA
"BR","Clarisia racemosa","Brazil",NA,NA,NA,NA,NA
"BR","Copaifera lucens","Brazil",NA,NA,NA,NA,NA
"BR","Cordia magnoliifolia","Brazil",NA,NA,NA,NA,NA
"BR","Cordia trichotoma","Brazil",NA,NA,NA,NA,NA
"BR","Croton urucurana","Brazil",NA,NA,NA,NA,NA
"BR","Citharexylum myrianthum","Brazil",NA,NA,NA,NA,NA
"BR","Dalbergia nigra","Brazil",NA,NA,NA,NA,NA
"BR","Embauba","Brazil",NA,NA,NA,NA,NA
"BR","Embiruçu","Brazil",NA,NA,NA,NA,NA
"BR","Enterolobium contortisiliquum","Brazil",NA,NA,NA,NA,NA
"BR","Eschweilera ovata","Brazil",NA,NA,NA,NA,NA
"BR","Eugenia florida","Brazil",NA,NA,NA,NA,NA
"BR","Eugenia uniflora","Brazil",NA,NA,NA,NA,NA
"BR","Farinha seca","Brazil",NA,NA,NA,NA,NA
"BR","Ficus enormis","Brazil",NA,NA,NA,NA,NA
"BR","Folheiro","Brazil",NA,NA,NA,NA,NA
"BR","Gallesia integrifolia","Brazil",NA,NA,NA,NA,NA
"BR","Gameleira preta","Brazil",NA,NA,NA,NA,NA
"BR","Genipa americana","Brazil",NA,NA,NA,NA,NA
"BR","Gonçalo Alves","Brazil",NA,NA,NA,NA,NA
"BR","Graviola","Brazil",NA,NA,NA,NA,NA
"BR","Guazuma ulmifolia","Brazil",NA,NA,NA,NA,NA
"BR","Handroanthus albus","Brazil",NA,NA,NA,NA,NA
"BR","Hymenaea courbaril","Brazil",NA,NA,NA,NA,NA
"BR","Inga marginata","Brazil",NA,NA,NA,NA,NA
"BR","Inga","Brazil",NA,NA,NA,NA,NA
"BR","Ipê 5 folhas","Brazil",NA,NA,NA,NA,NA
