"Organization_Name","Site_ID","size_class","Already Present","Planted","Unknown"
"AMBIO","744",">10cm",8.72555555555556,NA,NA
"AMBIO","746",">10cm",26.2933333333333,NA,NA
"AMBIO","747","1 - 9.9cm",135.703703703704,NA,NA
"AMBIO","747",">10cm",16.2844444444444,NA,NA
"AMBIO","747","<10cm planted",NA,8.14222222222222,NA
"AMBIO","750",">10cm",35.4588888888889,NA,NA
"AMBIO","751",">10cm",45.1753086419753,NA,NA
"AMBIO","753",">10cm",339.545555555556,NA,NA
"AMBIO","808",">10cm",3.23055555555556,NA,NA
"AMBIO","809","1 - 9.9cm",1180.22222222222,NA,NA
"AMBIO","809",">10cm",188.835555555556,NA,NA
"AMBIO","810","1 - 9.9cm",322.833333333333,NA,NA
"AMBIO","810",">10cm",232.44,NA,NA
"AMBIO","813","1 - 9.9cm",10741.6222222222,NA,NA
"AMBIO","813",">10cm",732.383333333333,NA,NA
"AMBIO","813","<10cm planted",NA,9.76511111111111,NA
"AMBIO","814","1 - 9.9cm",1100.66666666667,NA,NA
"AMBIO","814",">10cm",104.563333333333,NA,NA
"AMBIO","815",">10cm",310.582222222222,NA,NA
"AMBIO","817","1 - 9.9cm",1976.66666666667,NA,NA
"AMBIO","817",">10cm",49.4166666666667,NA,NA
"AMBIO","817","<10cm planted",NA,6.58888888888889,NA
"AMBIO","818","1 - 9.9cm",515.333333333333,NA,NA
"AMBIO","818",">10cm",144.293333333333,NA,NA
"AMBIO","819",">10cm",43.4066666666667,NA,NA
"AMBIO","819","<10cm planted",NA,7.23444444444444,NA
"AMBIO","820","1 - 9.9cm",509,NA,NA
"AMBIO","820",">10cm",55.99,NA,NA
"AMBIO","821","1 - 9.9cm",597.037037037037,NA,NA
"AMBIO","821",">10cm",155.22962962963,NA,NA
"AMBIO","822","1 - 9.9cm",252.277777777778,NA,NA
"AMBIO","822",">10cm",12.6138888888889,NA,NA
"AMBIO","823",">10cm",155.715555555556,NA,NA
"AMBIO","824","1 - 9.9cm",156.111111111111,NA,NA
"AMBIO","824",">10cm",32.7833333333333,NA,NA
"AMBIO","825","1 - 9.9cm",513.777777777778,NA,NA
"AMBIO","825",">10cm",113.031111111111,NA,NA
"AMBIO","828",">10cm",283.015555555556,NA,NA
"AMBIO","831",">10cm",84.73,NA,NA
"AMBIO","832","1 - 9.9cm",376.962962962963,NA,NA
"AMBIO","832",">10cm",22.6177777777778,NA,NA
"AMBIO","833",">10cm",141.826666666667,NA,NA
"Amadese","1744","1 - 9.9cm",839.024390243902,NA,679.609756097561
"Amadese","1744","<1cm",0,NA,NA
"Amadese","1744",">10cm",75.5121951219512,NA,109.073170731707
"Amadese","1744","<10cm planted",NA,9321.56097560976,NA
"Amadese","1745","1 - 9.9cm",33.1055555555556,NA,NA
"Amadese","1745",">10cm",158.906666666667,NA,NA
"Amadese","1745","<10cm planted",NA,231.738888888889,NA
"Amadese","1747","1 - 9.9cm",386.111111111111,NA,NA
"Amadese","1747",">10cm",2.57407407407407,NA,NA
"Amadese","1747","<10cm planted",NA,21.8796296296296,NA
"Amadese","1748",">10cm",74.9793186132481,NA,NA
"Amadese","1748","<10cm planted",NA,20156.9401538615,NA
"Amadese","1748","1 - 9.9cm",NA,NA,9997.24248176641
"Amadese","1748","<1cm",NA,NA,11246.8977919872
"Amadese","1749","1 - 9.9cm",16819.3291975309,NA,NA
"Amadese","1749","<1cm",38209.6666666667,NA,0
"Amadese","1749",">10cm",1422.2487037037,NA,NA
"Amadese","1749","<10cm planted",NA,44248.9167592593,NA
"Amadese","1750","1 - 9.9cm",1271.92266666667,NA,NA
"Amadese","1750",">10cm",575.278,NA,NA
"Amadese","1750","<10cm planted",NA,35477.904,NA
"Amadese","1751",">10cm",11.5144444444444,NA,NA
"Amadese","1751","<10cm planted",NA,322.404444444444,NA
"Amadese","1752","1 - 9.9cm",970.777777777778,NA,NA
"Amadese","1752","<10cm planted",NA,9290.34333333333,NA
"Amadese","1753","1 - 9.9cm",243.259259259259,NA,NA
"Amadese","1753",">10cm",335.697777777778,NA,NA
"Amadese","1753","<10cm planted",NA,131.36,NA
"Amadese","1755","<10cm planted",NA,371.555555555556,NA
"Amadese","1756","1 - 9.9cm",208.814814814815,NA,NA
"Amadese","1756",">10cm",12.5288888888889,NA,NA
"Amadese","1756","<10cm planted",NA,109.627777777778,NA
"Amadese","1757","1 - 9.9cm",32.826,NA,NA
"Amadese","1757",">10cm",5.471,NA,NA
"Amadese","1757","<10cm planted",NA,147.717,NA
"Amadese","1758","1 - 9.9cm",13292.1663149705,NA,14927.7258420079
"Amadese","1758","<1cm",58412.8402513351,NA,0
"Amadese","1758",">10cm",1315.37062491895,NA,116.82568050267
