"Organization_Name","Site_ID","size_class","Species","Already Present","Planted","Unknown"
"AMBIO","744",">10cm","Cordia alliodora",4.36277777777778,NA,NA
"AMBIO","744",">10cm","Gliricidia sepium",4.36277777777778,NA,NA
"AMBIO","746",">10cm","Cedrela odorata",3.28666666666667,NA,NA
"AMBIO","746",">10cm","Cordia alliodora",6.57333333333333,NA,NA
"AMBIO","746",">10cm","Diphysa americana",13.1466666666667,NA,NA
"AMBIO","746",">10cm","Guazuma ulmifolia",3.28666666666667,NA,NA
"AMBIO","747","1 - 9.9cm","Quercus",135.703703703704,NA,NA
"AMBIO","747",">10cm","Byrsonima crassifolia",4.07111111111111,NA,NA
"AMBIO","747",">10cm","Diphysa americana",4.07111111111111,NA,NA
"AMBIO","747",">10cm","Guazuma ulmifolia",4.07111111111111,NA,NA
"AMBIO","747",">10cm","Quercus",4.07111111111111,NA,NA
"AMBIO","747","<10cm planted","Malacate blanco",NA,8.14222222222222,NA
"AMBIO","750",">10cm","Cedrela odorata",5.06555555555556,NA,NA
"AMBIO","750",">10cm","Diphysa americana",10.1311111111111,NA,NA
"AMBIO","750",">10cm","Eysenhardtia adenostylis",10.1311111111111,NA,NA
"AMBIO","750",">10cm","Tabebuia rosea",10.1311111111111,NA,NA
"AMBIO","751",">10cm","Byrsonima crassifolia",2.82345679012346,NA,NA
"AMBIO","751",">10cm","Diphysa americana",8.47037037037037,NA,NA
"AMBIO","751",">10cm","Eysenhardtia adenostylis",8.47037037037037,NA,NA
"AMBIO","751",">10cm","Guazuma ulmifolia",8.47037037037037,NA,NA
"AMBIO","751",">10cm","Muntingia calabura",8.47037037037037,NA,NA
"AMBIO","751",">10cm","Tabebuia rosea",8.47037037037037,NA,NA
"AMBIO","753",">10cm","Cordia alliodora",61.7355555555556,NA,NA
"AMBIO","753",">10cm","Diphysa americana",92.6033333333333,NA,NA
"AMBIO","753",">10cm","Inga",123.471111111111,NA,NA
"AMBIO","753",">10cm","Quercus",61.7355555555556,NA,NA
"AMBIO","808",">10cm","Persea americana",3.23055555555556,NA,NA
"AMBIO","809","1 - 9.9cm","Lombricera",1180.22222222222,NA,NA
"AMBIO","809",">10cm","Acacia cornigera",17.7033333333333,NA,NA
