"Organization_Name","Site_ID","size_class.x","count_Y0","size_class.y","count_Y25","size_class","count_Y5","restored_Y25","restored_Y5"
"AMBIO","1267-2",">10cm",NA,NA,NA,NA,NA,NA,NA
"AMBIO","744",">10cm",8.72555555555556,NA,NA,NA,NA,NA,NA
"AMBIO","746",">10cm",26.2933333333333,NA,NA,NA,NA,NA,NA
"AMBIO","747","1 - 9.9cm",135.703703703704,NA,NA,NA,NA,NA,NA
"AMBIO","747",">10cm",16.2844444444444,NA,NA,NA,NA,NA,NA
"AMBIO","750",">10cm",35.4588888888889,NA,NA,NA,NA,NA,NA
"AMBIO","751",">10cm",45.1753086419753,NA,NA,NA,NA,NA,NA
"AMBIO","751
",">10cm",NA,NA,NA,NA,NA,NA,NA
"AMBIO","753",">10cm",339.545555555556,NA,NA,NA,NA,NA,NA
"AMBIO","808",">10cm",3.23055555555556,NA,NA,NA,NA,NA,NA
"AMBIO","809","1 - 9.9cm",1180.22222222222,NA,NA,NA,NA,NA,NA
"AMBIO","809",">10cm",188.835555555556,NA,NA,NA,NA,NA,NA
"AMBIO","810","1 - 9.9cm",322.833333333333,NA,NA,NA,NA,NA,NA
"AMBIO","810",">10cm",232.44,NA,NA,NA,NA,NA,NA
"AMBIO","813","1 - 9.9cm",10741.6222222222,NA,NA,NA,NA,NA,NA
"AMBIO","813",">10cm",732.383333333333,NA,NA,NA,NA,NA,NA
"AMBIO","814","1 - 9.9cm",1100.66666666667,NA,NA,NA,NA,NA,NA
"AMBIO","814",">10cm",104.563333333333,NA,NA,NA,NA,NA,NA
"AMBIO","815",">10cm",310.582222222222,NA,NA,NA,NA,NA,NA
"AMBIO","815.2","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"AMBIO","815.2",">10cm",NA,NA,NA,NA,NA,NA,NA
"AMBIO","817","1 - 9.9cm",1976.66666666667,NA,NA,NA,NA,NA,NA
"AMBIO","817",">10cm",49.4166666666667,NA,NA,NA,NA,NA,NA
"AMBIO","818","1 - 9.9cm",515.333333333333,NA,NA,NA,NA,NA,NA
"AMBIO","818",">10cm",144.293333333333,NA,NA,NA,NA,NA,NA
"AMBIO","819",">10cm",43.4066666666667,NA,NA,NA,NA,NA,NA
"AMBIO","820","1 - 9.9cm",509,NA,NA,NA,NA,NA,NA
"AMBIO","820",">10cm",55.99,NA,NA,NA,NA,NA,NA
"AMBIO","821","1 - 9.9cm",597.037037037037,NA,NA,NA,NA,NA,NA
"AMBIO","821",">10cm",155.22962962963,NA,NA,NA,NA,NA,NA
"AMBIO","822","1 - 9.9cm",252.277777777778,NA,NA,NA,NA,NA,NA
"AMBIO","822",">10cm",12.6138888888889,NA,NA,NA,NA,NA,NA
"AMBIO","823",">10cm",155.715555555556,NA,NA,NA,NA,NA,NA
"AMBIO","824","1 - 9.9cm",156.111111111111,NA,NA,NA,NA,NA,NA
"AMBIO","824",">10cm",32.7833333333333,NA,NA,NA,NA,NA,NA
"AMBIO","825","1 - 9.9cm",513.777777777778,NA,NA,NA,NA,NA,NA
"AMBIO","825",">10cm",113.031111111111,NA,NA,NA,NA,NA,NA
"AMBIO","828",">10cm",283.015555555556,NA,NA,NA,NA,NA,NA
"AMBIO","831",">10cm",84.73,NA,NA,NA,NA,NA,NA
"AMBIO","832","1 - 9.9cm",376.962962962963,NA,NA,NA,NA,NA,NA
"AMBIO","832",">10cm",22.6177777777778,NA,NA,NA,NA,NA,NA
"AMBIO","833",">10cm",141.826666666667,NA,NA,NA,NA,NA,NA
"AMBIO","909",">10cm",NA,NA,NA,NA,NA,NA,NA
"Amadese","1744","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"Amadese","1744",">10cm",75.5121951219512,NA,NA,NA,NA,NA,NA
"Amadese","1745","1 - 9.9cm",33.1055555555556,NA,NA,NA,NA,NA,NA
"Amadese","1745",">10cm",158.906666666667,NA,NA,NA,NA,NA,NA
"Amadese","1747","1 - 9.9cm",386.111111111111,NA,NA,NA,NA,NA,NA
"Amadese","1747",">10cm",2.57407407407407,NA,NA,NA,NA,NA,NA
"Amadese","1748",">10cm",74.9793186132481,NA,NA,NA,NA,NA,NA
"Amadese","1749","1 - 9.9cm",16819.3291975309,NA,NA,NA,NA,NA,NA
"Amadese","1749",">10cm",1422.2487037037,NA,NA,NA,NA,NA,NA
"Amadese","1750","1 - 9.9cm",1271.92266666667,NA,NA,NA,NA,NA,NA
"Amadese","1750",">10cm",575.278,NA,NA,NA,NA,NA,NA
"Amadese","1751","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"Amadese","1751",">10cm",11.5144444444444,NA,NA,NA,NA,NA,NA
"Amadese","1752","1 - 9.9cm",970.777777777778,NA,NA,NA,NA,NA,NA
"Amadese","1753","1 - 9.9cm",243.259259259259,NA,NA,NA,NA,NA,NA
"Amadese","1753",">10cm",335.697777777778,NA,NA,NA,NA,NA,NA
"Amadese","1756","1 - 9.9cm",208.814814814815,NA,NA,NA,NA,NA,NA
