"Plot_ID","Site_ID","SiteType","Plot_Type","Country","Organization_Name","Plot_Permanence","Monitoring_Plot_Size","Strata_Number","Timeframe","Date","Resample_Main_Plot","Resample_3x3_Subplot","OtherTime","Start_Time","End_Time","SiteSize","ControlSize","TreesPresent","PlantingPattern","Coordinate_System_Used","NE_Photo","SE_Photo","SW_Photo","NW_Photo","Photos","NE_Photo_Small_Site","SE_Photo_SmallSites","SW_Photo_SmallSites","NW_Photo_SmallSites","main_index","_id","uuid","__version__","instanceID","_xform_id_string","_uuid","_status","_submission_time","_submitted_by","Photo_of_AB_Sightline2","Photo_of_AC_Sightline2","Photo_of_AD_Sightline2","Description_of_subpl_ithin_30m_x_30m_plot2","Additional_Photos_Optional3","rootUuid","deprecatedID","Notes17","TinyTrees","Photo_of_AB_Sightline1","Photo_of_AC_Sightline1","Photo_of_AD_Sightline1","Notes21","Notes5","Notes11","Description_of_subpl_ithin_30m_x_30m_plot1","LittleTreesPresent","Notes14","Photos4","Additional_Photos_Optional1","File"
"P16","180","Control","Control","Malawi","Wells for Zoe",NA,"10x10","Erosion","Y0",2023-05-19,"0","2",NA,"10:52:00.000+02:00","10:52:00.000+02:00",NA,"No",NA,NA,"PSG","1684486446019.jpg","1684486491946.jpg","1684486536028.jpg","1684486579276.jpg",NA,NA,NA,NA,NA,285,240078335,"5fd2c309dc8446ada30a1db9fd875804","vQweBUazMtWE6nJLvHW57j","uuid:9652cde9-ece4-48a4-9998-b34dbae6cc8f","axhiGJQ8JzwkTYcgDTroJu","9652cde9-ece4-48a4-9998-b34dbae6cc8f","submitted_via_web",2023-05-22 14:07:31,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"Yes",NA,NA,NA,"No","No","1684486741008.jpg",NA,NA
"m34","180","Restoration","Restoration","Malawi","Wells for Zoe","Permanent","30x30","Reforestation","Y0",2023-05-23,"1","2",NA,"15:21:00.000+02:00","15:21:00.000+02:00","Yes",NA,NA,"2m by 2m","Gps","1684848269861.jpg","1684848332195.jpg","1684848373494.jpg","1684848414989.jpg",NA,NA,NA,NA,NA,299,240773215,"5fd2c309dc8446ada30a1db9fd875804","vQweBUazMtWE6nJLvHW57j","uuid:33af693e-9684-4e4e-96d2-0bf048281953","axhiGJQ8JzwkTYcgDTroJu","33af693e-9684-4e4e-96d2-0bf048281953","submitted_via_web",2023-05-25 04:44:04,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"Matyokolo",NA,NA,NA,"No",NA,"1684848611700.jpg",NA,NA
"1251-4","1251","Restoration","Restoration","Mexico","Macuiles","Permanent","30x30","Plantación tradicional no comercial","Y0",2023-05-29,"0","2",NA,"10:00:00.000-06:00","11:00:00.000-06:00","Yes",NA,NA,"Se plantaron a una distancia de 2m por 2 m.","Coordenadas geográficas","1685380255754.jpg","1685379771657.jpg","1685379996746.jpg","1685380117042.jpg",NA,NA,NA,NA,NA,354,244556395,"5fd2c309dc8446ada30a1db9fd875804","vQweBUazMtWE6nJLvHW57j","uuid:7d99703e-f0e9-4558-b7fa-8d86726f57f2","axhiGJQ8JzwkTYcgDTroJu","7d99703e-f0e9-4558-b7fa-8d86726f57f2","submitted_via_web",2023-06-09 02:27:28,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No","No hay árboles con DAP de 1-9,9cm.","1685380959578.jpg",NA,NA
"1251-2","1251","Restoration","Restoration","Mexico","Macuiles","Permanent","30x30","Plantación tradicional no comercial","Y0",2023-05-29,"0","2",NA,"08:23:00.000-06:00","10:23:00.000-06:00","Yes",NA,NA,"Se plantaron a una distancia de 2m por 2 m.","Coordenadas geográficas","1685373946477.jpg","1685374044470.jpg","1685374164385.jpg","1685374214982.jpg",NA,NA,NA,NA,NA,356,244558799,"5fd2c309dc8446ada30a1db9fd875804","vQweBUazMtWE6nJLvHW57j","uuid:05ff994d-75b2-49e5-beb4-16b34bceb605","axhiGJQ8JzwkTYcgDTroJu","05ff994d-75b2-49e5-beb4-16b34bceb605","submitted_via_web",2023-06-09 03:06:04,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No","No se encuentra árboles con DAP 1-9.9 cm",NA,NA,NA
"S0105MP2","1848","Restoration","Restoration","Madagascar","Taotsara","Permanent","30x30","Agroforesterie","Y0",2023-07-02,"2","2",NA,"10:18:00.000+03:00","11:30:00.000+03:00","Yes",NA,"No","10 m sur 10 m","WGS84","1688286504777.jpg","1688287016038.jpg","1688287114387.jpg","1688365256506.jpg",NA,NA,NA,NA,NA,802,253440157,"5fd2c309dc8446ada30a1db9fd875804","vSfgDLpbpvvAcontMvHWZt","uuid:65ac96d1-5cff-4938-93cf-0978c638d7ad","axhiGJQ8JzwkTYcgDTroJu","65ac96d1-5cff-4938-93cf-0978c638d7ad","submitted_via_web",2023-07-17 12:34:44,"ihillman",NA,NA,NA,NA,NA,"145f358c-6bbc-4210-8c2e-3a321470f767","uuid:145f358c-6bbc-4210-8c2e-3a321470f767",NA,"No",NA,NA,NA,NA,NA,NA,NA,"No","Il n'y a pas d'arbre de DPH 1 à 9.9 cm dans 30 m sur 30 m","1688287285306.jpg",NA,NA
"S0105MP3","1848","Restoration","Restoration","Madagascar","Taotsara","Permanent","30x30","Agroforesterie","Y0",2023-07-02,"2","2",NA,"11:53:00.000+03:00","12:53:00.000+03:00","Yes",NA,"No","10 m sur 10 m","WGS84","1688288178701.jpg","1688288440766.jpg","1688289072208.jpg","1688288648166.jpg",NA,NA,NA,NA,NA,803,253440555,"5fd2c309dc8446ada30a1db9fd875804","vSfgDLpbpvvAcontMvHWZt","uuid:7d0f5d4e-2bc1-425c-b020-6155fc475213","axhiGJQ8JzwkTYcgDTroJu","7d0f5d4e-2bc1-425c-b020-6155fc475213","submitted_via_web",2023-07-17 12:36:29,"ihillman",NA,NA,NA,NA,NA,"273a93c2-eb20-48b5-9491-a9a8fbcdb8be","uuid:273a93c2-eb20-48b5-9491-a9a8fbcdb8be",NA,"No",NA,NA,NA,NA,NA,NA,NA,"No","Il n'y a pas de plante de DHP  de 1 à 9,9 cm dans le parcette",NA,NA,NA
"S0105MP6","1848","Restoration","Restoration","Madagascar","Taotsara","Permanent","30x30","Tree Planting","Y0",2023-07-03,"2","2",NA,"09:30:00.000+03:00","10:30:00.000+03:00","Yes",NA,NA,"2 m sur 2 m","WGS84","1688367419867.jpg","1688367478487.jpg","1688367141803.jpg","1688367242852.jpg",NA,NA,NA,NA,NA,812,253441986,"5fd2c309dc8446ada30a1db9fd875804","vSfgDLpbpvvAcontMvHWZt","uuid:a5afe1ed-890e-48f7-b37a-1740d8d7495c","axhiGJQ8JzwkTYcgDTroJu","a5afe1ed-890e-48f7-b37a-1740d8d7495c","submitted_via_web",2023-07-17 12:43:05,"ihillman",NA,NA,NA,NA,NA,"dcdea4cd-f55a-4419-8ca3-71b83246f567","uuid:dcdea4cd-f55a-4419-8ca3-71b83246f567",NA,"No",NA,NA,NA,"Il n'y a pas d'arbre plus de 10 cm de Diamètre dans le parcelle",NA,NA,NA,"No","Il n'y a pas d'arbre avec DHP de 1 à 9,9 dans le placette.",NA,NA,NA
"S0105MP9","1848","Restoration","Restoration","Madagascar","Taotsara","Permanent","30x30","Tree Planting","Y0",2023-07-03,"2","2",NA,"14:03:00.000+03:00","15:54:00.000+03:00","Yes",NA,NA,"2 m sur 2 m","WGS84","1688374637854.jpg","1688374803949.jpg","1688375027458.jpg","1688375257445.jpg",NA,NA,NA,NA,NA,821,253443382,"5fd2c309dc8446ada30a1db9fd875804","vSfgDLpbpvvAcontMvHWZt","uuid:6fb13657-0e9f-44b9-81bc-0813967e67f4","axhiGJQ8JzwkTYcgDTroJu","6fb13657-0e9f-44b9-81bc-0813967e67f4","submitted_via_web",2023-07-17 12:48:28,"ihillman",NA,NA,NA,NA,NA,"8769535b-7a4f-4c5a-ba05-0d7f58be972c","uuid:8769535b-7a4f-4c5a-ba05-0d7f58be972c",NA,"No",NA,NA,NA,"Il n'existe pas d'arbre avec DBH >10 cm dans la placette.",NA,NA,NA,"No","Il n'existe pas d'arbre dont le DHP est de 1 à 9,9 cm.",NA,NA,NA
"S0087MP9","1830","Restoration","Restoration","Madagascar","Taotsara","Permanent","30x30","Tree planting","Y0",2023-07-07,"0","2",NA,"10:19:00.000+03:00","11:25:00.000+03:00","Yes",NA,NA,"2m.2m","WGS84","1688558171983.jpg","1688558230246.jpg","1688558284450.jpg","1688558335047.jpg",NA,NA,NA,NA,NA,826,253443905,"5fd2c309dc8446ada30a1db9fd875804","vSfgDLpbpvvAcontMvHWZt","uuid:fd71a629-fa56-4632-9ef3-aeda209fa648","axhiGJQ8JzwkTYcgDTroJu","fd71a629-fa56-4632-9ef3-aeda209fa648","submitted_via_web",2023-07-17 12:50:43,"ihillman",NA,NA,NA,NA,NA,"5d62fa3b-5207-4934-b08b-47eb10ba2a4a","uuid:5d62fa3b-5207-4934-b08b-47eb10ba2a4a",NA,"Yes",NA,NA,NA,"Aucun arbres avec DBH>10 cm dans la placette de 30m.30m",NA,NA,NA,"No",NA,NA,NA,NA
"S0119MP14","1862","Restoration","Restoration","Madagascar","Taotsara","Permanent","30x30","Agroforestery","Y0",2023-07-04,"0","2",NA,"10:33:00.000+03:00","11:03:00.000+03:00","Yes",NA,NA,"7m.7m","WGS84","1688457388013.jpg","1688457669530.jpg","1688457762096.jpg","1688457869360.jpg",NA,NA,NA,NA,NA,832,253444614,"5fd2c309dc8446ada30a1db9fd875804","vSfgDLpbpvvAcontMvHWZt","uuid:3c885466-cf9d-424e-9fc8-cc8c5ba50154","axhiGJQ8JzwkTYcgDTroJu","3c885466-cf9d-424e-9fc8-cc8c5ba50154","submitted_via_web",2023-07-17 12:53:31,"ihillman",NA,NA,NA,NA,NA,"4ac1699a-610e-470d-b839-660a4f3efc7f","uuid:4ac1699a-610e-470d-b839-660a4f3efc7f",NA,"No",NA,NA,NA,"Il n'y a pas d'arbres avec DBH plus de 10cm enregistrées dans le parcelle de 30m.30m",NA,NA,NA,"No",NA,NA,NA,NA
