"","Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","destination_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe","submitted_species_name","name_validation","score","data_source_title"
"1","Palo de canela silvestre",NA,2,NA,"1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",93,2288,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo de canela silvestre","Needs Review",NA,NA
"2","Palo de canela silvestre","Present",1,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",97,2289,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo de canela silvestre","Needs Review",NA,NA
"3","Palo de canela silvestre","Present",4,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",101,2290,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo de canela silvestre","Needs Review",NA,NA
"4","Palo de canela silvestre","Present",1,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",104,2291,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo de canela silvestre","Needs Review",NA,NA
"5","Palo de canela silvestre","Present",1,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",113,2292,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por m","Y0","Palo de canela silvestre","Needs Review",NA,NA
"6","Palo de leche amarillo","Present",1,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",115,2293,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo de leche amarillo","Needs Review",NA,NA
"7","Palo de canela silvestre","Present",3,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",117,2293,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo de canela silvestre","Needs Review",NA,NA
"8","Palo de pajarito","Present",9,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",122,2294,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo de pajarito","Needs Review",NA,NA
"9","Douglas","planted",2,"<10cm planted","329","34","France","Reforest Action","Restoration","Restoration","3x3",16,18,"main","Nested_3x3_within_30x30",NA,"Permanent",0,0,"Same que 28","Y0","Douglas","Needs Review",NA,NA
"10",NA,"Present",NA,"1 - 9.9cm","488","R1","UAE","Emirate Nature - WWF","Restoration","Restoration","3x3",46,40,"main","Nested_3x3_within_30x30",NA,"Permanent",0,0,"50cm above and below existing mangrove line in a zig zag formation. In areas where soils get inundated further inland, a further row of mangroves are planted in a 50cm pattern above the upper line of mangroves","Y0",NA,"Needs Review",NA,NA
"11",NA,"Present",NA,"1 - 9.9cm","488","R1","UAE","Emirate Nature - WWF","Restoration","Restoration","3x3",47,40,"main","Nested_3x3_within_30x30",NA,"Permanent",0,0,"50cm above and below existing mangrove line in a zig zag formation. In areas where soils get inundated further inland, a further row of mangroves are planted in a 50cm pattern above the upper line of mangroves","Y0",NA,"Needs Review",NA,NA
"12",NA,"planted",NA,"<10cm planted","488","R1","UAE","Emirate Nature - WWF","Restoration","Restoration","3x3",48,40,"main","Nested_3x3_within_30x30",NA,"Permanent",0,0,"50cm above and below existing mangrove line in a zig zag formation. In areas where soils get inundated further inland, a further row of mangroves are planted in a 50cm pattern above the upper line of mangroves","Y0",NA,"Needs Review",NA,NA
"13","Fraises exelsion","Present",1,"1 - 9.9cm","329","31","France","Reforest Action","Restoration","Restoration","3x3",NA,15,NA,"main","Nested_3x3_within_30x30","Permanent",0,0,"Same as 28","Y0","Fraises exelsion","Needs Review",NA,NA
