"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"Aglaia rimosa","Present",1,"<1cm","211","Control 02","Philippines","CI Philippines","Control","Control","1x1",1,45,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Swietenia foxworthyi","Present",1,"<1cm","211","Control 01","Philippines","CI Philippines","Control","Control","1x1",2,46,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Alangium javanicum","Present",1,"<1cm","211","Control 01","Philippines","CI Philippines","Control","Control","1x1",3,46,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Syzygium xanthophyllum","Present",1,"<1cm","211","Control 01","Philippines","CI Philippines","Control","Control","1x1",4,46,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Neonauclea formicaria","Present",1,"<1cm","211","Control 01","Philippines","CI Philippines","Control","Control","1x1",5,46,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Koordersiodendron pinnatum","Present",1,"<1cm","211","Plot No. 03","Philippines","CI Philippines","Control","Control","1x1",6,47,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Artocarpus blancoi","Present",1,"<1cm","211","Plot No. 03","Philippines","CI Philippines","Control","Control","1x1",7,47,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Sapium luzonicum","Present",1,"<1cm","211","Plot No. 03","Philippines","CI Philippines","Control","Control","1x1",8,47,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Pterospermum diversifolium Blume","Present",1,"<1cm","211","Plot No. 03","Philippines","CI Philippines","Control","Control","1x1",9,47,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Diospyros blancoi","Present",1,"<1cm","211","Plot No. 03","Philippines","CI Philippines","Control","Control","1x1",10,47,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Dimorphocalyx luzoniensis","Present",1,"<1cm","211","Plot No. 03","Philippines","CI Philippines","Control","Control","1x1",11,47,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Sandoricum vidalii","Present",1,"<1cm","211","Plot No. 03","Philippines","CI Philippines","Control","Control","1x1",12,47,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Canarium asperum","Present",1,"<1cm","211","Plot No. 03","Philippines","CI Philippines","Control","Control","1x1",13,47,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Dipterocarpus grandiflorus","Present",1,"<1cm","211","Plot No. 04","Philippines","CI Philippines","Control","Control","1x1",14,48,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Tristanosis decortecata","Present",1,"<1cm","211","Plot No. 04","Philippines","CI Philippines","Control","Control","1x1",15,48,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Buchanania arborescens","Present",1,"<1cm","211","Plot No. 04","Philippines","CI Philippines","Control","Control","1x1",16,48,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Swietenia foxworthyi","Present",1,"<1cm","211","Plot No. 04","Philippines","CI Philippines","Control","Control","1x1",17,48,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Diospyros pyrrhocarpa","Present",1,"<1cm","211","Plot No.05","Philippines","CI Philippines","Control","Control","1x1",18,49,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Mussaenda philippica","Present",1,"<1cm","211","Plot No.05","Philippines","CI Philippines","Control","Control","1x1",19,49,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Macaranga tanarius","Present",1,"<1cm","211","Plot No.05","Philippines","CI Philippines","Control","Control","1x1",20,49,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Leucosyke capitellata","Present",1,"<1cm","211","Plot No.05","Philippines","CI Philippines","Control","Control","1x1",21,49,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Terminalia calamansanai","Present",1,"<1cm","211","Plot No.05","Philippines","CI Philippines","Control","Control","1x1",22,49,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Alangium javanicum","Present",1,"<1cm","211","Plot No.05","Philippines","CI Philippines","Control","Control","1x1",23,49,"main","Nested_1x1",NA,"0","0",NA,"Y0"
"Drypetes grandifolia","naturally_regenerating",1,"<1cm","211","Plot No. 001","Philippines","CI Philippines","Restoration","Restoration","1x1",24,57,"main","Nested_1x1","Permanent","0","0","Trees were planted with a 3m by 2m spacing","Y0"
"Macaranga tanarius","Present",1,"<1cm","211","Plot No. 001","Philippines","CI Philippines","Restoration","Restoration","1x1",25,57,"main","Nested_1x1","Permanent","0","0","Trees were planted with a 3m by 2m spacing","Y0"
"Ficus septica","Present",1,"<1cm","211","Plot No. 001","Philippines","CI Philippines","Restoration","Restoration","1x1",26,57,"main","Nested_1x1","Permanent","0","0","Trees were planted with a 3m by 2m spacing","Y0"
