"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"Quercus robur","naturally_regenerating",8,"1 - 9.9cm","333","46","France","Reforest Action","Restoration","Restoration","3x3",1,4,"main","Nested_3x3_within_30x30_2","Permanent","0","0","Plantation tous les 3 mètre avec cloiso de 5m","Y0"
"Avicenna Marina","Present",3,"1 - 9.9cm","488","R1","UAE","Emirate Nature - WWF","Restoration","Restoration","3x3",2,40,"main","Nested_3x3_within_30x30_2","Permanent","0","0","50cm above and below existing mangrove line in a zig zag formation. In areas where soils get inundated further inland, a further row of mangroves are planted in a 50cm pattern above the upper line of mangroves","Y0"
"Avicenna Marina","Present",2,"1 - 9.9cm","488","R3","UAE","Emirate Nature - WWF","Restoration","Restoration","3x3",3,41,"main","Nested_3x3_within_30x30_2","Permanent","0","0","Zig zag 50cm apart and 50cm from the existing mangroves (upper and lower). In areas where further inland areas are inundated, a further line of mangroves are planted","Y0"
"Avicennia marina","Present",3,"1 - 9.9cm","488","C1","UAE","Emirate Nature - WWF","Control","Control","3x3",4,42,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"Avicennia marina","Present",12,"1 - 9.9cm","489","R6","UAE","Emirate Nature - WWF","Restoration","Restoration","3x3",5,43,"main","Nested_3x3_within_30x30_2","Permanent","0","0","Zig-Zag - 50cm above and below the existing line of mangroves (where present). 50cm between each mangrove, between 4-6 rows","Y0"
"Avicennia marina (<130cm)","Present",7,"1 - 9.9cm","489","C2","UAE","Emirate Nature - WWF","Control","Control","3x3",6,44,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"Buchanania arborescens (Blume)","Present",1,"1 - 9.9cm","211","Control 02","Philippines","CI Philippines","Control","Control","3x3",7,45,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"Terminalia microcarpa","Present",2,"1 - 9.9cm","211","Control 02","Philippines","CI Philippines","Control","Control","3x3",8,45,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"Garcinia forbesii","Present",1,"1 - 9.9cm","211","Control 02","Philippines","CI Philippines","Control","Control","3x3",9,45,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"Litsea glutinosa","Present",2,"1 - 9.9cm","211","Control 02","Philippines","CI Philippines","Control","Control","3x3",10,45,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"Syzygium costulatum","Present",1,"1 - 9.9cm","211","Control 02","Philippines","CI Philippines","Control","Control","3x3",11,45,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"Guioa pleuropteris","Present",1,"1 - 9.9cm","211","Control 02","Philippines","CI Philippines","Control","Control","3x3",12,45,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"Terminalia microcarpa","Present",1,"1 - 9.9cm","211","Control 01","Philippines","CI Philippines","Control","Control","3x3",13,46,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"Azadirachta excelsa","Present",2,"1 - 9.9cm","211","Control 01","Philippines","CI Philippines","Control","Control","3x3",14,46,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"Tritaxis malayana","Present",3,"1 - 9.9cm","211","Plot No. 03","Philippines","CI Philippines","Control","Control","3x3",15,47,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"Aglaia luzoniensis","Present",1,"1 - 9.9cm","211","Plot No. 03","Philippines","CI Philippines","Control","Control","3x3",16,47,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"Neonauclea formicaria","Present",1,"1 - 9.9cm","211","Plot No. 03","Philippines","CI Philippines","Control","Control","3x3",17,47,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"Artocarpus blancoi","Present",1,"1 - 9.9cm","211","Plot No. 04","Philippines","CI Philippines","Control","Control","3x3",18,48,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"Mussaenda philippica","Present",1,"1 - 9.9cm","211","Plot No. 04","Philippines","CI Philippines","Control","Control","3x3",19,48,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"Garcinia forbesii","Present",1,"1 - 9.9cm","211","Plot No. 04","Philippines","CI Philippines","Control","Control","3x3",20,48,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"Alangium javanicum","Present",3,"1 - 9.9cm","211","Plot No.05","Philippines","CI Philippines","Control","Control","3x3",21,49,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"Drypetes grandifolia","Present",1,"1 - 9.9cm","211","Plot No.05","Philippines","CI Philippines","Control","Control","3x3",22,49,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"Macaranga tanarius","Present",1,"1 - 9.9cm","211","Plot No.05","Philippines","CI Philippines","Control","Control","3x3",23,49,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"Artocarpus ovatus","Present",1,"1 - 9.9cm","211","Plot No.05","Philippines","CI Philippines","Control","Control","3x3",24,49,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"D melonoxylon","planted",1,"<10cm planted","273B1P1","273B1P1","India","Grow Trees","Restoration","Restoration","3x3",25,53,"main","Nested_3x3_within_30x30_2","Permanent","0","0","Trees were planted with a 6 ft by 6 ft spacing","Y0"
"Butea monosperma","planted",1,"<10cm planted","273B1P1","273B1P1","India","Grow Trees","Restoration","Restoration","3x3",26,53,"main","Nested_3x3_within_30x30_2","Permanent","0","0","Trees were planted with a 6 ft by 6 ft spacing","Y0"
"Tectona grandis","planted",2,"<10cm planted","Rr","T5","India","Grow Trees","Restoration","Restoration","3x3",27,54,"main","Nested_3x3_within_30x30_2","Permanent","0","0","1.5x1.5m","Y0"
"Tectona grandis","planted",3,"<10cm planted","Rr","T5","India","Grow Trees","Restoration","Restoration","3x3",28,55,"main","Nested_3x3_within_30x30_2","Randomized","0","0","1.5x1.5m","Y0"
"Azadirachta indica","naturally_regenerating",1,"1 - 9.9cm","Rr","Rr","India","Grow Trees","Control","Control","3x3",29,56,"main","Nested_3x3_within_30x30_2",NA,"0","0",NA,"Y0"
"Artocarpus blancoi  (Elmer) Merr.","Present",5,"1 - 9.9cm","211","Plot No. 001","Philippines","CI Philippines","Restoration","Restoration","3x3",30,57,"main","Nested_3x3_within_30x30_2","Permanent","0","0","Trees were planted with a 3m by 2m spacing","Y0"
"Alstonia scholaris (L.)","Present",1,"1 - 9.9cm","211","Plot No. 001","Philippines","CI Philippines","Restoration","Restoration","3x3",31,57,"main","Nested_3x3_within_30x30_2","Permanent","0","0","Trees were planted with a 3m by 2m spacing","Y0"
"Myristica philippinensis","Present",2,"1 - 9.9cm","211","Plot No. 001","Philippines","CI Philippines","Restoration","Restoration","3x3",32,57,"main","Nested_3x3_within_30x30_2","Permanent","0","0","Trees were planted with a 3m by 2m spacing","Y0"
"Intsia bijuga","Present",3,"1 - 9.9cm","211","Plot No. 001","Philippines","CI Philippines","Restoration","Restoration","3x3",33,57,"main","Nested_3x3_within_30x30_2","Permanent","0","0","Trees were planted with a 3m by 2m spacing","Y0"
