"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"None","planted",NA,"<10cm planted","1760","ATKC004","Madagascar","CI Madagascar","Control","Control","30x30",1,61,"main","Planted_30x30_2",NA,"0","2",NA,"Y0"
"None","planted",NA,"<10cm planted","1761","ATKC005","Madagascar","CI Madagascar","Control","Control","30x30",2,63,"main","Planted_30x30_2",NA,"0","2",NA,"Y0"
"None","planted",NA,"<10cm planted","1746","S0003CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",3,105,"main","Planted_30x30_2",NA,"0","2",NA,"Y0"
"Néant","planted",NA,"<10cm planted","1744","S0001CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",4,106,"main","Planted_30x30_2",NA,"0","2",NA,"Y0"
"Néant","planted",NA,"<10cm planted","1750","S0007CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",5,107,"main","Planted_30x30_2",NA,"0","2",NA,"Y0"
"None","planted",NA,"<10cm planted","1792","S0049CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",6,108,"main","Planted_30x30_2",NA,"0","2",NA,"Y0"
"None","planted",NA,"<10cm planted","1766","S0023CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",7,109,"main","Planted_30x30_2",NA,"0","2",NA,"Y0"
"None","planted",NA,"<10cm planted","1781","S0038CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",8,111,"main","Planted_30x30_2",NA,"0","2",NA,"Y0"
"None","planted",NA,"<10cm planted","1788","S0045CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",9,112,"main","Planted_30x30_2",NA,"0","2",NA,"Y0"
"None","planted",NA,"<10cm planted","1840","S0097CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",10,114,"main","Planted_30x30_2",NA,"0","2",NA,"Y0"
