"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"fdf",NA,NA,NA,"S01","P01","Madagascar","CI Madagascar","Restoration","Restoration","3x3",1,50,"main","Small_3x3","Permanent","0","0","2msur2m","Y0"
"Avicenna Marina <130cm","Present",2,">1cm","2094","R4","UAE","Emirate Nature - WWF","Restoration","Restoration","3x3",2,178,"main","Small_3x3","Permanent","0","0","Zig zag 100 cm apart and200 cm from the existing mangroves","Y0"
"Bauhinia",NA,NA,NA,"180","M8","Malawi","Wells for Zoe","Restoration","Restoration","3x3",3,257,"main","Small_3x3","Permanent","0","0","2m by 2m","Y0"
"Sapindus saponaria","Present",1,">1cm","1250","1250-2","Mexico","Macuiles","Restoration","Restoration","3x3",4,352,"main","Small_3x3","Permanent","0","0","Se sembraron a una distancia de 2 m por 2m.","Y0"
"Plumeria rubra","Present",1,">1cm","1250","1250-2","Mexico","Macuiles","Restoration","Restoration","3x3",5,352,"main","Small_3x3","Permanent","0","0","Se sembraron a una distancia de 2 m por 2m.","Y0"
"Bursera simaruba","Present",1,">1cm","1250","1250-1","Mexico","Macuiles","Restoration","Restoration","3x3",6,353,"main","Small_3x3","Permanent","0","0","Se plantaron a una distancia de 2 m por 2 m.","Y0"
NA,"planted",NA,"<10cm planted","1895","S0152MP3","Madagascar","Taotsara","Restoration","Restoration","3x3",7,788,"main","Small_3x3","Permanent","0","0","2m sur 2m","Y0"
"Coffea","planted",1,"<10cm planted","1884","S0141MP1","Madagascar","Taotsara","Restoration","Restoration","3x3",8,790,"main","Small_3x3","Permanent","0","0","5m sur 5m","Y0"
NA,"Present",3,">1cm","1892","S0149","Madagascar","Taotsara","Restoration","Restoration","3x3",9,799,"main","Small_3x3","Permanent","0","0","5m sur 5m","Y0"
"Albizzia gummifera","Present",2,">1cm","1852","S0109MP1","Madagascar","Taotsara","Restoration","Restoration","3x3",10,808,"main","Small_3x3","Permanent","0","0","2,5 m sur 4 m","Y0"
NA,"planted",NA,"<10cm planted","1848","S0105MP8","Madagascar","Taotsara","Restoration","Restoration","3x3",11,818,"main","Small_3x3","Permanent","0","0","2 m sur 2 m","Y0"
"Brachylaena perrieri","Present",1,">1cm","1856","S0113MP1","Madagascar","Taotsara","Restoration","Restoration","3x3",12,834,"main","Small_3x3","Permanent","0","0","2 m sur 2 m","Y0"
"Syzygium arromaticum","planted",1,"<10cm planted","1827","S0084MP1","Madagascar","Taotsara","Restoration","Restoration","3x3",13,835,"main","Small_3x3","Permanent","0","0","7*7","Y0"
