"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","destination_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe","submitted_species_name","name_validation","score","data_source_title"
"Pinus sylvestris","naturally_regenerating",NA,">10cm","1","45((634",NA,"test","Restoration","Restoration","30x30",1,2,"main","Normal_30x30",NA,"Permanent",1,0,"a","Y0","pinus sylvestris","Resolved",NA,NA
"Quercus robur","Present",3,">10cm","333","44","France","Reforest Action","Restoration","Restoration","30x30",2,9,"main","Normal_30x30",NA,"Permanent",0,0,"Idem 46","Y0","Quercy robur","Resolved",NA,NA
"Populus","Present",1,">10cm","333","44","France","Reforest Action","Restoration","Restoration","30x30",3,9,"main","Normal_30x30",NA,"Permanent",0,0,"Idem 46","Y0","Populus","Resolved",0.75,"The International Plant Names Index"
"Prunus avium","Present",1,">10cm","333","44","France","Reforest Action","Restoration","Restoration","30x30",4,9,"main","Normal_30x30",NA,"Permanent",0,0,"Idem 46","Y0","Prunus avium","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Quercus","Present",3,">10cm","334","16","France","Reforest Action","Restoration","Restoration","30x30",5,20,"main","Normal_30x30",NA,"Permanent",0,0,"2m entre plantes x 5m entre lignes","Y0","Quercus","Resolved",0.75,"The International Plant Names Index"
"Carpinus betulus","Present",2,">10cm","334","16","France","Reforest Action","Restoration","Restoration","30x30",6,20,"main","Normal_30x30",NA,"Permanent",0,0,"2m entre plantes x 5m entre lignes","Y0","Carpinus betulus","Resolved",0.988,"The International Plant Names Index"
"Pinus","Present",4,">10cm","334","16","France","Reforest Action","Restoration","Restoration","30x30",7,20,"main","Normal_30x30",NA,"Permanent",0,0,"2m entre plantes x 5m entre lignes","Y0","Pinus sp","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Quercus","Present",7,">10cm","334","18","France","Reforest Action","Restoration","Restoration","30x30",8,22,"main","Normal_30x30",NA,"Permanent",0,0,"Same as 16","Y0","Quercus","Resolved",0.75,"The International Plant Names Index"
"Carpinus betulus","Present",1,">10cm","334","18","France","Reforest Action","Restoration","Restoration","30x30",9,22,"main","Normal_30x30",NA,"Permanent",0,0,"Same as 16","Y0","Carpinus betulus","Resolved",0.988,"The International Plant Names Index"
"Carpinus betulus","Present",4,">10cm","334","19","France","Reforest Action","Restoration","Restoration","30x30",10,23,"main","Normal_30x30",NA,"Permanent",0,0,"Same as 16","Y0","Carpinus betulus","Resolved",0.988,"The International Plant Names Index"
"Quercus","Present",5,">10cm","334","19","France","Reforest Action","Restoration","Restoration","30x30",11,23,"main","Normal_30x30",NA,"Permanent",0,0,"Same as 16","Y0","Quercus","Resolved",0.75,"The International Plant Names Index"
"Betula pendula","Present",10,">10cm","334","20","France","Reforest Action","Restoration","Restoration","30x30",12,24,"main","Normal_30x30",NA,"Permanent",0,0,"Same as 16","Y0","Betula pendula","Resolved",0.988,"The International Plant Names Index"
"Quercus","Present",1,">10cm","334","20","France","Reforest Action","Restoration","Restoration","30x30",13,24,"main","Normal_30x30",NA,"Permanent",0,0,"Same as 16","Y0","Quercus","Resolved",0.75,"The International Plant Names Index"
"Quercus","Present",1,">10cm","334","22","France","Reforest Action","Restoration","Restoration","30x30",14,25,"main","Normal_30x30",NA,"Permanent",0,0,"Same as 16","Y0","Quercus","Resolved",0.75,"The International Plant Names Index"
"Carpinus betulus","Present",6,">10cm","334","22","France","Reforest Action","Restoration","Restoration","30x30",15,25,"main","Normal_30x30",NA,"Permanent",0,0,"Same as 16","Y0","Carpinus betulus","Resolved",0.988,"The International Plant Names Index"
"Quercus","Present",1,">10cm","334","24","France","Reforest Action","Restoration","Restoration","30x30",16,27,"main","Normal_30x30",NA,"Permanent",0,0,"Same as 16","Y0","Quercus","Resolved",0.75,"The International Plant Names Index"
"Carpinus betulus","Present",6,">10cm","334","24","France","Reforest Action","Restoration","Restoration","30x30",17,27,"main","Normal_30x30",NA,"Permanent",0,0,"Same as 16","Y0","Carpinus betulus","Resolved",0.988,"The International Plant Names Index"
"Betula","Present",3,">10cm","334","24","France","Reforest Action","Restoration","Restoration","30x30",18,27,"main","Normal_30x30",NA,"Permanent",0,0,"Same as 16","Y0","Betula sp","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Quercus","Present",1,">10cm","334","25","France","Reforest Action","Restoration","Restoration","30x30",19,28,"main","Normal_30x30",NA,"Permanent",0,0,"Same as 16","Y0","quercus","Resolved",0.75,"The International Plant Names Index"
"Carpinus betulus","Present",1,">10cm","334","25","France","Reforest Action","Restoration","Restoration","30x30",20,28,"main","Normal_30x30",NA,"Permanent",0,0,"Same as 16","Y0","Carpinus betulus","Resolved",0.988,"The International Plant Names Index"
"Pinus","Present",1,">10cm","334","25","France","Reforest Action","Restoration","Restoration","30x30",21,28,"main","Normal_30x30",NA,"Permanent",0,0,"Same as 16","Y0","Pinus sp","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Pinus","Present",2,">10cm","334","26","France","Reforest Action","Restoration","Restoration","30x30",22,29,"main","Normal_30x30",NA,"Permanent",0,0,"Same as 16","Y0","Pinus sp","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Betula","Present",1,">10cm","334","26","France","Reforest Action","Restoration","Restoration","30x30",23,29,"main","Normal_30x30",NA,"Permanent",0,0,"Same as 16","Y0","Betula sp","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Acer pseudoplatanus","Present",12,">10cm","279","3","France","Reforest Action","Restoration","Restoration","30x30",24,32,"main","Normal_30x30",NA,"Permanent",0,0,"Cette parcelle est dans un îlot qui n'a été pas touché' dont pas de plantation","Y0","Acer pseudoplatanus","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Carpinus betulus","Present",4,">10cm","279","3","France","Reforest Action","Restoration","Restoration","30x30",25,32,"main","Normal_30x30",NA,"Permanent",0,0,"Cette parcelle est dans un îlot qui n'a été pas touché' dont pas de plantation","Y0","Carpinus betulus","Resolved",0.988,"The International Plant Names Index"
"Fagus sylvatica","Present",2,">10cm","279","3","France","Reforest Action","Restoration","Restoration","30x30",26,32,"main","Normal_30x30",NA,"Permanent",0,0,"Cette parcelle est dans un îlot qui n'a été pas touché' dont pas de plantation","Y0","Fagus silvatica","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Tilia cordata","Present",3,">10cm","279","3","France","Reforest Action","Restoration","Restoration","30x30",27,32,"main","Normal_30x30",NA,"Permanent",0,0,"Cette parcelle est dans un îlot qui n'a été pas touché' dont pas de plantation","Y0","Talia cordata","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Quercus","Present",1,">10cm","279","3","France","Reforest Action","Restoration","Restoration","30x30",28,32,"main","Normal_30x30",NA,"Permanent",0,0,"Cette parcelle est dans un îlot qui n'a été pas touché' dont pas de plantation","Y0","Quercus","Resolved",0.75,"The International Plant Names Index"
"Cecropia peltata","Present",5,">10cm","550","550-2","Mexico","CUCOS","Restoration","Restoration","30x30",29,51,"main","Normal_30x30",NA,"Permanent",1,0,"2.5 m  por 2.5 m","Y0","Cecropia peltata","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Taxus baccata","Present",1,">10cm","550","550-2","Mexico","CUCOS","Restoration","Restoration","30x30",30,51,"main","Normal_30x30",NA,"Permanent",1,0,"2.5 m  por 2.5 m","Y0","Taxus baccata","Resolved",0.988,"The International Plant Names Index"
"Inga spuria","Present",2,">10cm","550","550-2","Mexico","CUCOS","Restoration","Restoration","30x30",31,51,"main","Normal_30x30",NA,"Permanent",1,0,"2.5 m  por 2.5 m","Y0","Inga spuria","Resolved",0.988,"The International Plant Names Index"
"Juglans regia","Present",1,">10cm","550","550-2","Mexico","CUCOS","Restoration","Restoration","30x30",32,51,"main","Normal_30x30",NA,"Permanent",1,0,"2.5 m  por 2.5 m","Y0","Juglans  regia","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Garcinia intermedia","Present",3,">10cm","550","550-2","Mexico","CUCOS","Restoration","Restoration","30x30",33,51,"main","Normal_30x30",NA,"Permanent",1,0,"2.5 m  por 2.5 m","Y0","Mameyito","Resolved",NA,NA
"Gliricidia sepium","Present",1,">10cm","550","550-2","Mexico","CUCOS","Restoration","Restoration","30x30",34,51,"main","Normal_30x30",NA,"Permanent",1,0,"2.5 m  por 2.5 m","Y0","Gliricidia sepium","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Crescentia alata","Present",3,">10cm","550","550-2","Mexico","CUCOS","Restoration","Restoration","30x30",35,51,"main","Normal_30x30",NA,"Permanent",1,0,"2.5 m  por 2.5 m","Y0","Crescentia alata","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Persea caerulea","Present",3,">10cm","550","550-2","Mexico","CUCOS","Restoration","Restoration","30x30",36,51,"main","Normal_30x30",NA,"Permanent",1,0,"2.5 m  por 2.5 m","Y0","Persea caerulea","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Cedrela odorata","Present",1,">10cm","550","550-2","Mexico","CUCOS","Restoration","Restoration","30x30",37,51,"main","Normal_30x30",NA,"Permanent",1,0,"2.5 m  por 2.5 m","Y0","Cedrela odorata L.","Resolved",NA,NA
"Dracaena fragrans","Present",1,">10cm","550","550-2","Mexico","CUCOS","Restoration","Restoration","30x30",38,51,"main","Normal_30x30",NA,"Permanent",1,0,"2.5 m  por 2.5 m","Y0","Dracaena fragrans","Resolved",0.988,"The International Plant Names Index"
"Bursera simaruba","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",39,2278,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Bursera Simaruba","Resolved",0.988,"The International Plant Names Index"
"Spondias mombin","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",40,2278,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Spondias mombin, s.","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Gliricidia sepium","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",41,2278,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Gliricidia Sepium","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Persea americana","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",42,2278,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Persea Americana","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Citrus","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",43,2278,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Citrus Sp,","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Inga vera","Present",6,">10cm","1286","1286_2","Mexico","UCIRI","Restoration","Restoration","30x30",44,2279,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga vera","Resolved",0.988,"The International Plant Names Index"
"Dendropanax","Present",2,">10cm","1286","1286_2","Mexico","UCIRI","Restoration","Restoration","30x30",45,2279,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Dendropanax Sp.","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Spondias mombin","Present",1,">10cm","1286","1286_2","Mexico","UCIRI","Restoration","Restoration","30x30",46,2279,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Spondias mombin, S.","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Mangifera","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",47,2280,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Mangifera","Resolved",0.75,"The International Plant Names Index"
"Dendropanax","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",48,2280,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Dendropanax Sp.","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Inga vera","Present",4,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",49,2280,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga vera","Resolved",0.988,"The International Plant Names Index"
"Persea americana","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",50,2280,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Persea Americana","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Cupania dentata",NA,3,NA,"1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",51,2280,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Copania dentata","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Annona squamosa","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",52,2280,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Annona squamosa","Resolved",0.988,"The International Plant Names Index"
"Croton draco","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",53,2280,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Croton draco","Resolved",0.988,"The International Plant Names Index"
"Dendropanax","Present",4,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",54,2281,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Dendropanax Sp.","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Citrus","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",55,2281,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Citrus Sp","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Inga vera","Present",3,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",56,2281,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga vera","Resolved",0.988,"The International Plant Names Index"
"Persea caerulea",NA,2,NA,"1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",57,2281,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Persea caerulea","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Inga vera","Present",4,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",58,2282,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga vera","Resolved",0.988,"The International Plant Names Index"
"Persea americana","Present",10,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",59,2282,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Persea Americana","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Annona squamosa","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",60,2282,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Annona squamosa","Resolved",0.988,"The International Plant Names Index"
"Cupania dentata","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",61,2282,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Copania dentata","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
