"Organization_Name","Site_ID","Plot_ID","SiteType","Plot_Type","Coordinate_System_Used","Northeast_Corner_of_30m_x_30m_Plot","Northeast_Corner_of_30m_x_30m_Plot_latitude","Northeast_Corner_of_30m_x_30m_Plot_longitude","Northeast_Corner_of_30m_x_30m_Plot_altitude","Northeast_Corner_of_30m_x_30m_Plot_precision","Northeast_Corner_of_30m_x_30m_Plot_wkt","Southeast_Corner_of_30m_x_30m_Plot","Southeast_Corner_of_30m_x_30m_Plot_latitude","Southeast_Corner_of_30m_x_30m_Plot_longitude","Southeast_Corner_of_30m_x_30m_Plot_altitude","Southeast_Corner_of_30m_x_30m_Plot_precision","Southeast_Corner_of_30m_x_30m_Plot_wkt","Southwest_Corner_of_30m_x_30m_Plot","Southwest_Corner_of_30m_x_30m_Plot_latitude","Southwest_Corner_of_30m_x_30m_Plot_longitude","Southwest_Corner_of_30m_x_30m_Plot_altitude","Southwest_Corner_of_30m_x_30m_Plot_precision","Southwest_Corner_of_30m_x_30m_Plot_wkt","Northwest_Corner_of_30m_x_30m_Plot","Northwest_Corner_of_30m_x_30m_Plot_latitude","Northwest_Corner_of_30m_x_30m_Plot_longitude","Northwest_Corner_of_30m_x_30m_Plot_altitude","Northwest_Corner_of_30m_x_30m_Plot_precision","Northwest_Corner_of_30m_x_30m_Plot_wkt","Centroid_of_3m_x_3m_Subplot","Centroid_of_3m_x_3m_Subplot_latitude","Centroid_of_3m_x_3m_Subplot_longitude","Centroid_of_3m_x_3m_Subplot_altitude","Centroid_of_3m_x_3m_Subplot_precision","Centroid_of_3m_x_3m_Subplot_wkt","Northeast_Corner_of_10m_x_10m_Plot","Northeast_Corner_of_10m_x_10m_Plot_latitude","Northeast_Corner_of_10m_x_10m_Plot_longitude","Northeast_Corner_of_10m_x_10m_Plot_altitude","Northeast_Corner_of_10m_x_10m_Plot_precision","Northeast_Corner_of_10m_x_10m_Plot_wkt","Southeast_Corner_of_10m_x_10m_Plot","Southeast_Corner_of_10m_x_10m_Plot_latitude","Southeast_Corner_of_10m_x_10m_Plot_longitude","Southeast_Corner_of_10m_x_10m_Plot_altitude","Southeast_Corner_of_10m_x_10m_Plot_precision","Southeast_Corner_of_10m_x_10m_Plot_wkt","Southwest_Corner_of_10m_x_10m_Plot","Southwest_Corner_of_10m_x_10m_Plot_latitude","Southwest_Corner_of_10m_x_10m_Plot_longitude","Southwest_Corner_of_10m_x_10m_Plot_altitude","Southwest_Corner_of_10m_x_10m_Plot_precision","Southwest_Corner_of_10m_x_10m_Plot_wkt","Northwest_Corner_of_10m_x_10m_Plot","Northwest_Corner_of_10m_x_10m_Plot_latitude","Northwest_Corner_of_10m_x_10m_Plot_longitude","Northwest_Corner_of_10m_x_10m_Plot_altitude","Northwest_Corner_of_10m_x_10m_Plot_precision","Northwest_Corner_of_10m_x_10m_Plot_wkt","Centroid_of_3m_x_3m_Subplot2_latitude","Centroid_of_3m_x_3m_Subplot2_longitude","Centroid_of_3m_x_3m_Subplot2_altitude","Centroid_of_3m_x_3m_Subplot2_precision","Centroid_of_3m_x_3m_Subplot2","Centroid_of_3m_x_3m_Subplot1_latitude","Centroid_of_3m_x_3m_Subplot1_longitude","Centroid_of_3m_x_3m_Subplot1_altitude","Centroid_of_3m_x_3m_Subplot1_precision","Centroid_of_3m_x_3m_Subplot1","Centroid_of_3m_x_3m_Subplot2_wkt","Centroid_of_3m_x_3m_Subplot1_wkt"
"Test","Test","Test","Restoration","restoration","Test","42.206821 -85.76241 0 0",42.206821,-85.76241,0,0,"POINT (-85.76241 42.206821 0)","-14.150777 -56.913526 0 0",-14.150777,-56.913526,0,0,"POINT (-56.913526 -14.150777 0)","16.4115 -8.362966 0 0",16.4115,-8.362966,0,0,"POINT (-8.362966 16.4115 0)","3.513421 33.854913 0 0",3.513421,33.854913,0,0,"POINT (33.854913 3.513421 0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"test","1","45((634","Restoration","Restoration","a","49.22567 2.485362 870 1",49.22567,2.485362,870,1,"POINT (2.485362 49.22567 870)","49.22567 2.485363 0 0",49.22567,2.485363,0,0,"POINT (2.485363 49.22567 0)","49.22567 2.485365 0 0",49.22567,2.485365,0,0,"POINT (2.485365 49.22567 0)","49.22567 2.485364 0 0",49.22567,2.485364,0,0,"POINT (2.485364 49.22567 0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reforest Action","333","251-49","Restoration","Restoration","Lambert 93","49.142537 2.393568 86.783935546875 7.926000118255615",49.142537,2.393568,86.783935546875,7.92600011825562,"POINT (2.393568 49.142537 86.783935546875)","49.14301 2.393679 88.362548828125 6.2829999923706055",49.14301,2.393679,88.362548828125,6.28299999237061,"POINT (2.393679 49.14301 88.362548828125)","49.142877 2.393982 77.47021484375 6.6529998779296875",49.142877,2.393982,77.47021484375,6.65299987792969,"POINT (2.393982 49.142877 77.47021484375)","49.142571 2.394031 71.5987548828125 8.154000282287598",49.142571,2.394031,71.5987548828125,8.1540002822876,"POINT (2.394031 49.142571 71.5987548828125)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.142894,2.393863,125.511840820312,7.36399984359741,"49.142894 2.393863 125.5118408203125 7.363999843597412",NA,NA,NA,NA,NA,"POINT (2.393863 49.142894 125.5118408203125)",NA
"Reforest Action","333","46","Restoration","Restoration","Lambert 93","49.143761 2.393227 88.5284423828125 9.086000442504883",49.143761,2.393227,88.5284423828125,9.08600044250488,"POINT (2.393227 49.143761 88.5284423828125)","49.143944 2.39318 71.0947265625 10.513999938964844",49.143944,2.39318,71.0947265625,10.5139999389648,"POINT (2.39318 49.143944 71.0947265625)","49.144 2.393636 84.7254638671875 3.809000015258789",49.144,2.393636,84.7254638671875,3.80900001525879,"POINT (2.393636 49.144 84.7254638671875)","49.143713 2.393744 72.0615234375 8.380999565124512",49.143713,2.393744,72.0615234375,8.38099956512451,"POINT (2.393744 49.143713 72.0615234375)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.143769,2.393435,121.121215820312,8.01799964904785,"49.143769 2.393435 121.1212158203125 8.017999649047852",NA,NA,NA,NA,NA,"POINT (2.393435 49.143769 121.1212158203125)",NA
"Reforest Action","333","43","Restoration","Restoration","Lambert 93","49.144396 2.392061 101.69427490234375 7.767000198364258",49.144396,2.392061,101.694274902344,7.76700019836426,"POINT (2.392061 49.144396 101.69427490234375)","49.144424 2.391548 66.7218017578125 5.650000095367432",49.144424,2.391548,66.7218017578125,5.65000009536743,"POINT (2.391548 49.144424 66.7218017578125)","49.144654 2.392234 73.9578857421875 7.988999843597412",49.144654,2.392234,73.9578857421875,7.98899984359741,"POINT (2.392234 49.144654 73.9578857421875)","49.144159 2.391644 108.30059814453125 9.475000381469727",49.144159,2.391644,108.300598144531,9.47500038146973,"POINT (2.391644 49.144159 108.30059814453125)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.144557,2.391878,75.36767578125,11.9729995727539,"49.144557 2.391878 75.36767578125 11.972999572753906",NA,NA,NA,NA,NA,"POINT (2.391878 49.144557 75.36767578125)",NA
"Reforest Action","333","42","Restoration","Restoration","Lambert 93","49.143889 2.391064 73.49530029296875 8.220999717712402",49.143889,2.391064,73.4953002929688,8.2209997177124,"POINT (2.391064 49.143889 73.49530029296875)","49.144258 2.390917 84.05877685546875 10.34000015258789",49.144258,2.390917,84.0587768554688,10.3400001525879,"POINT (2.390917 49.144258 84.05877685546875)","49.144321 2.391414 86.6058349609375 6.0980000495910645",49.144321,2.391414,86.6058349609375,6.09800004959106,"POINT (2.391414 49.144321 86.6058349609375)","49.144049 2.391374 74.486572265625 6.144000053405762",49.144049,2.391374,74.486572265625,6.14400005340576,"POINT (2.391374 49.144049 74.486572265625)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.144012,2.391071,76.784423828125,8.98999977111816,"49.144012 2.391071 76.784423828125 8.989999771118164",NA,NA,NA,NA,NA,"POINT (2.391071 49.144012 76.784423828125)",NA
"Reforest Action","333","41","Restoration","Restoration","Lambert","49.143343 2.390545 86.88922119140625 7.84499979019165",49.143343,2.390545,86.8892211914062,7.84499979019165,"POINT (2.390545 49.143343 86.88922119140625)","49.14338 2.390662 58.9119873046875 15.845000267028809",49.14338,2.390662,58.9119873046875,15.8450002670288,"POINT (2.390662 49.14338 58.9119873046875)","49.143588 2.390794 82.31964111328125 5.835000038146973",49.143588,2.390794,82.3196411132812,5.83500003814697,"POINT (2.390794 49.143588 82.31964111328125)","49.143561 2.390803 88.36688232421875 8.29800033569336",49.143561,2.390803,88.3668823242188,8.29800033569336,"POINT (2.390803 49.143561 88.36688232421875)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reforest Action","333","41","Control","Control","Lambert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49.142588 2.39193 104.43328857421875 11.899999618530273",49.142588,2.39193,104.433288574219,11.8999996185303,"POINT (2.39193 49.142588 104.43328857421875)","49.142748 2.391948 99.960205078125 7.936999797821045",49.142748,2.391948,99.960205078125,7.93699979782104,"POINT (2.391948 49.142748 99.960205078125)","49.142851 2.391923 93.65966796875 5.724999904632568",49.142851,2.391923,93.65966796875,5.72499990463257,"POINT (2.391923 49.142851 93.65966796875)","49.14272 2.391759 111.41583251953125 6.2220001220703125",49.14272,2.391759,111.415832519531,6.22200012207031,"POINT (2.391759 49.14272 111.41583251953125)",NA,NA,NA,NA,NA,49.142654,2.392267,90.9244384765625,9.73200035095215,"49.142654 2.392267 90.9244384765625 9.732000350952148",NA,"POINT (2.392267 49.142654 90.9244384765625)"
"Reforest Action","333","44","Restoration","Restoration","Lambert","49.144425 2.393435 65.87213134765625 14.397000312805176",49.144425,2.393435,65.8721313476562,14.3970003128052,"POINT (2.393435 49.144425 65.87213134765625)","49.144732 2.393299 83.71246337890625 5.558000087738037",49.144732,2.393299,83.7124633789062,5.55800008773804,"POINT (2.393299 49.144732 83.71246337890625)","49.144793 2.393639 78.26739501953125 8.829999923706055",49.144793,2.393639,78.2673950195312,8.82999992370605,"POINT (2.393639 49.144793 78.26739501953125)","49.14444 2.393689 87.75592041015625 8.140000343322754",49.14444,2.393689,87.7559204101562,8.14000034332275,"POINT (2.393689 49.14444 87.75592041015625)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.144675,2.393601,85.5123291015625,10.46399974823,"49.144675 2.393601 85.5123291015625 10.46399974822998",NA,NA,NA,NA,NA,"POINT (2.393601 49.144675 85.5123291015625)",NA
"Reforest Action","329","28","Restoration","Restoration","Lambert 93","49.141438 2.406476 99.8380126953125 13.791000366210938",49.141438,2.406476,99.8380126953125,13.7910003662109,"POINT (2.406476 49.141438 99.8380126953125)","49.14151 2.406567 98.184814453125 9.788999557495117",49.14151,2.406567,98.184814453125,9.78899955749512,"POINT (2.406567 49.14151 98.184814453125)","49.141432 2.406841 94.62298583984375 12.913999557495117",49.141432,2.406841,94.6229858398438,12.9139995574951,"POINT (2.406841 49.141432 94.62298583984375)","49.14118 2.406794 90.08917236328125 7.793000221252441",49.14118,2.406794,90.0891723632812,7.79300022125244,"POINT (2.406794 49.14118 90.08917236328125)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.141172,2.406608,85.532958984375,15.2229995727539,"49.141172 2.406608 85.532958984375 15.222999572753906",NA,NA,NA,NA,NA,"POINT (2.406608 49.141172 85.532958984375)",NA
