"Plot_ID","Site_ID","SiteType","Plot_Type","Country","Organization_Name","Plot_Permanence","Monitoring_Plot_Size","Strata_Number","Timeframe","Date","Resample_Main_Plot","Resample_3x3_Subplot","OtherTime","Start_Time","End_Time","SiteSize","ControlSize","TreesPresent","PlantingPattern","Coordinate_System_Used","NE_Photo","SE_Photo","SW_Photo","NW_Photo","Photos","NE_Photo_Small_Site","SE_Photo_SmallSites","SW_Photo_SmallSites","NW_Photo_SmallSites","main_index","_id","uuid","__version__","instanceID","_xform_id_string","_uuid","_status","_submission_time","_submitted_by","Photo_of_AB_Sightline2","Photo_of_AC_Sightline2","Photo_of_AD_Sightline2","Description_of_subpl_ithin_30m_x_30m_plot2","Additional_Photos_Optional3","rootUuid","deprecatedID","Notes17","TinyTrees","Photo_of_AB_Sightline1","Photo_of_AC_Sightline1","Photo_of_AD_Sightline1","Notes21","Notes5","Notes11","Description_of_subpl_ithin_30m_x_30m_plot1","LittleTreesPresent","Notes14","Photos4","Additional_Photos_Optional1","File"
"Test","Test","Restoration","restoration",NA,"Test","Permanent",NA,NA,"Y2.5",2022-06-16,"0","0",NA,"10:30:00.000-04:00","10:45:00.000-04:00",NA,NA,NA,"Test","Test",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,163622967,"5fd2c309dc8446ada30a1db9fd875804","vwzPz2e7nNtdxdiAcRbjFf","uuid:bf164097-aa30-4b0c-b497-326010aba216","axhiGJQ8JzwkTYcgDTroJu","bf164097-aa30-4b0c-b497-326010aba216","submitted_via_web",2022-06-16 14:31:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45((634","1","Restoration","Restoration",NA,"test","Permanent","30x30","no","Y0",2022-09-30,"1","0",NA,"18:30:00.000+02:00","19:00:00.000+02:00","Yes",NA,NA,"a","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,189066260,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:6233b66b-e091-45db-a979-0b394487399d","axhiGJQ8JzwkTYcgDTroJu","6233b66b-e091-45db-a979-0b394487399d","submitted_via_web",2022-09-30 16:39:32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251-49","333","Restoration","Restoration","France","Reforest Action","Permanent","30x30",NA,"Y0",2022-10-03,"0","0",NA,"10:30:00.000+02:00","10:54:00.000+02:00","Yes",NA,NA,"Arbre planté en ligne tous les 2 mètres sur des cloisonnements tous les 5 mètres","Lambert 93",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,189469011,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:9bfe19b7-2091-4b9a-9000-dd4d62cfe0a5","axhiGJQ8JzwkTYcgDTroJu","9bfe19b7-2091-4b9a-9000-dd4d62cfe0a5","submitted_via_web",2022-10-03 09:13:32,NA,"16647867239183217965871780471352-10_45_47.jpg","16647867530562710682731656171905-10_46_4.jpg","16647867700588652795378668888659-10_46_20.jpg","Centre sud de la placette","16647872092926664282381321901998-10_54_4.jpg","f249d942-0033-4498-8f4d-12dcca83a0a3","uuid:f249d942-0033-4498-8f4d-12dcca83a0a3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","333","Restoration","Restoration","France","Reforest Action","Permanent","30x30",NA,"Y0",2022-10-03,"0","0",NA,"11:08:00.000+02:00","11:23:00.000+02:00","Yes",NA,NA,"Plantation tous les 3 mètre avec cloiso de 5m","Lambert 93",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,189528021,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:a9745ffe-ac59-40d0-b26f-c7356c43c6ad","axhiGJQ8JzwkTYcgDTroJu","a9745ffe-ac59-40d0-b26f-c7356c43c6ad","submitted_via_web",2022-10-03 13:08:03,NA,"16647885668692633003379072493410-11_16_46.jpg","16647886157868163354356298611462-11_17_9.jpg","16647886363432198021834087396822-11_17_41.jpg","Au nord de la placette","16647889135228304340214936275247-11_22_18.jpg","23dd1f64-9cea-4a5a-98fb-587ac0541121","uuid:aca8ba50-35ae-4a54-b77c-ae12442662d7","Régénération de chêne bien place","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","333","Restoration","Restoration","France","Reforest Action","Permanent","30x30",NA,"Y0",2022-10-03,"1","0",NA,"12:00:00.000+02:00","12:15:00.000+02:00","Yes",NA,NA,"Idem 46","Lambert 93",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,189528140,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:201954e1-46c8-4b72-8423-2d1e552038ca","axhiGJQ8JzwkTYcgDTroJu","201954e1-46c8-4b72-8423-2d1e552038ca","submitted_via_web",2022-10-03 13:08:44,NA,"1664791532878982200307480780860-12_5_43.jpg","16647915532907076487963834385164-12_6_5.jpg","16647915727069097555052897695431-12_6_21.jpg","Au sud de la placette",NA,"5ec5f998-6958-4f92-bef7-54b3dbeed5fb","uuid:5ec5f998-6958-4f92-bef7-54b3dbeed5fb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","333","Restoration","Restoration","France","Reforest Action","Permanent","30x30",NA,"Y0",2022-10-03,"0","0",NA,"12:18:00.000+02:00","12:28:00.000+02:00","Yes",NA,NA,"Idem46","Lambert 93",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,189528190,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:dbbb1737-4480-42d8-a0dc-8eb073a0f17f","axhiGJQ8JzwkTYcgDTroJu","dbbb1737-4480-42d8-a0dc-8eb073a0f17f","submitted_via_web",2022-10-03 13:08:52,NA,"16647925063564510485486944654789-12_21_57.jpg","16647925249912958967334461110684-12_22_28.jpg","16647925553446375089630103694246-12_22_44.jpg","Milieu placette","16647929219507486487339386944561-12_28_48.jpg","92a4d70d-d8b5-4f63-b5e7-e6d91e01ac1b","uuid:92a4d70d-d8b5-4f63-b5e7-e6d91e01ac1b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","333","Restoration","Restoration","France","Reforest Action","Permanent","30x30",NA,"Y0",2022-10-03,"0","0",NA,"12:37:00.000+02:00","12:44:00.000+02:00","Yes",NA,NA,"Idem 46","Lambert",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,189528232,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:74aa531a-fbcc-4040-90fb-d7ceb00401dd","axhiGJQ8JzwkTYcgDTroJu","74aa531a-fbcc-4040-90fb-d7ceb00401dd","submitted_via_web",2022-10-03 13:09:01,NA,"16647933820795193674326414698734-12_36_31.jpg","16647934015906324668743582360318-12_36_58.jpg","16647934281095566219728701262136-12_37_14.jpg",NA,NA,"9217974c-0957-4ecd-9162-11aaaf9d9b3e","uuid:9217974c-0957-4ecd-9162-11aaaf9d9b3e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","333","Control","Control","France","Reforest Action",NA,"10x10",NA,"Y0",2022-10-03,"0","0",NA,"12:51:00.000+02:00","13:05:00.000+02:00",NA,"Yes",NA,NA,"Lambert",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,189529455,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:1322f51c-35fc-4549-8b84-fd0c6d0c4f1d","axhiGJQ8JzwkTYcgDTroJu","1322f51c-35fc-4549-8b84-fd0c6d0c4f1d","submitted_via_web",2022-10-03 13:13:59,NA,NA,NA,NA,NA,NA,"f15aeb99-f04a-4408-abde-6e2783d070a6","uuid:f15aeb99-f04a-4408-abde-6e2783d070a6",NA,NA,"1664794626084150368945181138703-12_57_13.jpg","16647946381558512125409165457567-12_57_25.jpg","16647946517055193460289281338085-12_57_38.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","333","Restoration","Restoration","France","Reforest Action","Permanent","30x30",NA,"Y0",2022-10-03,"0","0",NA,"11:33:00.000+02:00","11:42:00.000+02:00","Yes",NA,NA,"Idem 46","Lambert",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,189530391,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:b07a04af-b74c-4a64-baa0-1266a04db40a","axhiGJQ8JzwkTYcgDTroJu","b07a04af-b74c-4a64-baa0-1266a04db40a","submitted_via_web",2022-10-03 13:17:51,NA,"16647900372066798463710592187680-11_40_49.jpg","16647900591792382326128166589870-11_41_5.jpg","1664790070986392923262722903790-11_41_17.jpg",NA,NA,"b0980ed6-f156-4ef6-9f94-4057f18c8121","uuid:b0980ed6-f156-4ef6-9f94-4057f18c8121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","329","Restoration","Restoration","France","Reforest Action","Permanent","30x30",NA,"Y0",2022-10-03,"0","0",NA,"14:51:00.000+02:00","15:09:00.000+02:00","Yes",NA,NA,"1 plante à chaque 2m, distance entre Ligne de 5m","Lambert 93",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,189531213,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:d3d7c496-a491-4339-b356-baca9ee020d5","axhiGJQ8JzwkTYcgDTroJu","d3d7c496-a491-4339-b356-baca9ee020d5","submitted_via_web",2022-10-03 13:21:50,NA,"16648018685504277432282498378398-14_58_11.jpg","16648018985222602792933930457430-14_58_43.jpg","16648019286412887956090006566723-14_59_5.jpg",NA,"16648021973261592661715682975349-15_3_27.jpg","a82dcba1-a643-4d1d-8205-6eaab34c6cce","uuid:a82dcba1-a643-4d1d-8205-6eaab34c6cce","Petit hêtre à côté",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
