"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"Eucalyptus","Present",35,"1 - 9.9cm","1758","ATKC001","Madagascar","CI Madagascar","Control","Control","30x30",1,59,"main","Census_30x30",NA,"0","2",NA,"Y0"
"Pas d'espèces de 1 à 9,9 cm (DHP)",NA,NA,NA,"1758","ATKC002","Madagascar","CI Madagascar","Control","Control","30x30",2,60,"main","Census_30x30",NA,"0","2",NA,"Y0"
"None",NA,NA,NA,"1760","ATKC004","Madagascar","CI Madagascar","Control","Control","30x30",3,61,"main","Census_30x30",NA,"0","2",NA,"Y0"
"Eucalyptus","Present",1,"1 - 9.9cm","1759","ATKC003","Madagascar","CI Madagascar","Control","Control","30x30",4,62,"main","Census_30x30",NA,"0","2",NA,"Y0"
"Albizia gummifera","Present",1,"1 - 9.9cm","1759","ATKC003","Madagascar","CI Madagascar","Control","Control","30x30",5,62,"main","Census_30x30",NA,"0","2",NA,"Y0"
"Lambinana ( nom scientifique??)","Present",2,"1 - 9.9cm","1761","ATKC005","Madagascar","CI Madagascar","Control","Control","30x30",6,63,"main","Census_30x30",NA,"0","2",NA,"Y0"
"Autre espèce","don_t_know",1,"1 - 9.9cm","1761","ATKC005","Madagascar","CI Madagascar","Control","Control","30x30",7,63,"main","Census_30x30",NA,"0","2",NA,"Y0"
"Goyavia","Present",1,"1 - 9.9cm","1746","S0003CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",8,105,"main","Census_30x30",NA,"0","2",NA,"Y0"
"Eucalyptus","Present",1,"1 - 9.9cm","1746","S0003CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",9,105,"main","Census_30x30",NA,"0","2",NA,"Y0"
"Néant",NA,NA,NA,"1744","S0001CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",10,106,"main","Census_30x30",NA,"0","2",NA,"Y0"
"Néant",NA,NA,NA,"1750","S0007CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",11,107,"main","Census_30x30",NA,"0","2",NA,"Y0"
"Brachylaena perrieri","Present",1,"1 - 9.9cm","1792","S0049CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",12,108,"main","Census_30x30",NA,"0","2",NA,"Y0"
"None",NA,NA,NA,"1766","S0023CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",13,109,"main","Census_30x30",NA,"0","2",NA,"Y0"
"Brachylaena perrieri","Present",2,"1 - 9.9cm","1779","S0036CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",14,110,"main","Census_30x30",NA,"0","2",NA,"Y0"
"None",NA,NA,NA,"1781","S0038CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",15,111,"main","Census_30x30",NA,"0","2",NA,"Y0"
"None",NA,NA,NA,"1788","S0045CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",16,112,"main","Census_30x30",NA,"0","2",NA,"Y0"
"Cnestis polyphylla","Present",2,"1 - 9.9cm","1768","S0025CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",17,113,"main","Census_30x30",NA,"0","2",NA,"Y0"
"Albizia gummifera","Present",1,"1 - 9.9cm","1768","S0025CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",18,113,"main","Census_30x30",NA,"0","2",NA,"Y0"
"Grevilia","Present",2,"1 - 9.9cm","1840","S0097CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",19,114,"main","Census_30x30",NA,"0","2",NA,"Y0"
"None",NA,NA,NA,"1840","S0097CP02","Madagascar","CI Madagascar","Restoration","Control","30x30",20,115,"main","Census_30x30",NA,"0","2",NA,"Y0"
"None",NA,NA,NA,"1851","S0108CP01","Madagascar","CI Madagascar","Restoration","Control","30x30",21,116,"main","Census_30x30",NA,"0","2",NA,"Y0"
"None",NA,NA,NA,"1851","S018CP02","Madagascar","CI Madagascar","Restoration","Control","30x30",22,117,"main","Census_30x30",NA,"0","2",NA,"Y0"
