"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","destination_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"Prunus avium","Present",1,"1 - 9.9cm","333","251-49","France","Reforest Action","Restoration","Restoration","3x3",1,3,"main","Nested_3x3_within_30x30",NA,"Permanent","0","0","Arbre planté en ligne tous les 2 mètres sur des cloisonnements tous les 5 mètres","Y0"
"Quercus robur","planted",2,"<10cm planted","333","251-49","France","Reforest Action","Restoration","Restoration","3x3",2,3,"main","Nested_3x3_within_30x30",NA,"Permanent","0","0","Arbre planté en ligne tous les 2 mètres sur des cloisonnements tous les 5 mètres","Y0"
"Quercus robur","planted",2,"<10cm planted","333","43","France","Reforest Action","Restoration","Restoration","3x3",3,5,"main","Nested_3x3_within_30x30",NA,"Permanent","1","0","Idem 46","Y0"
"Quercus robur","naturally_regenerating",1,"1 - 9.9cm","333","43","France","Reforest Action","Restoration","Restoration","3x3",4,5,"main","Nested_3x3_within_30x30",NA,"Permanent","1","0","Idem 46","Y0"
"Populus","naturally_regenerating",3,"1 - 9.9cm","333","43","France","Reforest Action","Restoration","Restoration","3x3",5,5,"main","Nested_3x3_within_30x30",NA,"Permanent","1","0","Idem 46","Y0"
"Carpinus betulus","naturally_regenerating",1,"1 - 9.9cm","333","43","France","Reforest Action","Restoration","Restoration","3x3",6,5,"main","Nested_3x3_within_30x30",NA,"Permanent","1","0","Idem 46","Y0"
"Sorbus torminalis","planted",2,"<10cm planted","333","42","France","Reforest Action","Restoration","Restoration","3x3",7,6,"main","Nested_3x3_within_30x30",NA,"Permanent","0","0","Idem46","Y0"
"Quercus robur","planted",2,"<10cm planted","333","42","France","Reforest Action","Restoration","Restoration","3x3",8,6,"main","Nested_3x3_within_30x30",NA,"Permanent","0","0","Idem46","Y0"
"Carpinus betulus","naturally_regenerating",2,"1 - 9.9cm","333","42","France","Reforest Action","Restoration","Restoration","3x3",9,6,"main","Nested_3x3_within_30x30",NA,"Permanent","0","0","Idem46","Y0"
"Populis","naturally_regenerating",4,"1 - 9.9cm","333","44","France","Reforest Action","Restoration","Restoration","3x3",10,9,"main","Nested_3x3_within_30x30",NA,"Permanent","0","0","Idem 46","Y0"
"Querus","Present",2,"1 - 9.9cm","333","44","France","Reforest Action","Restoration","Restoration","3x3",11,9,"main","Nested_3x3_within_30x30",NA,"Permanent","0","0","Idem 46","Y0"
