"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","destination_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"pinus sylvestris","naturally_regenerating",NA,">10cm","1","45((634",NA,"test","Restoration","Restoration","30x30",1,2,"main","Normal_30x30",NA,"Permanent","1","0","a","Y0"
"Quercy robur","Present",3,">10cm","333","44","France","Reforest Action","Restoration","Restoration","30x30",2,9,"main","Normal_30x30",NA,"Permanent","0","0","Idem 46","Y0"
"Populus","Present",1,">10cm","333","44","France","Reforest Action","Restoration","Restoration","30x30",3,9,"main","Normal_30x30",NA,"Permanent","0","0","Idem 46","Y0"
"Prunus avium","Present",1,">10cm","333","44","France","Reforest Action","Restoration","Restoration","30x30",4,9,"main","Normal_30x30",NA,"Permanent","0","0","Idem 46","Y0"
"Quercus","Present",3,">10cm","334","16","France","Reforest Action","Restoration","Restoration","30x30",5,20,"main","Normal_30x30",NA,"Permanent","0","0","2m entre plantes x 5m entre lignes","Y0"
"Carpinus betulus","Present",2,">10cm","334","16","France","Reforest Action","Restoration","Restoration","30x30",6,20,"main","Normal_30x30",NA,"Permanent","0","0","2m entre plantes x 5m entre lignes","Y0"
"Pinus sp","Present",4,">10cm","334","16","France","Reforest Action","Restoration","Restoration","30x30",7,20,"main","Normal_30x30",NA,"Permanent","0","0","2m entre plantes x 5m entre lignes","Y0"
"Quercus","Present",7,">10cm","334","18","France","Reforest Action","Restoration","Restoration","30x30",8,22,"main","Normal_30x30",NA,"Permanent","0","0","Same as 16","Y0"
"Carpinus betulus","Present",1,">10cm","334","18","France","Reforest Action","Restoration","Restoration","30x30",9,22,"main","Normal_30x30",NA,"Permanent","0","0","Same as 16","Y0"
"Carpinus betulus","Present",4,">10cm","334","19","France","Reforest Action","Restoration","Restoration","30x30",10,23,"main","Normal_30x30",NA,"Permanent","0","0","Same as 16","Y0"
"Quercus","Present",5,">10cm","334","19","France","Reforest Action","Restoration","Restoration","30x30",11,23,"main","Normal_30x30",NA,"Permanent","0","0","Same as 16","Y0"
"Betula pendula","Present",10,">10cm","334","20","France","Reforest Action","Restoration","Restoration","30x30",12,24,"main","Normal_30x30",NA,"Permanent","0","0","Same as 16","Y0"
"Quercus","Present",1,">10cm","334","20","France","Reforest Action","Restoration","Restoration","30x30",13,24,"main","Normal_30x30",NA,"Permanent","0","0","Same as 16","Y0"
"Quercus","Present",1,">10cm","334","22","France","Reforest Action","Restoration","Restoration","30x30",14,25,"main","Normal_30x30",NA,"Permanent","0","0","Same as 16","Y0"
"Carpinus betulus","Present",6,">10cm","334","22","France","Reforest Action","Restoration","Restoration","30x30",15,25,"main","Normal_30x30",NA,"Permanent","0","0","Same as 16","Y0"
"Quercus","Present",1,">10cm","334","24","France","Reforest Action","Restoration","Restoration","30x30",16,27,"main","Normal_30x30",NA,"Permanent","0","0","Same as 16","Y0"
"Carpinus betulus","Present",6,">10cm","334","24","France","Reforest Action","Restoration","Restoration","30x30",17,27,"main","Normal_30x30",NA,"Permanent","0","0","Same as 16","Y0"
"Betula sp","Present",3,">10cm","334","24","France","Reforest Action","Restoration","Restoration","30x30",18,27,"main","Normal_30x30",NA,"Permanent","0","0","Same as 16","Y0"
"quercus","Present",1,">10cm","334","25","France","Reforest Action","Restoration","Restoration","30x30",19,28,"main","Normal_30x30",NA,"Permanent","0","0","Same as 16","Y0"
"Carpinus betulus","Present",1,">10cm","334","25","France","Reforest Action","Restoration","Restoration","30x30",20,28,"main","Normal_30x30",NA,"Permanent","0","0","Same as 16","Y0"
"Pinus sp","Present",1,">10cm","334","25","France","Reforest Action","Restoration","Restoration","30x30",21,28,"main","Normal_30x30",NA,"Permanent","0","0","Same as 16","Y0"
"Pinus sp","Present",2,">10cm","334","26","France","Reforest Action","Restoration","Restoration","30x30",22,29,"main","Normal_30x30",NA,"Permanent","0","0","Same as 16","Y0"
"Betula sp","Present",1,">10cm","334","26","France","Reforest Action","Restoration","Restoration","30x30",23,29,"main","Normal_30x30",NA,"Permanent","0","0","Same as 16","Y0"
"Acer pseudoplatanus","Present",12,">10cm","279","3","France","Reforest Action","Restoration","Restoration","30x30",24,32,"main","Normal_30x30",NA,"Permanent","0","0","Cette parcelle est dans un îlot qui n'a été pas touché' dont pas de plantation","Y0"
"Carpinus betulus","Present",4,">10cm","279","3","France","Reforest Action","Restoration","Restoration","30x30",25,32,"main","Normal_30x30",NA,"Permanent","0","0","Cette parcelle est dans un îlot qui n'a été pas touché' dont pas de plantation","Y0"
"Fagus silvatica","Present",2,">10cm","279","3","France","Reforest Action","Restoration","Restoration","30x30",26,32,"main","Normal_30x30",NA,"Permanent","0","0","Cette parcelle est dans un îlot qui n'a été pas touché' dont pas de plantation","Y0"
"Talia cordata","Present",3,">10cm","279","3","France","Reforest Action","Restoration","Restoration","30x30",27,32,"main","Normal_30x30",NA,"Permanent","0","0","Cette parcelle est dans un îlot qui n'a été pas touché' dont pas de plantation","Y0"
"Quercus","Present",1,">10cm","279","3","France","Reforest Action","Restoration","Restoration","30x30",28,32,"main","Normal_30x30",NA,"Permanent","0","0","Cette parcelle est dans un îlot qui n'a été pas touché' dont pas de plantation","Y0"
"Cecropia peltata","Present",5,">10cm","550","550-2","Mexico","CUCOS","Restoration","Restoration","30x30",29,51,"main","Normal_30x30",NA,"Permanent","1","0","2.5 m  por 2.5 m","Y0"
"Taxus baccata","Present",1,">10cm","550","550-2","Mexico","CUCOS","Restoration","Restoration","30x30",30,51,"main","Normal_30x30",NA,"Permanent","1","0","2.5 m  por 2.5 m","Y0"
"Inga spuria","Present",2,">10cm","550","550-2","Mexico","CUCOS","Restoration","Restoration","30x30",31,51,"main","Normal_30x30",NA,"Permanent","1","0","2.5 m  por 2.5 m","Y0"
"Juglans  regia","Present",1,">10cm","550","550-2","Mexico","CUCOS","Restoration","Restoration","30x30",32,51,"main","Normal_30x30",NA,"Permanent","1","0","2.5 m  por 2.5 m","Y0"
"Mameyito","Present",3,">10cm","550","550-2","Mexico","CUCOS","Restoration","Restoration","30x30",33,51,"main","Normal_30x30",NA,"Permanent","1","0","2.5 m  por 2.5 m","Y0"
"Gliricidia sepium","Present",1,">10cm","550","550-2","Mexico","CUCOS","Restoration","Restoration","30x30",34,51,"main","Normal_30x30",NA,"Permanent","1","0","2.5 m  por 2.5 m","Y0"
"Crescentia alata","Present",3,">10cm","550","550-2","Mexico","CUCOS","Restoration","Restoration","30x30",35,51,"main","Normal_30x30",NA,"Permanent","1","0","2.5 m  por 2.5 m","Y0"
"Persea caerulea","Present",3,">10cm","550","550-2","Mexico","CUCOS","Restoration","Restoration","30x30",36,51,"main","Normal_30x30",NA,"Permanent","1","0","2.5 m  por 2.5 m","Y0"
"Cedrela odorata L.","Present",1,">10cm","550","550-2","Mexico","CUCOS","Restoration","Restoration","30x30",37,51,"main","Normal_30x30",NA,"Permanent","1","0","2.5 m  por 2.5 m","Y0"
"Dracaena fragrans","Present",1,">10cm","550","550-2","Mexico","CUCOS","Restoration","Restoration","30x30",38,51,"main","Normal_30x30",NA,"Permanent","1","0","2.5 m  por 2.5 m","Y0"
"Bursera Simaruba","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",39,2278,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Spondias mombin, s.","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",40,2278,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Gliricidia Sepium","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",41,2278,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Persea Americana","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",42,2278,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Citrus Sp,","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",43,2278,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Inga vera","Present",6,">10cm","1286","1286_2","Mexico","UCIRI","Restoration","Restoration","30x30",44,2279,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Dendropanax Sp.","Present",2,">10cm","1286","1286_2","Mexico","UCIRI","Restoration","Restoration","30x30",45,2279,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Spondias mombin, S.","Present",1,">10cm","1286","1286_2","Mexico","UCIRI","Restoration","Restoration","30x30",46,2279,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Mangifera","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",47,2280,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Dendropanax Sp.","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",48,2280,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Inga vera","Present",4,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",49,2280,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Persea Americana","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",50,2280,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Copania dentata",NA,3,NA,"1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",51,2280,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Annona squamosa","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",52,2280,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Croton draco","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",53,2280,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Dendropanax Sp.","Present",4,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",54,2281,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Citrus Sp","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",55,2281,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Inga vera","Present",3,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",56,2281,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Persea caerulea",NA,2,NA,"1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",57,2281,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Inga vera","Present",4,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",58,2282,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Persea Americana","Present",10,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",59,2282,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Annona squamosa","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",60,2282,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Copania dentata","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",61,2282,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Inga spuria","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",62,2282,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Annona squamosa","Present",7,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",63,2283,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Liquidambar Styraciflua","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",64,2283,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Persea Americana","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",65,2283,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Copania dentata","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",66,2283,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
"Inga vera","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",67,2284,"main","Normal_30x30",NA,"Permanent","0","0","Los árboles se sembraron con una separación de 2 m por 2 m","Y0"
