"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
NA,"planted",NA,"<10cm planted","333","46","France","Reforest Action","Restoration","Restoration","30x30",1,4,"main","Normal_30x30_2","Permanent","0","0","Plantation tous les 3 mètre avec cloiso de 5m","Y0"
"Aveccinia Marina","Present",43,">10cm","488","R1","UAE","Emirate Nature - WWF","Restoration","Restoration","30x30",2,40,"main","Normal_30x30_2","Permanent","0","0","50cm above and below existing mangrove line in a zig zag formation. In areas where soils get inundated further inland, a further row of mangroves are planted in a 50cm pattern above the upper line of mangroves","Y0"
"Avicenna Marina (>9.9cm DBH)","Present",0,">10cm","488","R3","UAE","Emirate Nature - WWF","Restoration","Restoration","30x30",3,41,"main","Normal_30x30_2","Permanent","0","0","Zig zag 50cm apart and 50cm from the existing mangroves (upper and lower). In areas where further inland areas are inundated, a further line of mangroves are planted","Y0"
"Avicenna Marina (1-9.9cm DBH)","Present",90,">10cm","488","R3","UAE","Emirate Nature - WWF","Restoration","Restoration","30x30",4,41,"main","Normal_30x30_2","Permanent","0","0","Zig zag 50cm apart and 50cm from the existing mangroves (upper and lower). In areas where further inland areas are inundated, a further line of mangroves are planted","Y0"
"Avicenna Marina (<1 DBH)","Present",0,">10cm","488","R3","UAE","Emirate Nature - WWF","Restoration","Restoration","30x30",5,41,"main","Normal_30x30_2","Permanent","0","0","Zig zag 50cm apart and 50cm from the existing mangroves (upper and lower). In areas where further inland areas are inundated, a further line of mangroves are planted","Y0"
"Avicennia marina (130-250cm)","Present",9,">10cm","488","C1","UAE","Emirate Nature - WWF","Control","Control","30x30",6,42,"main","Normal_30x30_2",NA,"0","0",NA,"Y0"
"Avicennia marina (<130cm)","Present",48,">10cm","489","R6","UAE","Emirate Nature - WWF","Restoration","Restoration","30x30",7,43,"main","Normal_30x30_2","Permanent","0","0","Zig-Zag - 50cm above and below the existing line of mangroves (where present). 50cm between each mangrove, between 4-6 rows","Y0"
"Avicennia marina (<130cm)","Present",15,">10cm","489","C2","UAE","Emirate Nature - WWF","Control","Control","30x30",8,44,"main","Normal_30x30_2",NA,"0","0",NA,"Y0"
"Bauhinia variegata L.","Present",1,">10cm","211","Control 02","Philippines","CI Philippines","Control","Control","30x30",9,45,"main","Normal_30x30_2",NA,"0","0",NA,"Y0"
"Artocarpus blancoi  (Elmer) Merr.","Present",2,">10cm","211","Control 02","Philippines","CI Philippines","Control","Control","30x30",10,45,"main","Normal_30x30_2",NA,"0","0",NA,"Y0"
"Buchanania arborescens (Blume)","Present",1,">10cm","211","Control 02","Philippines","CI Philippines","Control","Control","30x30",11,45,"main","Normal_30x30_2",NA,"0","0",NA,"Y0"
"Buchanania nitida","Present",1,">10cm","211","Control 02","Philippines","CI Philippines","Control","Control","30x30",12,45,"main","Normal_30x30_2",NA,"0","0",NA,"Y0"
"Alstonia scholaris (L.)","Present",2,">10cm","211","Control 02","Philippines","CI Philippines","Control","Control","30x30",13,45,"main","Normal_30x30_2",NA,"0","0",NA,"Y0"
"Artocarpus anisophyllus Miq","Present",1,">10cm","211","Control 02","Philippines","CI Philippines","Control","Control","30x30",14,45,"main","Normal_30x30_2",NA,"0","0",NA,"Y0"
"Sandoricum vidalii Merr.","Present",1,">10cm","211","Control 02","Philippines","CI Philippines","Control","Control","30x30",15,45,"main","Normal_30x30_2",NA,"0","0",NA,"Y0"
"Tristaniopsis decorticata (Merr.)","Present",1,">10cm","211","Control 02","Philippines","CI Philippines","Control","Control","30x30",16,45,"main","Normal_30x30_2",NA,"0","0",NA,"Y0"
"Acacia mangium","Present",2,">10cm","211","Control 02","Philippines","CI Philippines","Control","Control","30x30",17,45,"main","Normal_30x30_2",NA,"0","0",NA,"Y0"
"Artocarpus heterophyllous","Present",1,">10cm","211","Control 02","Philippines","CI Philippines","Control","Control","30x30",18,45,"main","Normal_30x30_2",NA,"0","0",NA,"Y0"
"Alangium javanicum","Present",6,">10cm","211","Control 02","Philippines","CI Philippines","Control","Control","30x30",19,45,"main","Normal_30x30_2",NA,"0","0",NA,"Y0"
"Litsea glutinosa","Present",1,">10cm","211","Control 02","Philippines","CI Philippines","Control","Control","30x30",20,45,"main","Normal_30x30_2",NA,"0","0",NA,"Y0"
"Myristica philippinensis","Present",1,">10cm","211","Control 01","Philippines","CI Philippines","Control","Control","30x30",21,46,"main","Normal_30x30_2",NA,"0","0",NA,"Y0"
"Swietenia foxworthyi","Present",1,">10cm","211","Control 01","Philippines","CI Philippines","Control","Control","30x30",22,46,"main","Normal_30x30_2",NA,"0","0",NA,"Y0"
"Mitrephora lanotan","Present",1,">10cm","211","Control 01","Philippines","CI Philippines","Control","Control","30x30",23,46,"main","Normal_30x30_2",NA,"0","0",NA,"Y0"
"Palaquium luzoniense","Present",3,">10cm","211","Control 01","Philippines","CI Philippines","Control","Control","30x30",24,46,"main","Normal_30x30_2",NA,"0","0",NA,"Y0"
"Alangium javanicum","Present",3,">10cm","211","Control 01","Philippines","CI Philippines","Control","Control","30x30",25,46,"main","Normal_30x30_2",NA,"0","0",NA,"Y0"
