"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"Quercus","planted",1,"<10cm planted","329","33","France","Reforest Action","Restoration","Restoration","30x30",1,17,"main","Planted_30x30","Permanent","0","0","Same as 28","Y0"
"Carpinus betulus","planted",1,"<10cm planted","329","33","France","Reforest Action","Restoration","Restoration","30x30",2,17,"main","Planted_30x30","Permanent","0","0","Same as 28","Y0"
"sjdjd","planted",NA,"<10cm planted","S01","P01","Madagascar","CI Madagascar","Restoration","Restoration","30x30",3,50,"main","Planted_30x30","Permanent","0","0","2msur2m","Y0"
"jd","planted",NA,"<10cm planted","S01","P01","Madagascar","CI Madagascar","Restoration","Restoration","30x30",4,50,"main","Planted_30x30","Permanent","0","0","2msur2m","Y0"
"ueyeg","planted",NA,"<10cm planted","S01","P01","Madagascar","CI Madagascar","Restoration","Restoration","30x30",5,50,"main","Planted_30x30","Permanent","0","0","2msur2m","Y0"
"yzyz","planted",NA,"<10cm planted","S01","P01","Madagascar","CI Madagascar","Restoration","Restoration","30x30",6,50,"main","Planted_30x30","Permanent","0","0","2msur2m","Y0"
"Tectona grandis","planted",3,"<10cm planted","273B1P1","273B1P1","India","Grow Trees","Restoration","Restoration","30x30",7,53,"main","Planted_30x30","Permanent","0","0","Trees were planted with a 6 ft by 6 ft spacing","Y0"
"Intsia bijuga","planted",155,"<10cm planted","211","Plot No. 001","Philippines","CI Philippines","Restoration","Restoration","30x30",8,57,"main","Planted_30x30","Permanent","0","0","Trees were planted with a 3m by 2m spacing","Y0"
"Intsia bijuga","planted",130,"<10cm planted","211","Plot No. 002","Philippines","CI Philippines","Restoration","Restoration","30x30",9,58,"main","Planted_30x30","Permanent","0","0","Trees were planted with 2m by 3m spacing","Y0"
"Eugenia montalbanica","planted",6,"<10cm planted","211","Plot No. 002","Philippines","CI Philippines","Restoration","Restoration","30x30",10,58,"main","Planted_30x30","Permanent","0","0","Trees were planted with 2m by 3m spacing","Y0"
NA,"planted",0,"<10cm planted","878","878-1","Mexico","Café Capitan","Restoration","Restoration","30x30",11,64,"main","Planted_30x30","Permanent","0","0","Esta plantado a una distancia de 2*2","Y0"
"Intsia bijuga","planted",147,"<10cm planted","211","Plot No. 003","Philippines","CI Philippines","Restoration","Restoration","30x30",12,67,"main","Planted_30x30","Permanent","0","0","Trees were planted with a 3m by 2m spacing","Y0"
"Quercus rugosa nee","planted",1,"<10cm planted","295","295-4","Mexico","FONCET","Restoration","Restoration","30x30",13,71,"main","Planted_30x30","Permanent","0","0","3 por 3 metros","Y0"
"Guazuma ulmifolia","planted",1,"<10cm planted","295","295-22","Mexico","FONCET","Restoration","Restoration","30x30",14,74,"main","Planted_30x30","Permanent","0","0","3 por 3 metros","Y0"
"Bursera simaruba","planted",4,"<10cm planted","295","295-26","Mexico","FONCET","Restoration","Restoration","30x30",15,75,"main","Planted_30x30","Permanent","0","0","3 por 3 metros","Y0"
