"","submitted_name","matched_name2","user_supplied_name","data_source_title","score","genus_name","family_data_out"
"1",".","NA",NA,NA,NA,"NA","family"
"2","Brachylaena perrieri","Brachylaena perrieri","Brachylaena perrieri","Tropicos - Missouri Botanical Garden","0.988","Brachylaena","Asteraceae"
"3","Cnestis polyphylla","Cnestis polyphylla","Cnestis polyphylla","Tropicos - Missouri Botanical Garden","0.988","Cnestis","Connaraceae"
"4","Eucalyptusl","Eucalyptus","Eucalyptusl","Tropicos - Missouri Botanical Garden","0.5","Eucalyptus","Myrtaceae"
"5","Goyavia","Psidium",NA,NA,NA,"Psidium","Myrtaceae"
"6","Grevilia","Grevillea",NA,NA,NA,"Grevillea","Proteaceae"
"7","guachipilin","Diphysa americana",NA,NA,NA,"Diphysa","Fabaceae"
"8","Naranja","Citrus",NA,NA,NA,"Citrus","Rutaceae"
"9","Percea americana","Persea americana","Percea americana","Tropicos - Missouri Botanical Garden","0.75","Persea","Lauraceae"
"10","thilachium angustifolium","Thilachium africanum",NA,NA,NA,"Thilachium","Capparaceae"
"11","Transtoemia luquillensis","Ternstroemia luquillensis",NA,NA,NA,"Ternstroemia","Pentaphylacaceae"
"12","Cafe","Cafe","Cafe","Tropicos - Missouri Botanical Garden","0.75","Cafe","Rubiaceae"
"13","Chalun","NA",NA,NA,NA,"NA","NA"
"14","Guayaba","Guayaba","Guayaba","Tropicos - Missouri Botanical Garden","0.75","Guayaba","Myrtaceae"
"15","Néant","NA",NA,NA,NA,"NA","NA"
"16","Nuxia capitata","Nuxia capitata","Nuxia capitata","Tropicos - Missouri Botanical Garden","0.988","Nuxia","Stilbaceae"
"17","Platus mexicana moric","Plantanus mexicana",NA,NA,NA,"Plantanus","Platanaceae"
"18","Thilachium angustifolium","Thilachium angustifolium","thilachium angustifolium","Tropicos - Missouri Botanical Garden","0.988","Thilachium","Capparaceae"
"20","Thilachium angustifolium","Thilachium angustifolium","Thilachium angustifolium","Tropicos - Missouri Botanical Garden","0.988","Thilachium","Capparaceae"
"1100","Acacia auriculiformis","Acacia auriculiformis","Acacia auriculiformis","The International Plant Names Index","0.988","Acacia","Fabaceae"
"2100","Acacia auriculiformis","Acacia auriculiformis","Acacia auriculiformis","The International Plant Names Index","0.988","Acacia","Fabaceae"
"323","Acacia auriculiformis","Acacia auriculiformis","Acacia auriculiformis","The International Plant Names Index","0.988","Acacia","Fabaceae"
