"","geolocation.lat","geolocation.lon","geolocation._index","geolocation._parent_index","geolocation._parent_table","geolocation.Data_type"
"1",42.206821,-85.76241,1,1,"main","_geolocation"
"2",49.22567,2.485362,1,2,"main","_geolocation"
"3",49.142537,2.393568,1,3,"main","_geolocation"
"4",49.143761,2.393227,1,4,"main","_geolocation"
"5",49.144396,2.392061,1,5,"main","_geolocation"
"6",49.143889,2.391064,1,6,"main","_geolocation"
"7",49.143343,2.390545,1,7,"main","_geolocation"
"8",49.142588,2.39193,1,8,"main","_geolocation"
"9",49.144425,2.393435,1,9,"main","_geolocation"
"10",49.141438,2.406476,1,10,"main","_geolocation"
"11",49.139677,2.406256,1,11,"main","_geolocation"
"12",49.140423,2.405546,1,12,"main","_geolocation"
"13",49.141272,2.4063,1,13,"main","_geolocation"
"14",49.138616,2.406486,1,14,"main","_geolocation"
"15",49.138831,2.405133,1,15,"main","_geolocation"
"16",49.139403,2.40569,1,16,"main","_geolocation"
"17",49.139387,2.404402,1,17,"main","_geolocation"
"18",49.139213,2.403948,1,18,"main","_geolocation"
"19",49.209078,2.499167,1,19,"main","_geolocation"
"20",49.158466,2.54097,1,20,"main","_geolocation"
"21",49.157837,2.541004,1,21,"main","_geolocation"
"22",49.156989,2.540537,1,22,"main","_geolocation"
"23",49.157077,2.541261,1,23,"main","_geolocation"
"24",49.156336,2.541598,1,24,"main","_geolocation"
"25",49.155462,2.540978,1,25,"main","_geolocation"
"26",49.155303,2.541184,1,26,"main","_geolocation"
"27",49.155644,2.541813,1,27,"main","_geolocation"
"28",49.156369,2.542281,1,28,"main","_geolocation"
"29",49.157588,2.542334,1,29,"main","_geolocation"
"30",49.158898,2.542858,1,30,"main","_geolocation"
"31",49.208339,2.497324,1,31,"main","_geolocation"
"32",49.207478,2.496585,1,32,"main","_geolocation"
"33",49.206855,2.49642,1,33,"main","_geolocation"
"34",49.206539,2.497983,1,34,"main","_geolocation"
"35",49.206362,2.499109,1,35,"main","_geolocation"
"36",49.205495,2.500651,1,36,"main","_geolocation"
"37",49.206579,2.500882,1,37,"main","_geolocation"
"38",49.207514,2.500752,1,38,"main","_geolocation"
"39",49.208909,2.500221,1,39,"main","_geolocation"
"40",25.010794,56.3536,1,40,"main","_geolocation"
"41",25.0125,56.353525,1,41,"main","_geolocation"
"42",25.01169271,56.3535644,1,42,"main","_geolocation"
"43",25.013053,56.356044,1,43,"main","_geolocation"
"44",25.01303,56.35626,1,44,"main","_geolocation"
"45",10.176978,118.882503,1,45,"main","_geolocation"
"46",10.176425,118.886272,1,46,"main","_geolocation"
"47",10.170392,118.875728,1,47,"main","_geolocation"
"48",10.169375,118.877033,1,48,"main","_geolocation"
"49",10.173425,118.882,1,49,"main","_geolocation"
"50",-17.8348382,48.4252796,1,50,"main","_geolocation"
"51",15.9240089,-96.4616192,1,51,"main","_geolocation"
"52",22.9724824,86.4689351,1,52,"main","_geolocation"
"53",22.9728662,86.4690951,1,53,"main","_geolocation"
"54",22.8384187,86.4154221,1,54,"main","_geolocation"
"55",22.8388603,86.4164655,1,55,"main","_geolocation"
"56",22.8384684,86.4150869,1,56,"main","_geolocation"
"57",10.173379,118.880262,1,57,"main","_geolocation"
"58",10.174253,118.881174,1,58,"main","_geolocation"
"59",-17.6811902,48.5702636,1,59,"main","_geolocation"
"60",-17.6825689,48.5690612,1,60,"main","_geolocation"
"61",-17.6977678,48.5910227,1,61,"main","_geolocation"
"62",-17.6914667,48.5838483,1,62,"main","_geolocation"
"63",-17.6950517,48.5961572,1,63,"main","_geolocation"
"64",15.613485,-92.607102,1,64,"main","_geolocation"
"65",15.6140966,-92.6072878,1,65,"main","_geolocation"
"66",15.6142388,-92.6075514,1,66,"main","_geolocation"
"67",10.174223,118.880558,1,67,"main","_geolocation"
"68",16.0569399,-93.366243,1,68,"main","_geolocation"
"69",16.0554295,-93.365598,1,69,"main","_geolocation"
"70",16.0557812,-93.367093,1,70,"main","_geolocation"
"71",16.0546784,-93.3668741,1,71,"main","_geolocation"
"72",16.0540189,-93.3665806,1,72,"main","_geolocation"
"73",16.0567926,-93.3650988,1,73,"main","_geolocation"
"74",16.055433,-93.3643214,1,74,"main","_geolocation"
"75",16.0536081,-93.3658535,1,75,"main","_geolocation"
"76",16.0518416,-93.3661251,1,76,"main","_geolocation"
"77",16.0533556,-93.3664388,1,77,"main","_geolocation"
"78",16.0526177,-93.3664361,1,78,"main","_geolocation"
"79",16.0505242,-93.3650784,1,79,"main","_geolocation"
"80",16.0516629,-93.3640167,1,80,"main","_geolocation"
"81",16.0525281,-93.3643548,1,81,"main","_geolocation"
"82",16.0540561,-93.3656045,1,82,"main","_geolocation"
"83",16.0560731,-93.3653632,1,83,"main","_geolocation"
"84",16.055665,-93.3651337,1,84,"main","_geolocation"
"85",16.0549058,-93.3648714,1,85,"main","_geolocation"
"86",16.0549006,-93.3644029,1,86,"main","_geolocation"
"87",16.0536271,-93.3647471,1,87,"main","_geolocation"
"88",16.053503,-93.3641501,1,88,"main","_geolocation"
"89",16.0528823,-93.3641716,1,89,"main","_geolocation"
"90",16.0571104,-93.3654843,1,90,"main","_geolocation"
"91",16.0564346,-93.3647328,1,91,"main","_geolocation"
"92",16.0550032,-93.3638953,1,92,"main","_geolocation"
"93",16.0542856,-93.3632528,1,93,"main","_geolocation"
"94",15.6168764,-92.602764,1,94,"main","_geolocation"
"95",15.6165363,-92.6028376,1,95,"main","_geolocation"
"96",15.6166588,-92.6032921,1,96,"main","_geolocation"
"97",15.6169132,-92.6029948,1,97,"main","_geolocation"
"98",15.5475737,-92.5479681,1,98,"main","_geolocation"
"99",15.5478256,-92.5489788,1,99,"main","_geolocation"
"100",15.547691,-92.5482843,1,100,"main","_geolocation"
"101",15.582385,-92.6308176,1,101,"main","_geolocation"
"102",15.5826929,-92.6312778,1,102,"main","_geolocation"
"103",15.5827736,-92.6315717,1,103,"main","_geolocation"
"104",-19.5159104,-42.5628554,1,104,"main","_geolocation"
