"","tree_data.Species","tree_data._index","tree_data._parent_index","tree_data._parent_table_name","tree_data.Data_type","tree_data.Number_of_trees","tree_data.Tree_type","tree_data.plot_type","tree_data._id","tree_data._parent_table","submitted_name","matched_name2","data_source_title","score","genus_name","family_data_out"
"1","Acacia auriculiformis",57,56,"main","group_an2yk58",22,"Present","30x30m",NA,NA,"Acacia auriculiformis","Acacia auriculiformis","The International Plant Names Index",0.988,"Acacia","Fabaceae"
"2","Acacia auriculiformis",55,55,"main","group_an2yk58",2,"planted","30x30m",NA,NA,"Acacia auriculiformis","Acacia auriculiformis","The International Plant Names Index",0.988,"Acacia","Fabaceae"
"3","Acacia auriculiformis",1,55,NA,"group_an2yk58",2,"planted","30x30m",225494696,"main","Acacia auriculiformis","Acacia auriculiformis","The International Plant Names Index",0.988,"Acacia","Fabaceae"
"4","Acacia auriculiformis",1,56,NA,"group_an2yk58",22,"Present","30x30m",225495251,"main","Acacia auriculiformis","Acacia auriculiformis","The International Plant Names Index",0.988,"Acacia","Fabaceae"
"5","Acacia caven",111,72,"main","group_an2yk58",2,"Present","30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"6","Acacia caven",4,85,NA,"group_an2yk58",1,"Present","30x30m",229325806,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"7","Acacia caven",178,84,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"8","Acacia caven",1,77,NA,"group_ka7vj63",1,"Present","3x3m within 30x30m",229321374,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"9","Acacia caven",13,73,NA,"group_an2yk58",1,"Present","30x30m",229320308,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"10","Acacia caven",148,77,"main","group_an2yk58",4,"Present","30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"11","Acacia caven",4,92,NA,"group_an2yk58",1,"Present","30x30m",229327028,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"12","Acacia caven",57,72,"main","group_ka7vj63",1,"Present","3x3m within 30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"13","Acacia caven",2,74,NA,"group_an2yk58",6,"Present","30x30m",229320531,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"14","Acacia caven",2,77,NA,"group_an2yk58",4,"Present","30x30m",229321374,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"15","Acacia caven",212,92,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"16","Acacia caven",189,86,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"17","Acacia caven",47,88,"main","group_qr1fe53",2,"Present","1x1m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"18","Acacia caven",3,86,NA,"group_an2yk58",1,"Present","30x30m",229325946,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"19","Acacia caven",129,74,"main","group_an2yk58",6,"Present","30x30m",NA,NA,"Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
"20","Acacia caven",3,81,NA,"group_an2yk58",8,"Present","30x30m",229321982,"main","Acacia caven","Acacia caven","Tropicos - Missouri Botanical Garden",0.988,"Acacia","Fabaceae"
