"","tags._tags","tags._index","tags._parent_index","tags._parent_table","tags.Data_type","tags._id"
"1",NA,1,1,"main","_tags",163622967
"2",NA,1,2,"main","_tags",189066260
"3",NA,1,3,"main","_tags",189469011
"4",NA,1,4,"main","_tags",189528021
"5",NA,1,5,"main","_tags",189528140
"6",NA,1,6,"main","_tags",189528190
"7",NA,1,7,"main","_tags",189528232
"8",NA,1,8,"main","_tags",189529455
"9",NA,1,9,"main","_tags",189530391
"10",NA,1,10,"main","_tags",189531213
"11",NA,1,11,"main","_tags",189532405
"12",NA,1,12,"main","_tags",189551226
"13",NA,1,13,"main","_tags",189563709
"14",NA,1,14,"main","_tags",189663249
"15",NA,1,15,"main","_tags",189663315
"16",NA,1,16,"main","_tags",189663334
"17",NA,1,17,"main","_tags",189663359
"18",NA,1,18,"main","_tags",189663391
"19",NA,1,19,"main","_tags",189725199
"20",NA,1,20,"main","_tags",190955924
"21",NA,1,21,"main","_tags",190955945
"22",NA,1,22,"main","_tags",190955967
"23",NA,1,23,"main","_tags",190955982
"24",NA,1,24,"main","_tags",190956010
"25",NA,1,25,"main","_tags",190956049
"26",NA,1,26,"main","_tags",190956064
"27",NA,1,27,"main","_tags",190956088
"28",NA,1,28,"main","_tags",190956140
"29",NA,1,29,"main","_tags",190956170
"30",NA,1,30,"main","_tags",190956190
"31",NA,1,31,"main","_tags",190956218
"32",NA,1,32,"main","_tags",190956247
"33",NA,1,33,"main","_tags",190956306
"34",NA,1,34,"main","_tags",190956376
"35",NA,1,35,"main","_tags",190956404
"36",NA,1,36,"main","_tags",190956437
"37",NA,1,37,"main","_tags",190956468
"38",NA,1,38,"main","_tags",190956469
"39",NA,1,39,"main","_tags",190956488
"40",NA,1,40,"main","_tags",206438443
"41",NA,1,41,"main","_tags",206440717
"42",NA,1,42,"main","_tags",209222202
"43",NA,1,43,"main","_tags",209227370
"44",NA,1,44,"main","_tags",209230939
"45",NA,1,45,"main","_tags",221701339
"46",NA,1,46,"main","_tags",221702505
"47",NA,1,47,"main","_tags",221706815
"48",NA,1,48,"main","_tags",221722552
"49",NA,1,49,"main","_tags",221732781
"50",NA,1,50,"main","_tags",223397416
"51",NA,1,51,"main","_tags",224763824
"52",NA,1,52,"main","_tags",225333314
"53",NA,1,53,"main","_tags",225333642
"54",NA,1,54,"main","_tags",225428768
"55",NA,1,55,"main","_tags",225494696
"56",NA,1,56,"main","_tags",225495251
"57",NA,1,57,"main","_tags",226154755
"58",NA,1,58,"main","_tags",226156574
"59",NA,1,59,"main","_tags",227314389
"60",NA,1,60,"main","_tags",227314781
"61",NA,1,61,"main","_tags",227315654
"62",NA,1,62,"main","_tags",227316281
"63",NA,1,63,"main","_tags",227317741
"64",NA,1,64,"main","_tags",228159173
"65",NA,1,65,"main","_tags",228159634
"66",NA,1,66,"main","_tags",228160743
"67",NA,1,67,"main","_tags",228208377
"68",NA,1,68,"main","_tags",229302062
"69",NA,1,69,"main","_tags",229302073
"70",NA,1,70,"main","_tags",229302368
"71",NA,1,71,"main","_tags",229302428
"72",NA,1,72,"main","_tags",229302486
"73",NA,1,73,"main","_tags",229320308
"74",NA,1,74,"main","_tags",229320531
"75",NA,1,75,"main","_tags",229320694
"76",NA,1,76,"main","_tags",229320895
"77",NA,1,77,"main","_tags",229321374
"78",NA,1,78,"main","_tags",229321584
"79",NA,1,79,"main","_tags",229321703
"80",NA,1,80,"main","_tags",229321864
"81",NA,1,81,"main","_tags",229321982
"82",NA,1,82,"main","_tags",229322068
"83",NA,1,83,"main","_tags",229325338
"84",NA,1,84,"main","_tags",229325609
"85",NA,1,85,"main","_tags",229325806
"86",NA,1,86,"main","_tags",229325946
"87",NA,1,87,"main","_tags",229326124
"88",NA,1,88,"main","_tags",229326523
"89",NA,1,89,"main","_tags",229326643
"90",NA,1,90,"main","_tags",229326727
"91",NA,1,91,"main","_tags",229326839
"92",NA,1,92,"main","_tags",229327028
"93",NA,1,93,"main","_tags",229327138
"94",NA,1,94,"main","_tags",229426328
"95",NA,1,95,"main","_tags",229426361
"96",NA,1,96,"main","_tags",229426380
"97",NA,1,97,"main","_tags",229426408
"98",NA,1,98,"main","_tags",229426458
"99",NA,1,99,"main","_tags",229426516
"100",NA,1,100,"main","_tags",229426542
"101",NA,1,101,"main","_tags",229426589
"102",NA,1,102,"main","_tags",229426624
"103",NA,1,103,"main","_tags",229426644
"104",NA,1,104,"main","_tags",229844564
