"main_data.PlantingPattern","Tree_type","Species","size_class","Tree_per_sq_30m","main_data.Enter_a_date","main_data.Country","main_data.Site_ID","main_data.Timeframe","main_data.Plot_ID","main_data.Plot_Type","main_data.Plot_Permanence","main_data.Resampling1","main_data.Resampling2","main_data.X_id","est_pl_dens"
"1 plante à chaque 2m, distance entre Ligne de 5m","naturally_regenerating","Quercus","1-9.9cm",400,"2022-10-03",NA,"Chantilly-523-28","Y0","28","Restoration","Permanent",0,0,189531213,90
"1 plante à chaque 2m, distance entre Ligne de 5m","Present","Quercus",">10cm",1,"2022-10-03",NA,"Chantilly-523-28","Y0","28","Restoration","Permanent",0,0,189531213,90
"1.30*1.30, están sembradas las plantas","Present","Platus mexicana moric",">10cm",4,"2023-04-12","Mexico","1274","Y0","1274-1","Restoration","Permanent",0,0,232748411,532.544378698225
"1.30*1.30, están sembradas las plantas","Present","Inga edulis",">10cm",2,"2023-04-12","Mexico","1274","Y0","1274-1","Restoration","Permanent",0,0,232748411,532.544378698225
"1.30*1.30, están sembradas las plantas","Present","Inga vera",">10cm",9,"2023-04-12","Mexico","1274","Y0","1274-1","Restoration","Permanent",0,0,232748411,532.544378698225
"1.5 metro x 2.0 metros","Present","Ficus aurea",">10cm",1,"2023-05-09","Mexico","1313","Y0","1313-3","Restoration","Permanent",0,0,238177710,300
"1.5 metro x 2.0 metros","Present","Inga edulis","1-9.9cm",100,"2023-05-09","Mexico","1313","Y0","1313-3","Restoration","Permanent",0,0,238177710,300
"1.5 metro x 2.0 metros","Present","Inga jinicuil",">10cm",3,"2023-05-09","Mexico","1313","Y0","1313-3","Restoration","Permanent",0,0,238177710,300
"1.5 metro x 2.0 metros","Present","Tabebuia rosea",">10cm",1,"2023-05-09","Mexico","1313","Y0","1313-3","Restoration","Permanent",0,0,238177710,300
"1.5 metro x 2.0 metros","Present","Inga edulis",">10cm",1,"2023-05-09","Mexico","1313","Y0","1313-3","Restoration","Permanent",0,0,238177710,300
"1.5 metros por 2 metros","Present","Trichilia trifolia",">10cm",1,"2023-05-09","Mexico","1314","Y0","1314-1","Restoration","Permanent",0,0,238178715,300
"1.5 metros por 2 metros","Present","Dalbergia calderonii",">10cm",3,"2023-05-09","Mexico","1314","Y0","1314-2","Restoration","Permanent",0,0,238178815,300
"1.5 metros por 2 metros","Present","Crisophyllum cainito",">10cm",1,"2023-05-09","Mexico","1314","Y0","1314-2","Restoration","Permanent",0,0,238178815,300
"1.5 metros por 2 metros","Present","Astronium graveolens",">10cm",1,"2023-05-09","Mexico","1314","Y0","1314-1","Restoration","Permanent",0,0,238178715,300
"1.5 metros por 2 metros","Present","Inga edulis",">10cm",1,"2023-05-09","Mexico","1314","Y0","1314-2","Restoration","Permanent",0,0,238178815,300
"1.5 metros por 2 metros","Present","Inga edulis",">10cm",1,"2023-05-09","Mexico","1314","Y0","1314-1","Restoration","Permanent",0,0,238178715,300
"1.5 metros por 2 metros","Present","Inga edulis","1-9.9cm",100,"2023-05-09","Mexico","1314","Y0","1314-2","Restoration","Permanent",0,0,238178815,300
