"","size_class","Tree_type","Species","Timeframe","Plot_ID","Site_ID","Tree_per_sq_30m","est_pl_dens"
"1","1-9.9cm","naturally_regenerating","Bauhinia","Y0","M 13
","180",300,225
"2","1-9.9cm","naturally_regenerating","Bauhinia","Y0","M 25","180",200,0
"3","1-9.9cm","naturally_regenerating","Vitex Doniana","Y0","M 25","180",100,0
"4","1-9.9cm","naturally_regenerating","Bauhinia","Y0","M 29","180",50,0
"5","<1cm","naturally_regenerating","Fig","Y0","M 4","180",900,225
"6","1-9.9cm","naturally_regenerating","Fig","Y0","M 4","180",200,225
"7","1-9.9cm","naturally_regenerating","Bauhinia","Y0","M1","180",200,0
"8","1-9.9cm","naturally_regenerating","Bauhinia","Y0","M10","180",300,0
"9","1-9.9cm","naturally_regenerating","Bauhinia","Y0","M11","180",300,0
"10","1-9.9cm","naturally_regenerating","Muula","Y0","M11","180",200,0
"11","1-9.9cm","naturally_regenerating","Bauhinia","Y0","M12","180",100,225
"12","1-9.9cm","naturally_regenerating","Bauhinia","Y0","M14","180",400,225
"13","1-9.9cm","naturally_regenerating","Faidherbia albida","Y0","M14","180",100,225
"14","1-9.9cm","naturally_regenerating","Mlama","Y0","M14","180",100,225
"15","1-9.9cm","naturally_regenerating","Bauhinia","Y0","M15","180",400,225
"16","1-9.9cm","naturally_regenerating","Chisoyo","Y0","M15","180",100,225
"17",">10cm","naturally_regenerating","Chiwombo","Y0","M16","180",4,225
"18",">10cm","naturally_regenerating","Msolo","Y0","M16","180",0.333333333333333,225
"19","1-9.9cm","naturally_regenerating","Msuku","Y0","M16","180",1500,225
"20",">10cm","naturally_regenerating","Uapaka kirkiana","Y0","M16","180",5,225
"21",">10cm","naturally_regenerating","Bauhinia","Y0","M17","180",1.33333333333333,225
"22","1-9.9cm","naturally_regenerating","Bauhinia","Y0","M17","180",300,225
"23",">10cm","naturally_regenerating","Uapaka kirkiana","Y0","M17","180",0.333333333333333,225
