"Tree_type","Species","size_class","Tree_per_sq_30m","main_data.Enter_a_date","main_data.Country","main_data.Site_ID","main_data.Timeframe","main_data.Plot_ID","main_data.Plot_Type","main_data.Plot_Permanence","main_data.Resampling1","main_data.PlantingPattern","main_data.Resampling2","main_data.X_id"
"Present","Nuxia capitata",">10cm",1.66666666666667,"2023-04-12","Madagascar","S0148","Y0","S0148CP02","Control",NA,NA,NA,2,232559601
"Present","Acacia auriculiformis",">10cm",22,"2023-03-16","India","Rr","Y0","Rr","Control",NA,NA,NA,0,225495251
"Present","Azadirachta indica",">10cm",3,"2023-03-16","India","Rr","Y0","Rr","Control",NA,NA,NA,0,225495251
"naturally_regenerating","Azadirachta indica","1-9.9cm",100,"2023-03-16","India","Rr","Y0","Rr","Control",NA,NA,NA,0,225495251
"planted","Acacia auriculiformis",">10cm",2,"2023-03-16","India","Rr","Y0","T5","Restoration","Randomized",0,"1.5x1.5m",0,225494696
"planted","Azadirachta indica",">10cm",1,"2023-03-16","India","Rr","Y0","T5","Restoration","Randomized",0,"1.5x1.5m",0,225494696
"planted","Tectona grandis","1-9.9cm",300,"2023-03-16","India","Rr","Y0","T5","Restoration","Randomized",0,"1.5x1.5m",0,225494696
"Present","Acacia caven",">10cm",2,"2023-03-28","Mexico","295","Y0","295-17","Restoration","Permanent",0,"3 m por 3 m",0,229326643
"Present","Brysonima crassifolia",">10cm",2,"2023-03-28","Mexico","295","Y0","295-17","Restoration","Permanent",0,"3 m por 3 m",0,229326643
"Present","Chrysophyllum cainito",">10cm",1,"2023-03-28","Mexico","295","Y0","295-17","Restoration","Permanent",0,"3 m por 3 m",0,229326643
"Present","Quercus rugosa",">10cm",10,"2023-03-28","Mexico","295","Y0","295-17","Restoration","Permanent",0,"3 m por 3 m",0,229326643
"Present","Leucaena leucosephala","<1cm",900,"2023-03-28","Mexico","295","Y0","295-5","Restoration","Permanent",0,"3 por 3 metros",0,229302486
"Present","Acacia caven",">10cm",2,"2023-03-28","Mexico","295","Y0","295-5","Restoration","Permanent",0,"3 por 3 metros",0,229302486
"Present","Brysonima crassifolia",">10cm",3,"2023-03-28","Mexico","295","Y0","295-5","Restoration","Permanent",0,"3 por 3 metros",0,229302486
"Present","Pinus oocarpa",">10cm",1,"2023-03-28","Mexico","295","Y0","295-5","Restoration","Permanent",0,"3 por 3 metros",0,229302486
"Present","Quercus rugoza nee",">10cm",14,"2023-03-28","Mexico","295","Y0","295-5","Restoration","Permanent",0,"3 por 3 metros",0,229302486
"Present","Acacia caven","1-9.9cm",100,"2023-03-28","Mexico","295","Y0","295-5","Restoration","Permanent",0,"3 por 3 metros",0,229302486
"Present","Brysonima crassifolia","1-9.9cm",100,"2023-03-28","Mexico","295","Y0","295-5","Restoration","Permanent",0,"3 por 3 metros",0,229302486
"Present","Psidium guajava","<1cm",900,"2023-03-28","Mexico","295","Y0","295-6","Restoration","Permanent",0,"3 por 3 metros",0,229321374
"Present","Acacia caven",">10cm",4,"2023-03-28","Mexico","295","Y0","295-6","Restoration","Permanent",0,"3 por 3 metros",0,229321374
"Present","Brysonima crassifolia",">10cm",3,"2023-03-28","Mexico","295","Y0","295-6","Restoration","Permanent",0,"3 por 3 metros",0,229321374
