"","submitted_name","matched_name2","user_supplied_name","data_source_title","score","genus_name","family_data_out"
"1","""Artocarpus blancoi  (Elmer) Merr. ""","Artocarpus blancoi",NA,NA,NA,"Artocarpus","Moraceae"
"2","Acacia polyacatha","Acacia polyacantha","Acacia Polyacatha","Tropicos - Missouri Botanical Garden","0.75","Acacia","Fabaceae"
"3","Acacia polyacatha","Acacia polyacantha","Acacia polyacatha","Tropicos - Missouri Botanical Garden","0.75","Acacia","Fabaceae"
"4","Acacia Polyacatha","Acacia polyacantha",NA,NA,NA,"Acacia","Fabaceae"
"5","Albizzia gummifera","Albizia gummifera","Albizzia gummifera","Tropicos - Missouri Botanical Garden","0.75","Albizia","Fabaceae"
"6","Alfzelia quenzensis","Afzelia quanzensis","Alfzelia quenzensis","Tropicos - Missouri Botanical Garden","0.75","Afzelia","Fabaceae"
"7","Alfzelia quenzesis","Afzelia quanzensis",NA,NA,NA,"Afzelia","Fabaceae"
"8","Andira  enermis","Andira inermis","Andira  enermis","Tropicos - Missouri Botanical Garden","0.75","Andira","Fabaceae"
"9","Annona macroprophyllata","Annona macroprophyllata","Annona macroprophyllata","Tropicos - Missouri Botanical Garden","0.988","Annona","Annonaceae"
"10","Anona macroprophyllata","Annona macroprophyllata","Anona macroprophyllata","Tropicos - Missouri Botanical Garden","0.75","Annona","Annonaceae"
"11","Astronium  graveolens","Astronium graveolens","Astronium  graveolens","The International Plant Names Index","0.988","Astronium","Anacardiaceae"
"12","Astronium graveolens","Astronium graveolens","Astronium graveolens","The International Plant Names Index","0.988","Astronium","Anacardiaceae"
"13","Avicenna marina ( >250cm)","Avicennia marina","Avicenna Marina ( >250cm)","Tropicos - Missouri Botanical Garden","0.75","Avicennia","Acanthaceae"
"14","Avicenna Marina ( >250cm)","Avicennia marina",NA,NA,NA,"Avicennia","Acanthaceae"
"15","Avicenna marina (<130cm)","Avicennia marina","Avicenna Marina (<130cm)","Tropicos - Missouri Botanical Garden","0.75","Avicennia","Acanthaceae"
"16","Avicenna Marina (<130cm)","Avicennia marina",NA,NA,NA,"Avicennia","Acanthaceae"
"17","Avicenna marina (>250cm)","Avicennia marina","Avicenna Marina (>250cm)","Tropicos - Missouri Botanical Garden","0.75","Avicennia","Acanthaceae"
"18","Avicenna Marina (>250cm)","Avicennia marina",NA,NA,NA,"Avicennia","Acanthaceae"
"19","Avicenna marina (130-250cm)","Avicennia marina","Avicenna Marina (130-250cm)","Tropicos - Missouri Botanical Garden","0.75","Avicennia","Acanthaceae"
"20","Avicenna Marina (130-250cm)","Avicennia marina",NA,NA,NA,"Avicennia","Acanthaceae"
"21","Avicenna marina (total)","Avicennia marina","Avicenna Marina (Total)","Tropicos - Missouri Botanical Garden","0.75","Avicennia","Acanthaceae"
"22","Avicenna Marina (Total)","Avicennia marina",NA,NA,NA,"Avicennia","Acanthaceae"
"23","Avicenna marina <130cm","Avicennia marina","Avicenna Marina <130cm","Tropicos - Missouri Botanical Garden","0.75","Avicennia","Acanthaceae"
"24","Avicenna Marina <130cm","Avicennia marina",NA,NA,NA,"Avicennia","Acanthaceae"
"25","Barringtonia asiatica","Barringtonia asiatica","Barringtonia asiatica","Tropicos - Missouri Botanical Garden","0.988","Barringtonia","Lecythidaceae"
"26","Bauhia","Bauhinia",NA,NA,NA,"Bauhinia","Fabaceae"
"27","bauhinia","Bauhinia",NA,NA,NA,"Bauhinia","Fabaceae"
"28","Bauhinia","Bauhinia","Bauhinia","The International Plant Names Index","0.75","Bauhinia","Fabaceae"
"29","Bauhinia","Bauhinia","bauhinia","The International Plant Names Index","0.75","Bauhinia","Fabaceae"
"30","Beilschmiedia","Beilschmiedia","Beilschmiedia","The International Plant Names Index","0.75","Beilschmiedia","Lauraceae"
"31","Brachylaena perrieri","Brachylaena perrieri","Brachylaena perrieri","Tropicos - Missouri Botanical Garden","0.988","Brachylaena","Asteraceae"
"32","Brosumum alicastrum","Brosimum alicastrum","Brosumum alicastrum","Tropicos - Missouri Botanical Garden","0.75","Brosimum","Moraceae"
"33","Calycophyllum candidissimun","Calycophyllum candidissimum","Calycophyllum candidissimun","Tropicos - Missouri Botanical Garden","0.75","Calycophyllum","Rubiaceae"
"34","Chiranthodendron  pentadactylon","Chiranthodendron pentadactylon","Chiranthodendron  pentadactylon","Tropicos - Missouri Botanical Garden","0.988","Chiranthodendron","Malvaceae"
"35","Chiranthodendron pentadactylon","Chiranthodendron pentadactylon","Chiranthodendron pentadactylon","Tropicos - Missouri Botanical Garden","0.988","Chiranthodendron","Malvaceae"
"36","Cirrus sinensis osbeck","Citrus sinensis","Cirrus sinensis osbeck","Tropicos - Missouri Botanical Garden","0.75","Citrus","Rutaceae"
"37","Cnestis polyphylla","Cnestis polyphylla","Cnestis polyphylla","Tropicos - Missouri Botanical Garden","0.988","Cnestis","Connaraceae"
"38","Coccoloba acapulcensis","Coccoloba acapulcensis","Coccoloba acapulcensis","Tropicos - Missouri Botanical Garden","0.988","Coccoloba","Polygonaceae"
"39","Coffea araabica","Coffea arabica","Coffea araabica","Tropicos - Missouri Botanical Garden","0.75","Coffea","Rubiaceae"
"40","Coffee arabica","Coffea arabica","Coffee arabica","Tropicos - Missouri Botanical Garden","0.75","Coffea","Rubiaceae"
"41","Cratoxylum sumatranum","Cratoxylum sumatranum","Cratoxylum sumatranum","Tropicos - Missouri Botanical Garden","0.988","Cratoxylum","Hypericaceae"
"42","Crhysopyllum cainito","Chrysophyllum cainito","Crhysopyllum cainito","Tropicos - Missouri Botanical Garden","0.75","Chrysophyllum","Sapotaceae"
"43","Crisophyllum cainito","Chrysophyllum cainito","Crisophyllum cainito","Tropicos - Missouri Botanical Garden","0.75","Chrysophyllum","Sapotaceae"
