"","tree_data._index","tree_data._parent_index","tree_data._parent_table_name","tree_data._validation_status","tree_data.Data_type","tree_data.LittleTreesPresent","tree_data.Note111","tree_data.Notes21","tree_data.Number_of_trees","tree_data.Resampling2","tree_data.Species","tree_data.Tree_type","tree_data.plot_type","tree_data.Additional_Photos_Optional3","tree_data.Centroid_of_3m_x_3m_Subplot2","tree_data.Centroid_of_3m_x_3m_Subplot2_altitude","tree_data.Centroid_of_3m_x_3m_Subplot2_latitude","tree_data.Centroid_of_3m_x_3m_Subplot2_longitude","tree_data.Centroid_of_3m_x_3m_Subplot2_precision","tree_data.Centroid_of_3m_x_3m_Subplot2_wkt","tree_data.Description_of_subpl_ithin_30m_x_30m_plot2","tree_data.Note22","tree_data.Notes17","tree_data.File","tree_data.Note_Tiny","tree_data.Note2","tree_data.Note4","tree_data.Notes5","tree_data.Note24","tree_data.Notes14","tree_data.Photos4","tree_data.Note35","tree_data.TinyTrees","tree_data.Additional_Photos_Optional1","tree_data.Centroid_of_3m_x_3m_Subplot1","tree_data.Centroid_of_3m_x_3m_Subplot1_altitude","tree_data.Centroid_of_3m_x_3m_Subplot1_latitude","tree_data.Centroid_of_3m_x_3m_Subplot1_longitude","tree_data.Centroid_of_3m_x_3m_Subplot1_precision","tree_data.Centroid_of_3m_x_3m_Subplot1_wkt","tree_data.Description_of_subpl_ithin_30m_x_30m_plot1","tree_data.Note21","tree_data.Notes11","tree_data.Note3"
"1",1,40,"main",NA,"group_an2yk58",NA,NA,NA,43,NA,"Aveccinia Marina","Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,41,"main",NA,"group_an2yk58",NA,NA,NA,0,NA,"Avicenna Marina (>9.9cm DBH)","Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,41,"main",NA,"group_an2yk58",NA,NA,NA,90,NA,"Avicenna Marina (1-9.9cm DBH)","Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,41,"main",NA,"group_an2yk58",NA,NA,NA,0,NA,"Avicenna Marina (<1 DBH)","Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,42,"main",NA,"group_an2yk58",NA,NA,NA,9,NA,"Avicennia marina (130-250cm)","Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,43,"main",NA,"group_an2yk58",NA,NA,NA,48,NA,"Avicennia marina (<130cm)","Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,44,"main",NA,"group_an2yk58",NA,NA,NA,15,NA,"Avicennia marina (<130cm)","Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,45,"main",NA,"group_an2yk58",NA,NA,NA,1,NA,"Bauhinia variegata L.","Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,45,"main",NA,"group_an2yk58",NA,NA,NA,2,NA,"Artocarpus blancoi  (Elmer) Merr.","Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,45,"main",NA,"group_an2yk58",NA,NA,NA,1,NA,"Buchanania arborescens (Blume)","Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,45,"main",NA,"group_an2yk58",NA,NA,NA,1,NA,"Buchanania nitida","Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,45,"main",NA,"group_an2yk58",NA,NA,NA,2,NA,"Alstonia scholaris (L.)","Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,45,"main",NA,"group_an2yk58",NA,NA,NA,1,NA,"Artocarpus anisophyllus Miq","Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,45,"main",NA,"group_an2yk58",NA,NA,NA,1,NA,"Sandoricum vidalii Merr.","Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,45,"main",NA,"group_an2yk58",NA,NA,NA,1,NA,"Tristaniopsis decorticata (Merr.)","Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,45,"main",NA,"group_an2yk58",NA,NA,NA,2,NA,"Acacia mangium","Present","30x30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
