datasetTitle,datasetKey,type,hostingOrganization,hostingOrganizationKey,publishingOrganization,publishingOrganizationKey,publishingCountry,country_name
GRIIS Checklist of Introduced and Invasive Species - Mongolia,ca55b876-88ef-44a1-b752-c38977af7d2f,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Mongolia
GRIIS Checklist of Introduced and Invasive Species - Ethiopia,52ac9be8-150d-42a9-a480-65d023c51b76,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Ethiopia
GRIIS Checklist of Introduced and Invasive Species - Qatar,11128400-5fe0-4376-adf0-bbb18aad70d1,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Qatar
GRIIS Checklist of Introduced and Invasive Species - Suriname,e98cc325-bc7a-4489-a841-15b734ab2514,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Suriname
GRIIS Checklist of Introduced and Invasive Species - Myanmar,0c0ac27f-c7cb-4a1a-b5d7-6d9a386b2c53,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Myanmar
GRIIS Checklist of Introduced and Invasive Species - Malawi,d9b8781d-94c6-447e-976e-d8aba57d1dd2,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Malawi
GRIIS Checklist of Introduced and Invasive Species - Ecuador,1df9467e-0c60-4e5a-a7b0-2b60bd6648ed,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Ecuador
GRIIS Checklist of Introduced and Invasive Species - Yemen,06d566fc-ac40-4283-bac4-7b4198204259,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Yemen
GRIIS Checklist of Introduced and Invasive Species - Zimbabwe,a943a869-9a79-4350-98f6-33cb77439aac,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Zimbabwe
GRIIS Checklist of Introduced and Invasive Species - Equatorial Guinea,87939381-bbbb-4976-8d70-f686cbce4d58,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Equatorial Guinea
