"query","family"
"Pinus sylvestris","Pinaceae"
"Quercus robar",NA
"Populus","Salicaceae"
"Prunus avium","Rosaceae"
"Quercus","Fagaceae"
"Carpinus betulus","Betulaceae"
"Pinus","Pinaceae"
"Betula pendula","Betulaceae"
"Betula","Betulaceae"
"Acer pseudoplatanus","Sapindaceae"
"Fagus silvatica",NA
"Tilia cordata","Malvaceae"
"Cecropia peltata","Urticaceae"
"Taxus baccata","Taxaceae"
"Inga spuria",NA
"Juglans regia","Juglandaceae"
"Garcinia intermedia","Clusiaceae"
"Gliricidia sepium","Fabaceae"
"Crescentia alata","Bignoniaceae"
"Persea caerulea","Lauraceae"
"Cedrela odorata","Meliaceae"
"Dracaena fragrans","Asparagaceae"
"Bursera simaruba","Burseraceae"
"Spondias mombin","Anacardiaceae"
"Persea americana","Lauraceae"
"Citrus","Rutaceae"
"Inga vera","Fabaceae"
"Dendropanax","Araliaceae"
"Mangifera","Anacardiaceae"
"Cupania dentata","Sapindaceae"
"Annona squamosa","Annonaceae"
"Croton draco","Euphorbiaceae"
"Liquidambar styraciflua","Altingiaceae"
"Citrus hystrix","Rutaceae"
"Zanthoxylum rhoifolium","Rutaceae"
"Hibiscus elatus","Malvaceae"
"Quercus xalapensis","Fagaceae"
"Palo de canela silvestre",NA
"Palo de leche amarillo",NA
"Pinus chiapensis","Pinaceae"
"Palo de pajarito",NA
"Quercus robur","Fagaceae"
"Avicennia marina","Acanthaceae"
"Sorbus torminalis","Rosaceae"
"Douglas",NA
"Sorbus aucuparia","Rosaceae"
"Carpinus","Betulaceae"
"Acer campestre","Sapindaceae"
NA,NA
"Diphysa americana","Fabaceae"
"Larix decidua","Pinaceae"
"Fraises exelsion",NA
"Atriplex canescens","Chenopodiaceae"
"sjdjd",NA
"jd",NA
"ueyeg",NA
"yzyz",NA
"Tectona grandis","Lamiaceae"
"Intsia bijuga","Fabaceae"
"Eugenia montalbanica",NA
"Quercus rugosa","Fagaceae"
"Guazuma ulmifolia","Malvaceae"
"Coffea arabica","Rubiaceae"
"Não possue",NA
"Brosimum alicastrum","Moraceae"
"Beilschmiedia riparia",NA
"Msangu",NA
"Mphakasa",NA
"Msambafumu",NA
"Mtondo",NA
"Msolo",NA
"Faidherbia albida","Fabaceae"
"Khaya anthotheca","Meliaceae"
"Chitimbe",NA
"Acacia polyacantha","Fabaceae"
"Mwavi",NA
"Matowo",NA
"Mlonde",NA
"mphakasa",NA
"mlonde",NA
"chitimbe",NA
"mbawa",NA
"msambafumu",NA
"mtondo",NA
"Dipterocarpus grandiflorus","Dipterocarpaceae"
"Swietenia","Meliaceae"
"Pouteria villamilii",NA
"Diospyros blancoi","Ebenaceae"
"Bauhinia","Fabaceae"
"Mthethe",NA
"Afzelia quanzensis","Fabaceae"
"Mbawa",NA
"Pterocarpus indicus","Fabaceae"
"Trachylobium verrucosum",NA
"Hevea brasiliensis","Euphorbiaceae"
"Cassia siamea","Fabaceae"
"Pentaclethra macrophylla","Fabaceae"
"Cassia floribunda","Fabaceae"
"Trachylobium",NA
"ghgh",NA
"Dracaena reflexa","Asparagaceae"
"Harungana madagascariensis","Hypericaceae"
"Ficus reflexa","Moraceae"
"Albizia lebbeck","Fabaceae"
"Nuxia capitata",NA
"Syzygium aromaticum","Myrtaceae"
"Coffea","Rubiaceae"
"Litchi","Sapindaceae"
"Mangifera indica","Anacardiaceae"
"Spondias dulcis","Anacardiaceae"
"Intsia","Fabaceae"
"Spondias","Anacardiaceae"
"Citrus sinensis","Rutaceae"
"Letchi",NA
"Albizia","Fabaceae"
"Harungana","Hypericaceae"
"Albizia gummifera","Fabaceae"
"Albizzia lebbeck","Fabaceae"
"Hasina",NA
"Eriobotrya japonica","Rosaceae"
"Syzygium verrucosum",NA
"Artocarpus heterophyllus","Moraceae"
"Malus","Rosaceae"
"Entada chrysostachys",NA
"Vanilla planifolia","Orchidaceae"
"Eucalyptus robusta","Myrtaceae"
"Litchi chinensis","Sapindaceae"
"Brachylaena perrieri","Asteraceae"
"Psiadia altissima","Asteraceae"
"Ampalis madagascariensis",NA
"Weinmannia madagascariensis","Cunoniaceae"
"Trema orientalis","Cannabaceae"
"Grevillea","Proteaceae"
"Tina striata","Sapindaceae"
"Fomohilambo",NA
"Handrarezina",NA
"Ficus lutea","Moraceae"
"Pachytrophe obovata",NA
"Psidium guayava",NA
"Tina gelonium",NA
"Psidium","Myrtaceae"
"Bracaena perieri",NA
"Thecacoris madagascariensis","Phyllanthaceae"
"Eucalyptus","Myrtaceae"
"Gnidia danguyana","Thymelaeaceae"
"Macaranga obovata","Euphorbiaceae"
"Entada louvelii",NA
"Malus domestica","Rosaceae"
"Weinmannia","Cunoniaceae"
"Eugenia hirta","Myrtaceae"
"Psydia",NA
"Famohylambo",NA
"Maintipototra",NA
"Musa","Musaceae"
"Psorospermum amplifolium",NA
"Phyllarthron madagascariensis",NA
"Filartran madagascariensis",NA
"Ficus rubra","Moraceae"
"Haronga madagascariensis",NA
"Ficus megapoda",NA
"Leucaena","Fabaceae"
"Cafe",NA
"Trachydium verrucosum",NA
"Prunus persica","Rosaceae"
"Coffea robusta","Rubiaceae"
"Baudouinia fluggeiformis","Fabaceae"
"Weinmannia rutenbergii","Cunoniaceae"
"Thilachium angustifolium",NA
"Andrarezina",NA
"Volomborona",NA
"Dracaena","Asparagaceae"
"Ficus polita","Moraceae"
"Coffea millotii","Rubiaceae"
"Coffea mangoroensis","Rubiaceae"
"Caffea",NA
"Morus alba","Moraceae"
"Grewia baillonii",NA
"Protorhus ditimena","Anacardiaceae"
"Erythroxylum sphaeranthum","Erythroxylaceae"
"Papaya","Caricaceae"
"Piper nigrum","Piperaceae"
"None",NA
"Intsia madagascariensis",NA
"Spondens dipsis",NA
"Trema humbertii",NA
"Eugenia cloiselii",NA
"Eugenia","Myrtaceae"
"Tambourissa madagascariensis",NA
"Casearia corymbosa","Salicaceae"
"Cordia alliodora","Cordiaceae"
"Malacate blanco",NA
"Tabebuia rosea","Bignoniaceae"
"Rabo de iaguana",NA
"Nanche",NA
"Cocos nucifera","Arecaceae"
"Quercus rubra","Fagaceae"
"Pinus strobus","Pinaceae"
"Platanus occidentalis","Platanaceae"
"Prunus americana","Rosaceae"
"Quercus montana","Fagaceae"
"Prunus serotina","Rosaceae"
"Robinia pseudoacacia","Fabaceae"
"Castanea dentata","Fagaceae"
"Corylus americana","Betulaceae"
"Quercus velutina","Fagaceae"
"Pinus virginiana","Pinaceae"
"Quercus alba","Fagaceae"
"0",NA
"Nunguno",NA
"Bauhinia variegata","Fabaceae"
"Artocarpus blancoi","Moraceae"
"Buchanania arborescens","Anacardiaceae"
"Buchanania nitida",NA
"Alstonia scholaris","Apocynaceae"
"Artocarpus anisophyllus","Moraceae"
"Sandoricum vidalii","Meliaceae"
"Tristaniopsis decorticata",NA
"Acacia mangium","Fabaceae"
"Alangium javanicum","Cornaceae"
"Litsea glutinosa","Lauraceae"
"Myristica philippinensis",NA
"Mitrephora lanotan","Annonaceae"
"Palaquium luzoniense","Sapotaceae"
"Dysoxylum cumingianum","Meliaceae"
"Neonauclea formicaria","Rubiaceae"
"Kokoona ochracea","Celastraceae"
"Sapium luzonicum",NA
"Calophyllum blancoi","Calophyllaceae"
"Terminalia calamansanai","Combretaceae"
"Toona calantas","Meliaceae"
"Goniocheton arborescens","Meliaceae"
"Tritaxis malayana",NA
"Syzygium antisepticum","Myrtaceae"
"Pometia pinnata","Sapindaceae"
"Atuna racemosa","Chrysobalanaceae"
"Beilschmiedia glomerata",NA
"Nephelium rambutan",NA
"Pangium edule","Achariaceae"
"Dehaasia triandra",NA
"Swintonia foxworthyi",NA
"Syzygium nervosum","Myrtaceae"
"Terminalia nitens","Combretaceae"
"Dimorphocalyx luzoniensis",NA
"Butea monosperma","Fabaceae"
"Azadirachta indica","Meliaceae"
"Acacia auriculiformis","Fabaceae"
"Pas darbres inventoriées : Plus de 10cm(DBH)",NA
"Pas darbres plus de 10cm (DBH)",NA
"pas despece",NA
"Inga edulis","Fabaceae"
"Ternstroemia sylvatica","Pentaphylacaceae"
"Vernonia patens","Asteraceae"
"Bursera copallifera","Burseraceae"
"Cochlospermum vitifolium","Bixaceae"
"Haematoxylum campechianum","Fabaceae"
"Enterolobium cyclocarpum","Fabaceae"
"Ulmus mexicana","Ulmaceae"
"Conostegia xalapensis","Melastomataceae"
"Leucaena leucocephala","Fabaceae"
"Chrysophyllum cainito","Sapotaceae"
"Pinus oocarpa","Pinaceae"
"Byrsonima crassifolia","Malpighiaceae"
"Acacia caven","Fabaceae"
"Dalbergia calderonii","Fabaceae"
"Platymisciun dimhorphan",NA
"Sapindus saponaria","Sapindaceae"
"Psidium sartorianum","Myrtaceae"
"Trichilia trifolia","Meliaceae"
"Crescentia cujete","Bignoniaceae"
"Erythrina coralloides","Fabaceae"
"Ficus petiolaris","Moraceae"
"Lonchocarpus rugosus","Fabaceae"
"Ceiba pentandra","Malvaceae"
"Perymenium grande","Asteraceae"
"Cojoba arborea","Fabaceae"
"Cochlolospermun vitifolium",NA
"Guatemala",NA
"Malpighia glabra","Malpighiaceae"
"Leucaena esculenta","Fabaceae"
"Prunus salicifolia","Rosaceae"
