"query","family","db"
"Callistemon","Myrtaceae","GBIF"
"Cordia",NA,"GBIF"
"Eysenhardtia","Fabaceae","GBIF"
"Astronium","Anacardiaceae","GBIF"
"Alchornea latifolia","Euphorbiaceae","GBIF"
"Sapindus","Sapindaceae","GBIF"
"Tapirira","Anacardiaceae","GBIF"
"Cedro",NA,"GBIF"
"Cryosophila nana","Arecaceae","GBIF"
"Guanchal",NA,"GBIF"
"Hormiguero",NA,"GBIF"
"Macuim",NA,"GBIF"
"Cuapinol",NA,"GBIF"
"Cupressus lindleyi","Cupressaceae","GBIF"
"Annona myristica","Annonaceae","GBIF"
"Sangualico",NA,"GBIF"
"Comarron",NA,"GBIF"
"Bambusoideae",NA,"GBIF"
"Macahuite",NA,"GBIF"
"Samhualico",NA,"GBIF"
"Naranjillo",NA,"GBIF"
"Chicozapote",NA,"GBIF"
"Giarumbo",NA,"GBIF"
"Zea mays","Poaceae","GBIF"
"Henriettea","Melastomataceae","GBIF"
"Camarón",NA,"GBIF"
"Ccoffea",NA,"GBIF"
"Tejón",NA,"GBIF"
"Ceiba aesculifolia","Malvaceae","GBIF"
"Bonellia macrocarpa","Primulaceae","GBIF"
"Caesalpinia pluviosa","Fabaceae","GBIF"
"Annona montana","Annonaceae","GBIF"
"Ebenopsis ebano","Fabaceae","GBIF"
"Erythrina poeppigiana","Fabaceae","GBIF"
"Croton lechleri","Euphorbiaceae","GBIF"
"Heliocarpues sp.",NA,"GBIF"
"Trichospermum mexicanum","Malvaceae","GBIF"
"Brosimum rubescens","Moraceae","GBIF"
"Lysiloma acapulcense","Fabaceae","GBIF"
"Cordia truncatifolia","Cordiaceae","GBIF"
"Oreopanax xalapensis","Araliaceae","GBIF"
"Stemmadenia galeottiana","Apocynaceae","GBIF"
"Luehea candida","Malvaceae","GBIF"
"Tabebuia serratifolia","Bignoniaceae","GBIF"
"Bunchosia","Malpighiaceae","GBIF"
"Pouteria","Sapotaceae","GBIF"
"Licania arborea","Chrysobalanaceae","GBIF"
"sp1",NA,"GBIF"
"Macui",NA,"GBIF"
"Palo de cobre",NA,"GBIF"
"Anon",NA,"GBIF"
"Huele de noche",NA,"GBIF"
"Mandarina",NA,"GBIF"
"Palo de e agua",NA,"GBIF"
"Guache",NA,"GBIF"
"Chamocillo",NA,"GBIF"
"Hurumbo",NA,"GBIF"
"Presea Americana",NA,"GBIF"
"No hay",NA,"GBIF"
"Lysiloma Divaricatum",NA,"GBIF"
"Cupania","Sapindaceae","GBIF"
"Alnus jorullensis","Betulaceae","GBIF"
"Cotinus","Anacardiaceae","GBIF"
"Quercus castanea","Fagaceae","GBIF"
"Liquidambar","Altingiaceae","GBIF"
"Dikidambar",NA,"GBIF"
"Capulín",NA,"GBIF"
"7 inga vera",NA,"GBIF"
"Guachipilin",NA,"GBIF"
"Psittacanthus","Loranthaceae","GBIF"
"Aphananthe","Cannabaceae","GBIF"
"Sideroxylon","Sapotaceae","GBIF"
"Erythroxytum Mexicanum",NA,"GBIF"
"Ardisia","Primulaceae","GBIF"
"Tabebuia Rosea",NA,"GBIF"
"Platymuscium Dimorphandrum",NA,"GBIF"
"Ovis orientales aries","Bovidae","GBIF"
"Tabernaemontana","Apocynaceae","GBIF"
"Lantana camara","Verbenaceae","GBIF"
"Chaperlilla",NA,"GBIF"
"Majuelos carataegus",NA,"GBIF"
"Palo hoja peluda",NA,"GBIF"
"Capsicum annuum","Solanaceae","GBIF"
"Herraje",NA,"GBIF"
"Erraje",NA,"GBIF"
"Citrus aurantifolia","Rutaceae","GBIF"
"Árbol pintacaja",NA,"GBIF"
"Cuercus plantae",NA,"GBIF"
"Cubanola","Rubiaceae","GBIF"
"Piper","Piperaceae","GBIF"
"Heliocarpus","Malvaceae","GBIF"
"Celtis laevigata","Cannabaceae","GBIF"
"Tapirira guianensis","Anacardiaceae","GBIF"
"Brosimun Alicastrum",NA,"GBIF"
"Acacia melanoxylon","Fabaceae","GBIF"
"Comocladia Mollissima",NA,"GBIF"
"Hymenaea","Fabaceae","GBIF"
"Drimys winteri","Winteraceae","GBIF"
"Hintonia",NA,"GBIF"
"Lonicera xylosteum","Caprifoliaceae","GBIF"
"Hymenolobium","Fabaceae","GBIF"
"Manilkara chicle","Sapotaceae","GBIF"
"Swietenia Humilis",NA,"GBIF"
