"species","alien_range","native_range","status"
"Acacia mearnsii","china, cook islands, france, india, israel, italy, japan, madagascar, new zealand, portugal, reunion, saint helena, seychelles, south africa, spain, swaziland, taiwan, tanzania, united republic of, uganda, united states, zimbabwe","australia","Invasive"
"Acacia melanoxylon","argentina, belgium, bhutan, bolivia, brazil, chile, china, colombia, ethiopia, france, india, kenya, lesotho, mauritius, new caledonia, new zealand, pakistan, peru, portugal, reunion, saint helena, south africa, spain, sri lanka, swaziland, tanzania, united republic of, united states, uruguay, venezuela","australia","Invasive"
"Eugenia uniflora","american samoa, australia, bahamas, bermuda, cayman islands, christmas island, cook islands, cuba, dominican republic, fiji, french polynesia, guadeloupe, haiti, india, indonesia, italy, jamaica, marshall islands, martinique, micronesia, federated states of, new caledonia, niue, norfolk island, northern mariana islands, papua new guinea, pitcairn, puerto rico, reunion, saint barthelemy, samoa, tonga, united states, united states minor outlying islands, virgin islands, u.s.","argentina, belize, bolivia, brazil, colombia, costa rica, el salvador, french guiana, guatemala, guyana, mexico, nicaragua, panama, paraguay, peru, portugal, suriname, uruguay, venezuela","Invasive"
"Psidium cattleianum","australia, bermuda, cook islands, fiji, french polynesia, kiribati, mauritius, mayotte, micronesia, federated states of, new zealand, norfolk island, palau, pitcairn, reunion, seychelles, swaziland, united states","","Invasive"
"Psidium guajava","algeria, american samoa, anguilla, argentina, aruba, australia, bahamas, bermuda, bolivia, brazil, british indian ocean territory, brunei darussalam, burundi, cambodia, cameroon, cayman islands, central african republic, china, colombia, congo, the democratic republic of the, cook islands, costa rica, cuba, dominican republic, ecuador, egypt, el salvador, fiji, france, french polynesia, gabon, germany, ghana, guam, guyana, haiti, honduras, hong kong, india, indonesia, israel, japan, jordan, kenya, kiribati, lao people's democratic republic, madagascar, malaysia, mayotte, mexico, micronesia, federated states of, nauru, nepal, new caledonia, new zealand, nigeria, niue, norfolk island, northern mariana islands, palau, papua new guinea, paraguay, peru, philippines, pitcairn, puerto rico, reunion, saint helena, samoa, senegal, singapore, south africa, spain, sudan, swaziland, taiwan, tanzania, united republic of, tonga, tuvalu, united states, vanuatu, venezuela, viet nam, virgin islands, u.s., west indies, zimbabwe","anguilla, antigua and barbuda, argentina, barbados, belize, bes islands (bonaire, sint eustatius and saba), bolivia, costa rica, dominica, dominican republic, ecuador, el salvador, french guiana, grenada, guadeloupe, guatemala, haiti, honduras, jamaica, martinique, mexico, montserrat, nicaragua, panama, paraguay, peru, saint barthelemy, saint kitts and nevis, saint lucia, saint martin (french part), saint vincent and the grenadines, suriname, trinidad and tobago, venezuela","Invasive"
"Schinus terebinthifolius","american samoa, australia, bahamas, bermuda, cuba, fiji, french polynesia, guam, israel, malta, marshall islands, mauritius, mayotte, new caledonia, new zealand, norfolk island, puerto rico, reunion, saint helena, samoa, turks and caicos islands, united states, united states minor outlying islands, vanuatu","argentina, brazil, paraguay, south america","Invasive"
"Acacia dealbata",NA,NA,"Not in GISD"
"Eucalyptus amplifolia",NA,NA,"Not in GISD"
"Eucalyptus cinerea",NA,NA,"Not in GISD"
"Eucalyptus dives",NA,NA,"Not in GISD"
