"species","status","alien_range","native_range","summary"
"Jacksonia scoparia","Not in GISD",NA,NA,NA
"Dalbergia sissoo","Invasive","afghanistan, australia, bangladesh, benin, cameroon, costa rica, cyprus, ethiopia, french polynesia, gabon, ghana, greater antilles                                                                                                                                                                                                                                          , indonesia, iran, islamic republic of, iraq, israel, kenya, malaysia, mauritius, new caledonia, nigeria, senegal, south africa, sri lanka, sudan, taiwan, tanzania, united republic of, thailand, togo, united states, zimbabwe","bhutan, india, myanmar, nepal, oman, pakistan","Dalbergia sissoo is a perennial tree that is economically important for its value in forestry, agroforestry, and horticulture. It provides timber, fuelwood, fodder, has medicinal value, used extensively as an ornamental tree as well as for shading, erosion control, and soil fertility. Native to the Indian sub-continent it is a member of the legume family and can fix nitrogen from the atmosphere through bacteria nodules on its root system. It has been introduced in various countries throughout the world, but has known to be invasive in Australia and in Florida (U.S.)."
"Alchornea triplinervia","Not in GISD",NA,NA,NA
"Allophylus edulis","Not in GISD",NA,NA,NA
"Andira fraxinifolia","Not in GISD",NA,NA,NA
"Annona coriacea","Not in GISD",NA,NA,NA
"Caesalpinia echinata","Not in GISD",NA,NA,NA
"Caesalpinia ferrea","Not in GISD",NA,NA,NA
"Copaifera lucens","Not in GISD",NA,NA,NA
"Eugenia florida","Not in GISD",NA,NA,NA
"Ficus enormis","Not in GISD",NA,NA,NA
"Manilkara salzmannii","Not in GISD",NA,NA,NA
"Myrcia rostrata","Not in GISD",NA,NA,NA
"Peschiera fuchsiaefolia","Not in GISD",NA,NA,NA
"Plathymenia foliolosa","Not in GISD",NA,NA,NA
"Pseudobombax grandiflorum","Not in GISD",NA,NA,NA
"Pterygota brasiliensis","Not in GISD",NA,NA,NA
"Pterogyne nitens","Not in GISD",NA,NA,NA
"Tabebuia roseoalba","Not in GISD",NA,NA,NA
"Vataireopsis araroba","Not in GISD",NA,NA,NA
"Dinizia excelsa","Not in GISD",NA,NA,NA
"Dialium pachyphyllum","Not in GISD",NA,NA,NA
"Spartium","Not in GISD",NA,NA,NA
"Dracontomelon dao","Not in GISD",NA,NA,NA
"Mangifera indica","Not in GISD",NA,NA,NA
"Citrus x limon","Not in GISD",NA,NA,NA
