Species,matched_name2,score,data_source_title
"""Artocarpus blancoi  (Elmer) Merr. """,Artocarpus blancoi,NA,NA
. Harungana Madagascariensis,Harungana madagascariensis,NA,Manual validation
 Persea americana,Persea americana,NA,Manual validation
Acácia,Acacia,0.75,The International Plant Names Index
Acacia,Acacia,0.75,The International Plant Names Index
Acacia auriculiformis,Acacia auriculiformis,0.988,The International Plant Names Index
Acacia caven,Acacia caven,0.988,Tropicos - Missouri Botanical Garden
Acacia cochliacantha,Acacia cochliacantha,0.988,The International Plant Names Index
Acacia collinsii,Acacia collinsii,0.988,Tropicos - Missouri Botanical Garden
Acacia Cornifera,Acacia cornigera,0.75,Tropicos - Missouri Botanical Garden
Acacia cornigera,Acacia cornigera,0.988,The International Plant Names Index
Acacia farnesiana,Acacia farnesiana,0.988,The International Plant Names Index
Acacia hinsu,Acacia,0.75,Tropicos - Missouri Botanical Garden
Acacia mangium,Acacia mangium,0.988,The International Plant Names Index
Acacia polyacantha,Acacia polyacantha,NA,NA
Acacia Polyacatha,Acacia polyacantha,NA,NA
Acacia polyacatha,Acacia polyacantha,0.75,Tropicos - Missouri Botanical Garden
Acasia collinsii,Acacia collinsii,0.75,Tropicos - Missouri Botanical Garden
Acasia farnesiana,Acacia farnesiana,0.75,Tropicos - Missouri Botanical Garden
Acer campestre,Acer campestre,0.988,Tropicos - Missouri Botanical Garden
Acer campestris,Acer campestre,0.75,Tropicos - Missouri Botanical Garden
Acer pseudoplatanus,Acer pseudoplatanus,0.988,Tropicos - Missouri Botanical Garden
Acer rubrum,Acer rubrum,0.988,The International Plant Names Index
Acrocomia vinifera,Acrocomia vinifera,0.988,Tropicos - Missouri Botanical Garden
Adenatera pavonina,Adenanthera pavonina,NA,Manual validation
Afzelia quanzensis,Afzelia quanzensis,0.75,Tropicos - Missouri Botanical Garden
Aglaia luzoniensis,Aglaia luzoniensis,0.988,Tropicos - Missouri Botanical Garden
Aglaia rimosa,Aglaia rimosa,0.988,Tropicos - Missouri Botanical Garden
Alangium javanicum,Alangium javanicum,0.988,Tropicos - Missouri Botanical Garden
Albbizia gummifera,Albizia gummifera,0.75,Tropicos - Missouri Botanical Garden
Albbizia lebbeck,Albizia lebbeck,0.75,Tropicos - Missouri Botanical Garden
Albezia lebbeck,Albizia lebbeck,0.75,Tropicos - Missouri Botanical Garden
Albezzia gummifera,Albizia gummifera,NA,Manual validation
Albisia,Albizia,NA,Manual validation
Albisia adantifalia,Albizia adianthifolia,NA,Manual validation
Albisia adantifolia,Albizia adianthifolia,0.75,Tropicos - Missouri Botanical Garden
Albisia adantiforlia,Albizia adianthifolia,NA,Manual validation
Albizia,Albizia,0.75,The International Plant Names Index
Albizia adentifolia,Albizia adianthifolia,0.75,Tropicos - Missouri Botanical Garden
Albizia bijuga,Albizia,0.75,Tropicos - Missouri Botanical Garden
Albizia gummifera,Albizia gummifera,0.988,Tropicos - Missouri Botanical Garden
Albizia gummifera ,Albizia,0.75,Tropicos - Missouri Botanical Garden
Albizia gumminifera,Albizia gummifera,0.75,Tropicos - Missouri Botanical Garden
Albizia gumnifera,Albizia gummifera,0.75,Tropicos - Missouri Botanical Garden
Albizia gymnifera,Albizia gummifera,0.75,Tropicos - Missouri Botanical Garden
Albizia Lebbeck,Albizia lebbeck,0.988,Tropicos - Missouri Botanical Garden
Albizia lebbeck,Albizia lebbeck,0.988,Tropicos - Missouri Botanical Garden
Albizia lebeck,Albizia lebbeck,0.75,Tropicos - Missouri Botanical Garden
Albizia perrieri,Albizia perrieri,0.988,Tropicos - Missouri Botanical Garden
Albizzia  gummifera,Albizia gummifera,0.75,Tropicos - Missouri Botanical Garden
Albizzia gumifera,Albizia gummifera,0.75,Tropicos - Missouri Botanical Garden
Albizzia gummifera,Albizia gummifera,0.75,Tropicos - Missouri Botanical Garden
Albizzia gummifera ,Albizzia,0.75,Tropicos - Missouri Botanical Garden
Albizzia gumminifera,Albizia gummifera,0.75,Tropicos - Missouri Botanical Garden
Albizzia lebbeck,Albizzia lebbeck,0.988,Tropicos - Missouri Botanical Garden
Albizzia perrieri,Albizia perrieri,0.75,Tropicos - Missouri Botanical Garden
Alfzelia quenzensis,Afzelia quanzensis,0.75,Tropicos - Missouri Botanical Garden
Alfzelia quenzesis,Afzelia quanzensis,NA,NA
Alibizzia gummifera,Albizia gummifera,NA,Manual validation
Alicia,Alicia,0.75,Tropicos - Missouri Botanical Garden
Alicia niopides,Alicia,0.75,Tropicos - Missouri Botanical Garden
Aloe verra,Aloe serra,0.75,Tropicos - Missouri Botanical Garden
Alstonia macrophylla,Alstonia macrophylla,0.988,Tropicos - Missouri Botanical Garden
Alstonia scholaris,Alstonia scholaris,0.988,The International Plant Names Index
Alstonia scholaris (L.),Alstonia scholaris,NA,NA
Alstonia scholaris (l.),Alstonia scholaris,0.988,Tropicos - Missouri Botanical Garden
Ampalis madagascariensis,Ampalis madagascariensis,0.988,Tropicos - Missouri Botanical Garden
Amphipterygium adstringens,Amphipterygium adstringens,0.988,The International Plant Names Index
Anacardium occidentale,Anacardium occidentale,0.988,The International Plant Names Index
Andira  enermis,Andira inermis,0.75,Tropicos - Missouri Botanical Garden
Andira inermis,Andira inermis,0.988,The International Plant Names Index
Andira Sp,Andira,0.75,Tropicos - Missouri Botanical Garden
Andira sp,Andira,0.75,Tropicos - Missouri Botanical Garden
Andira sp.,Andira,0.75,Tropicos - Missouri Botanical Garden
Annoma squamosa,Annona squamosa,0.75,Tropicos - Missouri Botanical Garden
Annona cherimola,Annona cherimola,0.988,Tropicos - Missouri Botanical Garden
Annona macroprophyllata,Annona macroprophyllata,0.988,Tropicos - Missouri Botanical Garden
Annona muricata,Annona muricata,0.988,The International Plant Names Index
Annona reticulata,Annona reticulata,0.988,The International Plant Names Index
Annona squamaso,Annona squamosa,0.75,Tropicos - Missouri Botanical Garden
Annona squamosa,Annona squamosa,0.988,The International Plant Names Index
