"Species","data_source_title","score","matched_name2"
"Johanesia princeps Vell.","Manual validation",NA,"Joannesia princeps"
"Pterigota brasiliensis Fr. All.","Manual validation",NA,"Pterygota brasiliensis"
"Swartizia Langs-dorffi","Manual validation",NA,"Swartzia langsdorffii"
"Johanesia princeps Vell","Manual validation",NA,"Joannesia princeps"
"Johanesia princeps","Manual validation",NA,"Joannesia princeps"
"1.	Pouteria villamilii","Manual validation",NA,"Pouteria villamilii"
"2.	Intsia bijuga","Manual validation",NA,"Intsia bijuga"
"3.	Pterocarpus indicus","Manual validation",NA,"Pterocarpus indicus"
"4.	Eugenia montalbanica","Manual validation",NA,"Eugenia montalbanica"
"5.	Pometia pinnata","Manual validation",NA,"Pometia pinnata"
"Barringtonia acutangular","Manual validation",NA,"Barringtonia acutangula"
"Diospyros cambodiana","Manual validation",NA,"Diospyros cambodiana"
"Mango (Mangifera indica)","Manual validation",NA,"Mangifera indica"
"Black Plum (Syzygium cumini)","Manual validation",NA,"Syzygium cumini"
"Lemon (Citrus limon)","Manual validation",NA,"Citrus x limon"
"Sheesham (Dalbergia sissoo)","Manual validation",NA,"Dalbergia sissoo"
"Karanj (Millettia pinnata)","Manual validation",NA,"Millettia pinnata"
"Custard Apple (Annona squamosa)","Manual validation",NA,"Annona squamosa"
"Shimul (Silk Cotton Tree) (Bombax ceiba)","Manual validation",NA,"Bombax ceiba"
"Teak (Tectona Grandis)","Manual validation",NA,"Tectona grandis"
"Karanj (Pongamia pinnata)","Manual validation",NA,"Pongamia pinnata"
"Jamun / Black plum (sygizium cumini)","Manual validation",NA,"Syzygium cumini"
"Lemon (citrus limon)","Manual validation",NA,"Citrus x limon"
"Karanj / Pongame tree (pongamia pinnata)","Manual validation",NA,"Pongamia pinnata"
"Shimal/ Cotton silk tree (bombax ceiba)","Manual validation",NA,"Bombax ceiba"
"Teak (tectona grandis)","Manual validation",NA,"Tectona grandis"
"Ziera arboresence","Manual validation",NA,"Zieria arborescens"
"Gilbertodendron","Manual validation",NA,"Gilbertiodendron"
"Lichi ","Manual validation",NA,"Litchi chinensis"
"Allocasurina littoralis ","Manual validation",NA,"Allocasuarina littoralis"
"Acacia dealbata","The International Plant Names Index",0.988,"Acacia dealbata"
"Acacia mearnsii","The International Plant Names Index",0.988,"Acacia mearnsii"
"Eucalyptus amplifolia","The International Plant Names Index",0.988,"Eucalyptus amplifolia"
"Eucalyptus cinerea","The International Plant Names Index",0.988,"Eucalyptus cinerea"
"Eucalyptus dives","Tropicos - Missouri Botanical Garden",0.988,"Eucalyptus dives"
