"Species","matched_name2","score","data_source_title"
"Pinus sylvestris","Pinus sylvestris",NA,NA
"Quercus robur","Quercus robur",NA,NA
"Populus","Populus",0.75,"The International Plant Names Index"
"Prunus avium","Prunus avium",0.988,"Tropicos - Missouri Botanical Garden"
"Quercus","Quercus",0.75,"The International Plant Names Index"
"Carpinus betulus","Carpinus betulus",0.988,"The International Plant Names Index"
"Pinus","Pinus",0.75,"Tropicos - Missouri Botanical Garden"
"Betula pendula","Betula pendula",0.988,"The International Plant Names Index"
"Betula","Betula",0.75,"Tropicos - Missouri Botanical Garden"
"Acer pseudoplatanus","Acer pseudoplatanus",0.988,"Tropicos - Missouri Botanical Garden"
"Fagus sylvatica","Fagus sylvatica",0.988,"Tropicos - Missouri Botanical Garden"
"Tilia cordata","Tilia cordata",0.75,"Tropicos - Missouri Botanical Garden"
"Cecropia peltata","Cecropia peltata",0.988,"Tropicos - Missouri Botanical Garden"
"Taxus baccata","Taxus baccata",0.988,"The International Plant Names Index"
"Inga spuria","Inga spuria",0.988,"The International Plant Names Index"
"Juglans regia","Juglans regia",0.988,"Tropicos - Missouri Botanical Garden"
"Garcinia intermedia","Garcinia intermedia",NA,NA
"Gliricidia sepium","Gliricidia sepium",0.988,"Tropicos - Missouri Botanical Garden"
"Crescentia alata","Crescentia alata",0.988,"Tropicos - Missouri Botanical Garden"
"Persea caerulea","Persea caerulea",0.988,"Tropicos - Missouri Botanical Garden"
"Cedrela odorata","Cedrela odorata",NA,NA
"Dracaena fragrans","Dracaena fragrans",0.988,"The International Plant Names Index"
"Bursera simaruba","Bursera simaruba",0.988,"The International Plant Names Index"
"Spondias mombin","Spondias mombin",0.988,"Tropicos - Missouri Botanical Garden"
"Persea americana","Persea americana",0.988,"Tropicos - Missouri Botanical Garden"
"Citrus","Citrus",0.75,"Tropicos - Missouri Botanical Garden"
"Inga vera","Inga vera",0.988,"The International Plant Names Index"
"Dendropanax","Dendropanax",0.75,"Tropicos - Missouri Botanical Garden"
"Mangifera","Mangifera",0.75,"The International Plant Names Index"
"Cupania dentata","Cupania dentata",0.75,"Tropicos - Missouri Botanical Garden"
"Annona squamosa","Annona squamosa",0.988,"The International Plant Names Index"
"Croton draco","Croton draco",0.988,"The International Plant Names Index"
"Liquidambar styraciflua","Liquidambar styraciflua",0.988,"The International Plant Names Index"
"Citrus hystrix","Citrus hystrix",0.999,"Tropicos - Missouri Botanical Garden"
