OBJECTID *,Shape *,Site_ID,Country,Org_Name,Site_Name,MERGE_SRC,Site Area (ha),Shape_Length,Shape_Area
1,Polygon ZM,34,Brazil,EMA,ALimpa,BrazilPPCMerge_Update072323_Clean,4.9804,0.008434,0.000004
2,Polygon ZM,28,Brazil,EMA,Jacunicaua,BrazilPPCMerge_Update072323_Clean,17.7119,0.038412,0.000014
3,Polygon ZM,26,Brazil,EMA,QuadraXX,BrazilPPCMerge_Update072323_Clean,3.9594,0.010458,0.000003
4,Polygon ZM,25,Brazil,EMA,QuadraXXIII,BrazilPPCMerge_Update072323_Clean,4.7263,0.008397,0.000004
5,Polygon ZM,33,Brazil,EMA,Setembro,BrazilPPCMerge_Update072323_Clean,14.2309,0.03233,0.000012
6,Polygon ZM,23,Brazil,EMA,Snovo,BrazilPPCMerge_Update072323_Clean,4.9682,0.00824,0.000004
7,Polygon ZM,40,Brazil,GANB,Area Natureza Bela,BrazilPPCMerge_Update072323_Clean,162.0168,0.071302,0.000137
8,Polygon ZM,50,Brazil,ISA,Fazenda Agua Boa,BrazilPPCMerge_Update072323_Clean,3.128,0.010003,0.000003
9,Polygon ZM,49,Brazil,ISA,Fazenda Bacuri-Grupo Cereal Ouro,BrazilPPCMerge_Update072323_Clean,3.6416,0.006918,0.000003
10,Polygon ZM,52,Brazil,ISA,Fazenda Guariba,BrazilPPCMerge_Update072323_Clean,5.2543,0.020469,0.000004
11,Polygon ZM,48,Brazil,ISA,Fazenda Mateira Grupo AFB,BrazilPPCMerge_Update072323_Clean,1.4439,0.007527,0.000001
12,Polygon ZM,47,Brazil,ISA,Fazenda Mateira Joao Paulo Jacintho,BrazilPPCMerge_Update072323_Clean,2.9872,0.014213,0.000002
13,Polygon ZM,51,Brazil,ISA,Fazenda Rota do Sol,BrazilPPCMerge_Update072323_Clean,5.0997,0.034668,0.000004
14,Polygon ZM,258,Cambodia,CI-Cambodia,Doun_Sdaeung_01,PPCTier2and3_Update072323_Clean,5.5375,0.011421,0.000005
15,Polygon ZM,96,DRC,Faja Lobi,Intsun-makanga,DRC_Faja_Lobi_Site,643.5273,0.096161,0.000525
16,Polygon ZM,95,DRC,Faja Lobi,Iseme,DRC_Faja_Lobi_Site,631.4001,0.110456,0.000515
17,Polygon ZM,334,France,ReForest Action (Chantilly),P255,PPCTier2and3_Update072323_Clean,10.9881,0.015329,0.000014
18,Polygon ZM,333,France,ReForest Action (Chantilly),P451,PPCTier2and3_Update072323_Clean,8.2246,0.013865,0.00001
19,Polygon ZM,279,France,ReForest Action (Chantilly),P51,PPCTier2and3_Update072323_Clean,14.6083,0.019582,0.000018
20,Polygon ZM,329,France,ReForest Action (Chantilly),P523,PPCTier2and3_Update072323_Clean,12.9377,0.016161,0.000016
21,Polygon ZM,null,Guatemala,FEDECOVERA,"Cooperativa Agricola Integral Corralpec, RL",SITIOS_FEDECOVERA_CleanInput,37.003,0.152337,0.000031
22,Polygon ZM,null,Guatemala,FEDECOVERA,"Cooperativa Agricola Integral Santa Maria San Marcos, RL",SITIOS_FEDECOVERA_CleanInput,8.1615,0.062521,0.000007
23,Polygon ZM,null,Guatemala,FEDECOVERA,"Cooperativa Agricola Integral Santo Domingo, RL",SITIOS_FEDECOVERA_CleanInput,33.9181,0.127409,0.000029
